#stream_file,packet_series_counter,packet_number,packet_time_relative,packet_tcp_stream,packet_header_data,packet_type,decryption_key_milliseconds,decryption_key_depth,decryption_key
ddpkg/stream1-marked.pcapng,0,11759,122.969174000,33,3b6a3f291b00ae615b5bc0131a807c3b,login,2344,261,3jc6R11q__MGmP9YIn7fyiNVQgSUoiBc
ddpkg/stream1-marked.pcapng,1,26573,393.587605000,40,595926b303b7f85afb4a34af1349b7b9,login,,,
ddpkg/stream1-marked.pcapng,0,11868,135.053836000,34,65c784fb6063d0222c1268b144230ac1,game-select,2344,1662,fyPBLkJ_7VIWCesdRJpifi-LMHk08grl
ddpkg/stream1-marked.pcapng,1,26689,430.663675000,41,17813d1f60f7591acee1285dbe15a420,game-select,,,
ddpkg/stream1-marked.pcapng,0,11957,142.954513000,35,261d45383cb8319175feaae062754484,game,2344,2000,gRpO97n7Is7jNvqlXgVl7CCLEbRqUUcS
ddpkg/stream1-marked.pcapng,1,26777,441.102591000,42,1596f384d8f45d6ed67550e5b35b40d4,game,,,
ddpkg/stream10-musicplayer-marked.pcapng,0,10915,164.707466000,15,de73499586559f5cf072b1ee99da95b2,login,,,
ddpkg/stream10-musicplayer-marked.pcapng,1,10051,85.948437000,7,119fa9d7b964b0fd8e86608082bdc0f7,login,28382,522,8MS8KEEkeiAFN1dc5Tb93YZg5zSJ7Byr
ddpkg/stream10-musicplayer-marked.pcapng,0,11024,171.872488000,16,03dbeb3386f2116c945e3041cddd6efb,game-select,,,
ddpkg/stream10-musicplayer-marked.pcapng,1,10162,99.899206000,8,22d94955140f5a80e6c9cd63379bfe01,game-select,28382,1912,c19_h_FyzdHpBCQYNqjR1qRlZQ0a07Jz
ddpkg/stream10-musicplayer-marked.pcapng,0,11140,188.706395000,17,6497597b854b03f696acffc095ee6400,game,,,
ddpkg/stream10-musicplayer-marked.pcapng,1,10273,108.939310000,9,6a476b9b193f86f32a51f55312e31bd5,game,28382,2260,7HLnDzp-_-lXFQrjMsFneRb372JJkuOC
ddpkg/stream11-world-change-marked.pcapng,0,14,1.386914000,1,4a98250301b42ee5dcda1b75646c32b5,login,,,
ddpkg/stream11-world-change-marked.pcapng,1,1322,88.860465000,5,6a73a72616c77a9a0effab1180108795,login,,,
ddpkg/stream11-world-change-marked.pcapng,0,123,11.779612000,2,54a8abf841cbe48df81e66b8385fe779,game-select,,,
ddpkg/stream11-world-change-marked.pcapng,1,1429,98.071219000,6,d43a76db62ecc63f6794d8627344e89c,game-select,,,
ddpkg/stream11-world-change-marked.pcapng,2,1541,109.604942000,7,4b4e0f764ef82f7756ef8e98dfa041f4,game-select,,,
ddpkg/stream11-world-change-marked.pcapng,0,3137,259.861095000,12,3843129c2dbe14886b20d48bb4813b41,game,,,
ddpkg/stream11-world-change-marked.pcapng,1,234,18.847027000,3,cd93fe7d59e622f90bbbe6ed62439ca7,game,,,
ddpkg/stream12-marked.pcapng,0,22,1.852403000,1,32e1ec0c2845e0a1892e0eb6f7ed8f45,login,,,
ddpkg/stream12-marked.pcapng,1,1515,78.421127000,9,f360191e4b5eb0baa0fa0fac083a81df,login,,,
ddpkg/stream12-marked.pcapng,0,1621,87.798692000,10,d2beb09c3d3a33bdcb1c2a6c55d60bb6,game-select,,,
