C2S_BLACK_LIST_GET_BLACK_LIST_REQ 17.0.1
C2S_BOX_GACHA_BOX_GACHA_LIST_REQ 57.0.1
C2S_DAILY_MISSION_EVENT_LIST_GET_REQ 72.3.1
C2S_DAILY_MISSION_LIST_GET_REQ 72.0.1
C2S_DAILY_MISSION_REWARD_RECEIVE_REQ 72.2.1
C2S_FRIEND_GET_RECENT_CHARACTER_LIST_REQ 16.6.1
C2S_GACHA_GACHA_BUY_REQ 39.1.1
C2S_GACHA_GACHA_LIST_REQ 39.0.1
C2S_GP_COG_GET_ID_REQ 28.6.1
C2S_GP_GET_CAP_REQ 28.3.1
C2S_GP_GET_UPDATE_APP_COURSE_BONUS_FLAG_REQ 28.34.1
C2S_GP_GP_COURSE_GET_AVAILABLE_LIST_REQ 28.17.1
C2S_GP_GP_SHOP_CAN_BUY_REQ 28.23.1
C2S_GP_GP_SHOP_DISPLAY_BUY_REQ 28.9.1
C2S_GP_GP_SHOP_DISPLAY_GET_LINEUP_REQ 28.8.1
C2S_GP_GP_SHOP_DISPLAY_GET_TYPE_REQ 28.7.1
C2S_GROUP_CHAT_GROUP_CHAT_GET_MEMBER_LIST_REQ 18.0.1
C2S_INFINITY_DELIVERY_GET_CATEGORY_INFO_REQ 59.9.1
C2S_INFINITY_DELIVERY_GET_CATEGORY_LIST_REQ 59.8.1
C2S_INFINITY_DELIVERY_GET_CATEGORY_STATUS_REQ 59.4.1
C2S_INFINITY_DELIVERY_GET_CURRENT_EVENT_REQ 59.0.1
C2S_INSTANCE_GET_OM_INSTANT_KEY_VALUE_ALL_REQ 13.22.1
C2S_ITEM_GET_ITEM_STORAGE_INFO_REQ 10.9.1
C2S_ORB_DEVOTE_GET_ORB_GAIN_EXTEND_PARAM_REQ 25.5.1
C2S_PAWN_EXPEDITION_PAWN_EXPEDITION_CHANGE_GOLDEN_SALLY_REQ 58.4.1
C2S_PAWN_EXPEDITION_PAWN_EXPEDITION_GET_REWARD_DROP_ITEM_LIST_REQ 58.8.1
C2S_PAWN_EXPEDITION_PAWN_EXPEDITION_GET_REWARD_DROP_ITEM_REQ 58.9.1
C2S_PAWN_EXPEDITION_PAWN_EXPEDITION_GET_REWARD_DROP_REQ 58.7.1
C2S_PAWN_EXPEDITION_PAWN_EXPEDITION_GET_SALLY_REWARD_REQ 58.5.1
C2S_PAWN_EXPEDITION_PAWN_EXPEDITION_SALLY_REQ 58.3.1
C2S_PAWN_GET_RENTED_PAWN_LIST_REQ 8.8.1
C2S_QUEST_11_60_16_NTC 11.60.16
C2S_QUEST_GET_CYCLE_CONTENTS_SITUATION_INFO_LIST_REQ 11.38.1
C2S_QUEST_GET_WORLD_MANAGE_QUEST_LIST_REQ 11.9.1
C2S_QUEST_LIGHT_QUEST_GP_COMPLETE_REQ 11.23.1
C2S_WARP_GET_AREA_WARP_POINT_LIST_REQ 14.8.1
S2C_63_3_16_NTC 63.3.16
S2C_63_5_16_NTC 63.5.16
S2C_63_6_16_NTC 63.6.16
S2C_BLACK_LIST_GET_BLACK_LIST_RES 17.0.2
S2C_BOX_GACHA_BOX_GACHA_LIST_RES 57.0.2
S2C_DAILY_72_1_16_NTC 72.1.16
S2C_DAILY_MISSION_EVENT_LIST_GET_RES 72.3.2
S2C_DAILY_MISSION_LIST_GET_RES 72.0.2
S2C_DAILY_MISSION_REWARD_RECEIVE_RES 72.2.2
S2C_EQUIP_29_23_16_NTC 29.23.16
S2C_FRIEND_GET_RECENT_CHARACTER_LIST_RES 16.6.2
S2C_GACHA_GACHA_BUY_RES 39.1.2
S2C_GACHA_GACHA_LIST_RES 39.0.2
S2C_GP_28_24_16_NTC 28.24.16
S2C_GP_COG_GET_ID_RES 28.6.2
S2C_GP_GET_CAP_RES 28.3.2
S2C_GP_GET_UPDATE_APP_COURSE_BONUS_FLAG_RES 28.34.2
S2C_GP_GP_SHOP_CAN_BUY_RES 28.23.2
S2C_GP_GP_SHOP_DISPLAY_BUY_RES 28.9.2
S2C_GP_GP_SHOP_DISPLAY_GET_LINEUP_RES 28.8.2
S2C_GP_GP_SHOP_DISPLAY_GET_TYPE_RES 28.7.2
S2C_GROUP_CHAT_GROUP_CHAT_GET_MEMBER_LIST_RES 18.0.2
S2C_INFINITY_DELIVERY_GET_CATEGORY_INFO_RES 59.9.2
S2C_INFINITY_DELIVERY_GET_CATEGORY_LIST_RES 59.8.2
S2C_INFINITY_DELIVERY_GET_CATEGORY_STATUS_RES 59.4.2
S2C_INFINITY_DELIVERY_GET_CURRENT_EVENT_RES 59.0.2
S2C_ITEM_GET_ITEM_STORAGE_INFO_RES 10.9.2
S2C_ITEM_USE_BAG_ITEM_NTC 10.0.16
S2C_PAWN_EXPEDITION_PAWN_EXPEDITION_CHANGE_GOLDEN_SALLY_RES 58.4.2
S2C_PAWN_EXPEDITION_PAWN_EXPEDITION_GET_REWARD_DROP_ITEM_LIST_RES 58.8.2
S2C_PAWN_EXPEDITION_PAWN_EXPEDITION_GET_REWARD_DROP_ITEM_RES 58.9.2
S2C_PAWN_EXPEDITION_PAWN_EXPEDITION_GET_REWARD_DROP_RES 58.7.2
