#index,class_name,parent_name,size_param,size_decoded,id_hex,attr,alloc_idx,this_addr,parent_addr,vptr
1,aBase,(root),52,52,0x5c4dd85c,0,0,0x0217d234,0x022040bc,0x01ae28a8
2,aCharacterEditGame,(root),11040,11040,0x108ece21,0,0,0x0217d268,0x0217d3bc,0x01ae28a8
3,aGame,(root),52,52,0x3fd217b1,0,0,0x0217d2ac,0x022040bc,0x01ae28a8
4,aInit,(root),88,88,0x5a8dc249,0,0,0x0217d2e0,0x0217d644,0x01ae28a8
5,aLobby,(root),2400,2400,0x46920f4d,0,0,0x0217d314,0x0217d3bc,0x01ae28a8
6,aLogo,(root),56,56,0x7877bc2e,0,0,0x0217d344,0x0217d644,0x01ae28a8
7,aMenu,(root),176,176,0x61fc1cae,0,0,0x0217d374,0x0217d644,0x01ae28a8
8,aStage,(root),2336,2336,0x480ac9d3,0,0,0x0217d3bc,0x022040bc,0x01ae28a8
9,uTVNoiseFilterEx,(root),224,224,0x5a0c5543,0,0,0x0217d3dc,0x02204964,0x01ae28a8
10,aTitle,(root),416,416,0x214022d1,0,0,0x0217d40c,0x0217d644,0x01ae28a8
11,cBrowserWindows,(root),384,384,0x580692fc,0,0,0x0217d43c,0x021e71e8,0x01ae28a8
12,cBrowserKeepString,(root),40,40,0x609d6926,0,0,0x0217d45c,0x021e71e8,0x01ae28a8
13,cBrowserApplicationTask,(root),24,24,0x27842d4e,0,0,0x0217d47c,0x021e71e8,0x01ae28a8
14,rBrowserUITableData,(root),112,112,0x07f80f71,0,0,0x0217d49c,0x022040dc,0x01ae28a8
15,cAcquirement::cSkillDataBase,(root),104,104,0x64b4807f,0,0,0x0217d4cc,0x02196c18,0x01ae28a8
16,cAcquirement::cCustomSkillData,cAcquirement::cSkillDataBase,116,116,0x4a24c150,0,0,0x0217d4ec,0x0217d4cc,0x01ae28a8
17,cAcquirement::cNormalSkillData,cAcquirement::cSkillDataBase,116,116,0x733c1b7b,0,0,0x0217d50c,0x0217d4cc,0x01ae28a8
18,cAction,(root),20,20,0x296f5efe,0,0,0x0217d530,0x021e71e8,0x01ae28a8
19,cActiveQuestManager,(root),16,16,0x70435865,0,0,0x0217d554,0x021893b8,0x01ae28a8
20,cActiveQuestManager::cActiveQuestData,(root),20,20,0x02491079,0,0,0x0217d574,0x021e71e8,0x01ae28a8
21,cAIGrid,(root),64,64,0x667c3c1d,0,0,0x0217d59c,0x02204e50,0x01ae28a8
22,cAIRouteInfoParts,(root),96,96,0x48fdad29,0,0,0x0217d5c0,0x02204e50,0x01ae28a8
23,cAIRouteInfo,(root),24,24,0x4e2ebfd9,0,0,0x0217d5e0,0x02204e50,0x01ae28a8
24,cAITargetInfo,(root),24,24,0x00661dd8,0,0,0x0217d604,0x021e71e8,0x01ae28a8
25,cArcLoader2,(root),60,60,0x5dda41ab,0,0,0x0217d624,0x021e71e8,0x01ae28a8
26,cAreaExt,(root),48,48,0x74b83462,0,0,0x0217d644,0x022040bc,0x01ae28a8
27,AreaHitShape,(root),64,64,0x5b42cb96,0,0,0x0217d668,0x021e71e8,0x01ae28a8
28,cAreaHit,(root),128,128,0x2fb98421,0,0,0x0217d688,0x021e71e8,0x01ae28a8
29,AHShapeBox,AreaHitShape,176,176,0x12904066,0,0,0x0217d6a8,0x0217d668,0x01ae28a8
30,AHShapeBoxRotate,AreaHitShape,208,208,0x446ecfad,0,0,0x0217d6c8,0x0217d668,0x01ae28a8
31,AHShapeCylinder,AreaHitShape,96,96,0x45651a5d,0,0,0x0217d6e8,0x0217d668,0x01ae28a8
32,AHShapeSphere,AreaHitShape,96,96,0x58c26adb,0,0,0x0217d708,0x0217d668,0x01ae28a8
33,AHShapeCone,AreaHitShape,96,96,0x3dbf1348,0,0,0x0217d728,0x0217d668,0x01ae28a8
34,AHShapePolygon,AreaHitShape,160,160,0x7776e84c,0,0,0x0217d748,0x0217d668,0x01ae28a8
35,AHShapePolygon::PosUnit,(root),48,48,0x67d6a100,0,0,0x0217d768,0x021e71e8,0x01ae28a8
36,AHShapeTriangle,AreaHitShape,96,96,0x01f62c30,0,0,0x0217d788,0x0217d668,0x01ae28a8
37,cAreaReleaseManager,(root),88,88,0x2e30fcfe,0,0,0x0217d7ac,0x021893b8,0x01ae28a8
38,cAreaReleaseManager::cAreaReleaseInfo,(root),8,8,0x43209aaa,0,0,0x0217d7cc,0x021e71e8,0x01ae28a8
39,cBattleContentManager,(root),92,92,0x67719980,0,0,0x0217d7ec,0x021e71e8,0x01ae28a8
40,cCharacterBattleContentBase,(root),104,104,0x0e74c5dc,0,0,0x0217d80c,0x021e71e8,0x01ae28a8
41,cCharacterBattleContentKokuju,cCharacterBattleContentBase,104,104,0x684a076f,1,0,0x0217d82c,0x0217d80c,0x01ae28a8
42,cCamExParamFps,(root),512,512,0x04d746a2,0,0,0x0217d85c,0x021c1c9c,0x01ae28a8
43,cCamImpFps,(root),240,240,0x07747afe,0,0,0x0217d87c,0x021c1c3c,0x01ae28a8
44,cCamExParamNewLock,(root),576,576,0x49ec279e,0,0,0x0217d8ac,0x021c1c9c,0x01ae28a8
45,cCamImpNewLock,(root),288,288,0x14ddb6c0,0,0,0x0217d8cc,0x021c1c3c,0x01ae28a8
46,cCamExParamPan,(root),512,512,0x2ca3d6a9,0,0,0x0217d8fc,0x021c1c9c,0x01ae28a8
47,cCamImpPan,(root),208,208,0x2f00eaf5,0,0,0x0217d91c,0x021c1c3c,0x01ae28a8
48,cControlParam,(root),48,48,0x6aa66f59,0,0,0x0217d944,0x021e71e8,0x01ae28a8
49,cControlParamEnemy,(root),60,60,0x535ef2eb,0,0,0x0217d964,0x021e71e8,0x01ae28a8
50,cCorePointInfo,(root),56,56,0x041d95d7,0,0,0x0217d988,0x021e71e8,0x01ae28a8
51,cCorePointInfoNormal,cCorePointInfo,64,64,0x244c6f18,0,0,0x0217d9a8,0x0217d988,0x01ae28a8
52,cCorePointInfoArmed,cCorePointInfo,56,56,0x77263cc6,0,0,0x0217d9c8,0x0217d988,0x01ae28a8
53,cCorePointInfoBlaze,cCorePointInfo,56,56,0x3307a1d6,0,0,0x0217d9e8,0x0217d988,0x01ae28a8
54,cStateTransitionFromGameInfo,(root),12,12,0x6d83575f,0,0,0x0217da08,0x021e71e8,0x01ae28a8
55,cSTFLight,cStateTransitionFromGameInfo,16,16,0x45d3022e,0,0,0x0217da28,0x0217da08,0x01ae28a8
56,cSTFLightParam,(root),8,8,0x4ea3551c,0,0,0x0217da48,0x021e71e8,0x01ae28a8
57,cSTFLightExt,cStateTransitionFromGameInfo,24,24,0x59e08333,0,0,0x0217da68,0x0217da08,0x01ae28a8
58,cSTFLightExtParam,(root),16,16,0x436cd1e5,0,0,0x0217da88,0x021e71e8,0x01ae28a8
59,cSTFFilter,cStateTransitionFromGameInfo,24,24,0x526713be,0,0,0x0217daa8,0x0217da08,0x01ae28a8
60,cSTFFilterParam,(root),16,16,0x0b5708e7,0,0,0x0217dac8,0x021e71e8,0x01ae28a8
61,cSTFShadowExt,cStateTransitionFromGameInfo,24,24,0x0eb4e3b9,0,0,0x0217dae8,0x0217da08,0x01ae28a8
62,cSTFShadowExtParam,(root),16,16,0x1d53c32a,0,0,0x0217db08,0x021e71e8,0x01ae28a8
63,cSTFSkyFog,cStateTransitionFromGameInfo,24,24,0x2ca649c4,0,0,0x0217db28,0x0217da08,0x01ae28a8
64,cSTFSkyFogParam,(root),16,16,0x06d72f0b,0,0,0x0217db48,0x021e71e8,0x01ae28a8
65,cEm021004StaffCtrl,(root),176,176,0x086ee364,0,0,0x0217db7c,0x021e71e8,0x01ae28a8
66,cEm021004StaffOfWise,(root),240,240,0x7d9d3393,0,0,0x0217dbb0,0x021e71e8,0x01ae28a8
67,cEmAct015050SpecialDead,(root),96,96,0x62b66676,0,0,0x0217dbd4,0x02182384,0x01ae28a8
68,cEmAct015821AtkRageOrder,(root),64,64,0x3550fba4,0,0,0x0217dc04,0x02182344,0x01ae28a8
69,cEmAct015821AtkCannonBase,(root),80,80,0x00851110,0,0,0x0217dc24,0x02182344,0x01ae28a8
70,cEmAct015821AtkCannonUseBase,cEmAct015821AtkCannonBase,80,80,0x1cd01d4f,0,0,0x0217dc44,0x0217dc24,0x01ae28a8
71,cEmAct015821AtkCannonCharge,cEmAct015821AtkCannonUseBase,80,80,0x1223c1a4,0,0,0x0217dc64,0x0217dc44,0x01ae28a8
72,cEmAct015821AtkCannonChargeInit,cEmAct015821AtkCannonCharge,80,80,0x5876e05a,0,0,0x0217dc84,0x0217dc64,0x01ae28a8
