**Gauntlet ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Standard
|[Primus[プリムス]]|1|80|20|アルケミスト(Lv1～)|1738
|[Mergitur[メルギトゥル]]|2|126|63|アルケミスト(Lv5～)|1739
|[Solitus[ソリトゥス]]|3|199|133|アルケミスト(Lv11～)|1744
|[Fremitu[フレミトゥ]]|4|266|197|アルケミスト(Lv16～)|2763
|[Sinceritatis[シンチェリタティス]]|5|338|266|アルケミスト(Lv21～)|2764
|[Ferrum Gravis[フェルムグラウィス]]|6|415|340|アルケミスト(Lv26～)|3031
|[Benedico Sole[ベネディクシオソーレ]]|7|497|419|アルケミスト(Lv31～)|3788
|[Locus Solus[ロクスソルス]]|8|584|503|アルケミスト(Lv36～)|3789
|[Testament Scale[テスタメントスケイル]]|8|686|602|アルケミスト(Lv40～)|407
|[Callositas[カロシタス]]|9|690|606|アルケミスト(Lv41～)|2007
|[Albion[アルビオン]]|9|757|672|アルケミスト(Lv43～)|3029
|[Arcanum[アルカヌム]]|9|855|768|アルケミスト(Lv45～)|3044
|[Robustum[ロボストゥム]]|10|896|808|アルケミスト(Lv47～)|4056
|[Memento Mori[メメントモリ]]|10|968|879|アルケミスト(Lv49～)|5078
|[Honestatis[ホネスタティス]]|11|1026|936|アルケミスト(Lv51～)|5082
|[Aeternitas[アエテルニタス]]|11|1071|979|アルケミスト(Lv53～)|5080
|[Fate's Glance[フェイタスグランス]]|11|1116|1023|アルケミスト(Lv55～)|5085
|[Portae Lucis[ポルタイルーキス]]|11|1147|1054|アルケミスト(Lv55～)|5094
|[Veritas[ウェリタス]]|12|1154|1060|アルケミスト(Lv56～)|405
|[Unexpected Force[アニスペクティドホース]]|12|1216|1121|アルケミスト(Lv58～)|2015
|[Nigrum Corpus[ニグラムコルプス]]|12|1280|1184|アルケミスト(Lv60～)|2029
|[Brachium Spiritus[ブラチウムスピリタス]]|12|1280|1184|アルケミスト(Lv60～)|3050
|[Ars Magna[アルスマグナ]]|12|1312|1216|アルケミスト(Lv60～)|3056
|[True Testament Scale[真・テスタメントスケイル]]|12|1280|1184|アルケミスト(Lv40～)|11607
|[True Arcanum[真・アルカヌム]]|12|1280|1184|アルケミスト(Lv45～)|11612
|[Bellator[ベラトール]]|12|1216|1120|アルケミスト(Lv55～)|2014
|[Centuria[ケントゥリア]]|15|1393|1296|アルケミスト(Lv62～)|2022
|[Adamant[アダマント]]|20|1485|1386|アルケミスト(Lv65～)|2023
|[Regulus[レグルス]]|20|1485|1386|アルケミスト(Lv65～)|12236
|[Fata Morgana[ファルタモルガナ]]|25|1501|1402|アルケミスト(Lv65～)|12242
|[Albus Lumen[アルブスルーメン]]|30|1534|1435|アルケミスト(Lv65～)|12246
|[Ichthus Terram[イクツステラム]]|30|1603|1503|アルケミスト(Lv67～)|419
|[Ostium[オスティウム]]|35|1700|1598|アルケミスト(Lv70～)|2024
|[Incrementum[インクレメントゥム]]|35|1700|1598|アルケミスト(Lv70～)|12266
|[Gauntlet of Tyrant[ガントレットオブタイラント]]|40|1717|1615|アルケミスト(Lv70～)|12271
|[Magna Dux[マグナドゥクス]]|45|1751|1649|アルケミスト(Lv70～)|12276
|[Gauntlet of Tribe[ガントレットオブトライブ]]|45|1823|1720|アルケミスト(Lv72～)|14562
|[Victor[ウィクトル]]|50|1860|1755|アルケミスト(Lv75～)|3043
|[Animus[アニムス]]|50|1860|1755|アルケミスト(Lv75～)|4064
|[Phindymian Seiðr[フィンダミアセイズ]]|55|1930|1825|アルケミスト(Lv75～)|14567
|[Verdant Logician[ヴァーダントロジシャン]]|60|1979|1874|アルケミスト(Lv75～)|14572
|[Rorem Cubito[ローレムクビト]]|60|2037|1931|アルケミスト(Lv77～)|3049
|[Solitude[ソリテューデ]]|65|2090|1982|アルケミスト(Lv80～)|3051
|[Tenebrae de Ragel[テネブライドラジェル]]|65|2090|1982|アルケミスト(Lv80～)|3053
|[[プラチウムディアボルス]]|70|2162|2054|アルケミスト(Lv80～)|
|[Mesocaldia[メソカルディア]]|75|2216|2108|アルケミスト(Lv80～)|14582
|[Nobility's Gauntlet[ノビリティーズガントレット]]|80|2202|2094|アルケミスト(Lv80～)|17496
|[Circinus Arm[キルキヌスアーム]]|85|2308|2198|アルケミスト(Lv83～)|17501
|[Hushyar[フーシュヤール]]|90|2380|2269|アルケミスト(Lv85～)|17506
|[Wataz Glove[ワータスグラブ]]|90|2450|2339|アルケミスト(Lv85～)|18700
|[Spinel Arm of Resentment[怨嗟のスピネルアーム]]|90|2308|2198|アルケミスト(Lv85～)|18066
|[Hand of Kurts[ハンズオブクールツ]]|95|2380|2269|アルケミスト(Lv88～)|18071
|[Setareh Gauntlet[セターレフガントレット]]|98|2450|2339|アルケミスト(Lv90～)|18076
|[Haiz Fereydun[ヘイズフェリドゥーン]]|100|2704|2590|アルケミスト(Lv90～)|19707
|[Red Dawn's Steel Arm[暁紅のスティールアーム]]|100|2697|2583|アルケミスト(Lv90～)|19907
|[Hand of Vermilion[ハンズオブヴァーミリオン]]|105|2813|2697|アルケミスト(Lv93～)|19912
|[Lux's Gauntlet[ルークスガントレット]]|108|2891|2774|アルケミスト(Lv95～)|19917
|[[アームオブグラース]]|110|2964|2847|アルケミスト(Lv95～)|
|[Hand of Altura[ハンズオブアルトゥーラ]]|110|2960|2843|アルケミスト(Lv95～)|20265
|[Rousing Schlucht Arm[奮起のシュルフトアーム]]|115|3081|2962|アルケミスト(Lv98～)|20270
|[Avare Gauntlet[アヴァールガントレット]]|118|3162|3042|アルケミスト(Lv100～)|20275
|[[エクスプロジオン]]|120|3238|3118|アルケミスト(Lv100～)|20280
|[[精霊の魔道篭手]]|130|3298|3178|アルケミスト(Lv100～)|23930
|[[炎王の魔道篭手]]|130|3298|3178|アルケミスト(Lv100～)|23935
|[[白翼の魔道篭手]]|130|3298|3178|アルケミスト(Lv100～)|23940
|[[黄金の魔道篭手]]|130|3298|3178|アルケミスト(Lv100～)|23945
|[[黒砕の魔道篭手]]|135|3430|3310|アルケミスト(Lv100～)|23950

**Gatcha
|[Dragon's Wing[ドラゴンズウイング]]|11|253|184|アルケミスト(Lv1～)|10353
|[Alchemy Seizer[アルケミーシーザー]]|12|253|184|アルケミスト(Lv1～)|11700
|[Salvation Gauntlet[サルヴェーションガントレット]]|16|324|252|アルケミスト(Lv1～)|14103
|[Dual Hands of Heroes[豪傑のデュアルハンズ]]|25|1534|1435|アルケミスト(Lv55～)|14108
|[Obsidian Gauntlet[オブシディアンガントレット]]|31|400|325|アルケミスト(Lv1～)|14109
|[Covered Arm of Legacy[遺宝のカバードアーム]]|40|1751|1646|アルケミスト(Lv60～)|14114
|[Arisen's Seizer[アリズンズシーザー]]|45|448|371|アルケミスト(Lv1～)|15823
|[Roaring Blaze Scale Hands[猛炎のスケイルハンズ]]|55|1956|1851|アルケミスト(Lv70～)|16512
|[Melty Seiðr[メルティ・セイズ]]|45|1567|1468|アルケミスト(Lv1～)|16778
|[Sincere Seiðr[シンシアー・セイズ]]|45|1567|1468|アルケミスト(Lv1～)|16779
|[Hands of Radiance[ハンズオブラディアンス]]|60|497|419|アルケミスト(Lv1～)|15828
|[Tyrant Hands of Torn Light[破光のタイラントハンズ]]|70|2189|2081|アルケミスト(Lv75～)|16513
|[Blue Storm Mithril Arm[蒼嵐のミスリルアーム]]|80|2243|2135|アルケミスト(Lv1～)|19398
|[Hand of Vanguard[ハンズオブバンガード]]|83|2333|2223|アルケミスト(Lv1～)|19408
|[Supreme Ruler's Arabesque Arms[覇王のアラベスクアーム]]|86|2380|2269|アルケミスト(Lv80～)|19418
|[Ablaze Gauntlet[アブレイズガントレット]]|88|2443|2332|アルケミスト(Lv80～)|19428
|[Adamas Military Expedition Arm[征戦のアダマスアーム]]|90|2546|2433|アルケミスト(Lv1～)|19712
|[Hands of Agitator[ハンズオブアジテイター]]|93|2581|2468|アルケミスト(Lv1～)|19713
|[Holy Night's Claus Gauntlet[聖夜のクロースガントレット]]|25|1225|1225|アルケミスト(Lv1～)|19582
|[Gauntlet of Serpent Wings[蛇翼のガントレット]]|96|2630|2516|アルケミスト(Lv85～)|19438
|[Arm of Strife[アームオブストライフ]]|98|2695|2581|アルケミスト(Lv85～)|19448
|[Intellect's Weise Glove[識者のヴァイゼグラブ]]|102|2774|2659|アルケミスト(Lv1～)|19927
|[Hand of Kenntnis[ハンズオブケントニス]]|105|2840|2724|アルケミスト(Lv1～)|19928
|[Gauntlet of Glowing Embers[熾火のガントレット]]|106|2891|2774|アルケミスト(Lv90～)|19929
|[Arm of Altesch[アームオブアルテッシュ]]|108|2958|2841|アルケミスト(Lv90～)|19930
|[Honnête Glove of Purity[純真のオネットグラブ]]|112|3040|2922|アルケミスト(Lv1～)|20285
|[[アームオブフェデルタ]]|115|3108|2989|アルケミスト(Lv1～)|
|[[聖戦のスフィダンテアーム]]|116|3162|3042|アルケミスト(Lv95～)|
|[Hand of Vainqueur[ハンズオブヴァンクール]]|118|3231|3111|アルケミスト(Lv95～)|20288
|[Hand of Kraken[ハンズオブクラーケン]]|130|3298|3178|アルケミスト(Lv1〜)|24995
|[[失われし大陸のローバーハンズ]]|130|3298|3178|アルケミスト(Lv1〜)|23955
|[[凍てつきし氷晶のエルガーハンズ]]|135|3248|3400|[[アルケミスト]](Lv1〜)|23957
