**Magic Sword ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Standard
|[Scimitar[シミター]]|1|121|121|ハイセプター(Lv1～)|20027
|[Iriketh[イリケス]]|6|482|482|ハイセプター(Lv30〜)|20032
|Kris[[クリス]]|10|955|955|ハイセプター(Lv50〜)|20037
|[Magias Sword[マギアスソード]]|35|1768|1768|ハイセプター(Lv70〜)|20042
|[Fallen Truth[フォールントゥルース]]|50|1950|1950|ハイセプター(Lv75〜)|20047
|[Auxilia[アウクシリア]]|65|2162|2162|ハイセプター(Lv80〜)|20052
|[Bastard Sword of Resentment[怨嗟のバスタードソード]]|90|2454|2454|ハイセプター(Lv85〜)|20057
|[Bozorg Kaldo[ボゾールグカルド]]|98|2706|2706|ハイセプター(Lv90〜)|20062
|[Red Dawn's Steel Sword[暁紅のスティールソード]]|100|2773|2773|ハイセプター(Lv90〜)|20073
|[Saber of Vermilion[サーベルオブヴァーミリオン]]|105|2890|2890|ハイセプター(Lv93〜)|20078
|[Patlat Edge[パトラートエッジ]]|108|2969|2969|ハイセプター(Lv95〜)|20083
|[[クリスウラガン]]|110|3054|3054|ハイセプター(Lv95～)|20088
|[Saif of Altura[サイフオブアルトゥーラ]]|110|3038|3038|ハイセプター(Lv95～)|20397
|[Rousing Schlucht Scimitar[奮起のシュルフトシミター]]|115|3160|3160|ハイセプター(Lv98～)|20402
|[Ideal Scimitar[イデアルシミター]]|118|3242|3242|ハイセプター(Lv100～)|20407
|[[シュブリマシオン]]|120|3318|3318|ハイセプター(Lv100～)|20412
|[[精霊の魔道剣]]|130|3378|3378|ハイセプター(Lv100～)|24071
|[[炎王の魔道剣]]|130|3378|3378|ハイセプター(Lv100～)|24076
|[[白翼の魔道剣]]|130|3378|3378|ハイセプター(Lv100～)|24081
|[[黄金の魔道剣]]|130|3378|3378|ハイセプター(Lv100～)|24086
|[[黒砕の魔道剣]]|135|3510|3510|ハイセプター(Lv100～)|24091
|[[蛮勇のレンジャーシミター]]|140|3630|3630|ハイセプター(Lv105～)|25209
|[[孤高のレンジャーシミター]]|145|3883|3883|ハイセプター(Lv110～)|25214

**Gatcha
|[Intellect's Weise Scimitar[識者のヴァイゼシミター]]|102|2851|2851|ハイセプター(Lv1～)|20097
|[Saif of Kenntnis[サイフオブケントニス]]|105|2917|2917|ハイセプター(Lv1～)|20098
|[Shamshir of Glowing Embers[熾火のシャムシール]]|106|2969|2969|ハイセプター(Lv90～)|20099
|[Scimitar of Altesch[シミターオブアルテッシュ]]|108|3036|3036|ハイセプター(Lv90～)|20100
|[Obsidian Sword[オブシダンソード]]|110|3066|3066|ハイセプター(Lv1～)|21784
|[Honnête Scimitar of Purity[純真のオネットシミター]]|112|3119|3119|ハイセプター(Lv1～)|20421
|[Scimitar of Fedeltà[シミターオブフェデルタ]]|115|3188|3188|ハイセプター(Lv1～)|20422
|[[斬王逸刀]]|115|3160|3160|ハイセプター(Lv1～)|
|[[聖戦のスフィダンテシミター]]|116|3242|3242|ハイセプター(Lv95～)|
|[Saber of Vainqueur[サーベルオブヴァンクール]]|118|3311|3311|ハイセプター(Lv95～)|20424
|[Scimitar of Kraken[シミターオブクラーケン]]|130|3378|3378|ハイセプター(Lv1〜)|25010
|[[失われし大陸のローバーシミター]]|130|3378|3378|ハイセプター(Lv1〜)|
|[[凍てつきし氷晶のエルガーシミター]]|135|3510|3510|[[ハイセプター]](Lv1〜)|
|[Scimitar of Ice Age[シミターオブアイスエイジ]]|135|3536|3536|[[ハイセプター]](Lv1〜)|25012
|[Edge of Guardian[エッジオブガーディアン]]|140|3650|3650|[[ハイセプター]](Lv1〜)|25590

**Event/Special
|[[斬神刀皇]]|115|3229|3229|ハイセプター(Lv1～)|

**Rusted
|[Rusted Magick Sword[錆びた魔道剣]]|1|121|121|ハイセプター(Lv1～)|20067
//|┗ [Polished Sword[ポリッシュドソード]]|20|1584|1367|ハイセプター(Lv1～)|15678
//|[Conspicuous Rusted Magick Sword[異彩を放つ錆びた魔道剣＋1]]|1|121|0|ハイセプター(Lv1～)|21413
//|┗ [[＋1]]||||ハイセプター(Lv1～)|
//|[Conspicuous Rusted Magick Sword[異彩を放つ錆びた魔道剣＋2]]||||ハイセプター(Lv1～)|21414
//|┗ [[＋2]]||||ハイセプター(Lv1～)|
|[Conspicuous Rusted Magick Sword[異彩を放つ錆びた魔道剣＋3]]|3|121|121|ハイセプター(Lv1～)|21415
|┗ [Crimson Firangi[クリムゾンフィランギ＋3]]|60|2084|2084|ハイセプター(Lv1～)|21430
|　┗ [True Crimson Firangi[真・クリムゾンフィランギ＋3]]|90|2527|2284|ハイセプター(Lv1～)|21450
