**{NAME HERE} ITEM LIST   
||Name|Rank|P-DEF|M-DEF|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Helm
|[Round Helm[ラウンドヘルム]]|1|13|21|シールドセージ、アルケミスト、ハイセプター(Lv3～)|470
|[Garrison's Helmet[ギャリソンズメット]]|2|19|30|シールドセージ、アルケミスト、ハイセプター(Lv6～)|471
|[Blue-edged Helm[ブルーエイジヘルム]]|2|22|36|シールドセージ、アルケミスト、ハイセプター(Lv8～)|8163
|[Intellect Helm[了知のヘルム]]|3|28|46|シールドセージ、アルケミスト、ハイセプター(Lv11～)|8168
|[Noble's Helm[ノーブルヘルム]]|3|32|52|シールドセージ、アルケミスト、ハイセプター(Lv13～)|472
|[Sentry Helm[セントリーヘルム]]|4|39|63|シールドセージ、アルケミスト、ハイセプター(Lv16～)|473
|[Pleasant Helm[プレザントヘルム]]|4|43|70|シールドセージ、アルケミスト、ハイセプター(Lv18～)|8173
|[Shielder Helm[シールダーヘルム]]|4|48|77|シールドセージ、アルケミスト、ハイセプター(Lv20～)|838
|[Quest Helm[探求のヘルム]]|5|53|84|シールドセージ、アルケミスト、ハイセプター(Lv22～)|839
|[Another Eyes[アナザーアイズ]]|5|58|92|シールドセージ、アルケミスト、ハイセプター(Lv24～)|840
|[Sergeant's Helm[サージェントヘルム]]|6|63|100|シールドセージ、アルケミスト、ハイセプター(Lv26～)|842
|[Showdown Helm[ショーダウンヘルム]]|6|68|108|シールドセージ、アルケミスト、ハイセプター(Lv28～)|843
|[Guardian Helm[ガーディアンヘルム]]|6|73|117|シールドセージ、アルケミスト、ハイセプター(Lv30～)|844
|[Advance Helm[アドバンスヘルム]]|7|78|125|シールドセージ、アルケミスト、ハイセプター(Lv32～)|845
|[Accomplished Helm[結実のヘルム]]|7|84|134|シールドセージ、アルケミスト、ハイセプター(Lv34～)|846
|[Grand Sage Cap[グランセージキャップ]]|8|89|143|シールドセージ、アルケミスト、ハイセプター(Lv36～)|847
|[Principal Helm[プリンシパルヘルム]]|8|95|152|シールドセージ、アルケミスト、ハイセプター(Lv38～)|848
|[Ddraig Goch Frons[ドライグフロンズ]]|8|101|161|シールドセージ、アルケミスト、ハイセプター(Lv40～)|2453
|[General's Helm[ジェネラルヘルム]]|9|98|157|シールドセージ、アルケミスト、ハイセプター(Lv41～)|849
|[Triumph Helm[トライアンフヘルム]]|9|114|183|シールドセージ、アルケミスト、ハイセプター(Lv43～)|850
|[Greater Eyes[グレーターアイズ]]|9|128|204|シールドセージ、アルケミスト、ハイセプター(Lv45～)|851
|[Virtue Helm[デュミナスヘルム]]|9|132|212|シールドセージ、アルケミスト、ハイセプター(Lv45～)|858
|[Bravery Helm[ブレイブリーヘルム]]|10|133|213|シールドセージ、アルケミスト、ハイセプター(Lv46～)|8188
|[Throne's Helm[スローンズヘルム]]|10|150|240|シールドセージ、アルケミスト、ハイセプター(Lv49～)|8182
|[Sublime Helm[サブライムヘルム]]|11|163|261|シールドセージ、アルケミスト、ハイセプター(Lv52～)|859
|[Helm of Concealment[秘匿のヘルム]]|11|174|278|シールドセージ、アルケミスト、ハイセプター(Lv55～)|855
|[Chevalier Helm[シュバリエヘルム]]|11|179|286|シールドセージ、アルケミスト、ハイセプター(Lv55～)|854
|[Maverick Helm[マーヴェリックヘルム]]|12|180|288|シールドセイジ、アルケミスト、ハイセプター(Lv56～)|853
|[Oath's Helm[盟約のヘルム]]|12|192|308|シールドセージ、アルケミスト、ハイセプター(Lv58～)|862
|[Ancient Helm[エンシャントヘルム]]|12|205|328|シールドセージ(Lv60～)|856
|[Paracelsus' Mask[パラケルススの仮面]]|12|205|328|アルケミスト(Lv60～)|857
|[Balangingi Helm[バランジェネジーヘルム]]|12|210|336|シールドセージ(Lv60～)|860
|[Face of Truth[フェイスオブトゥルース]]|12|210|336|アルケミスト(Lv60～)|861
|[Helm of Gloom[陰影のヘルム]]|15|212|339|シールドセージ、アルケミスト、ハイセプター(Lv62～)|12596
|[Heavenly Eyes[ヘヴンリーアイズ]]|20|224|358|シールドセージ、アルケミスト、ハイセプター(Lv65～)|863
|[Forehead Protector of Wisemen[賢人の額当て]]|25|232|371|シールドセージ、アルケミスト、ハイセプター(Lv65～)|12601
|[Saint's Helm[セインツヘルム]]|30|237|379|シールドセージ、アルケミスト、ハイセプター(Lv65～)|12606
|[Roaming Hat[ローミングハット]]|30|245|393|シールドセージ、アルケミスト、ハイセプター(Lv67～)|12611
|[Genius Helm[ゲニウスヘルム]]|35|258|413|シールドセージ、アルケミスト、ハイセプター(Lv70～)|852
|[Helm of Certainty[ヘルムオブサーテンティ]]|40|266|426|シールドセージ、アルケミスト、ハイセプター(Lv70～)|12616
|[Scholarly Eye[スカラリーアイ]]|45|272|435|シールドセージ、アルケミスト、ハイセプター(Lv70～)|12621
|[Continent Helm[コンチネントヘルム]]|50|291|466|シールドセージ、アルケミスト、ハイセプター(Lv75～)|14918
|[Helm of Keen Insight[慧眼のヘルム]]|55|299|479|シールドセージ、アルケミスト、ハイセプター(Lv75～)|14923
|[Fortress Eye[フォートレスアイ]]|60|308|493|シールドセージ、アルケミスト、ハイセプター(Lv75～)|14928
|[Circlet of Benevolence[仁徳のサークレット]]|60|317|507|シールドセージ、アルケミスト、ハイセプター(Lv77～)|14933
|[Monochrome Mask[モノクロームマスク]]|65|328|526|シールドセージ、アルケミスト、ハイセプター(Lv80～)|14938
|[Dark Red Helm[黒緋のヘルム]]|70|337|539|シールドセージ、アルケミスト、ハイセプター(Lv80～)|14943
|[Azure Head[アズールヘッド]]|75|346|553|シールドセージ、アルケミスト、ハイセプター(Lv80～)|14948
|[Brass Helm[ブラスヘルム]]|80|345|551|シールドセージ、アルケミスト、ハイセプター(Lv80～)|17601
|[Sizjak Hat[シジャークハット]]|85|364|582|シールドセージ、アルケミスト、ハイセプター(Lv83～)|17606
|[Acrean Turban[アッカリアターバン]]|90|380|607|シールドセージ、アルケミスト、ハイセプター(Lv85～)|17611
|[Kelsus Barbute[ケルススバーブート]]|90|378|6040|シールドセージ、アルケミスト、ハイセプター(Lv85～)|18229
|[Kier Cervelliere[キアーサーブレア]]|95|396|634|シールドセージ、アルケミスト、ハイセプター(Lv88～)|18234
|[Dools Barbute[ドゥールズバーブート]]|100|421|675|シールドセージ、アルケミスト、ハイセプター(Lv90～)|18239
|[Pundit Eye[パンディットアイ]]|100|420|672|シールドセージ、アルケミスト、ハイセプター(Lv90～)|20614
|[Briller Head[ブリイェールヘッド]]|105|444|711|シールドセージ、アルケミスト、ハイセプター(Lv93～)|20619
|[[メヒザフクラウン]]|110|458|734|シールドセージ、アルケミスト、ハイセプター(Lv95～)|20624
|[Positivité Helm[ポシビリテヘルム]]|110|457|731|シールドセージ、アルケミスト、ハイセプター(Lv95～)|20942
|[Solidarité Turban[ソリダリテターバン]]|115|473|758|シールドセージ、アルケミスト、ハイセプター(Lv98～)|20947
|[Ideal Head[イデアルヘッド]]|120|491|786|シールドセージ、アルケミスト、ハイセプター(Lv100～)|20952
|[[精霊の魔戦兜]]|130|499|798|シールドセージ、アルケミスト、ハイセプター(Lv100～)|24399
|[[炎王の魔戦兜]]|130|499|798|シールドセージ、アルケミスト、ハイセプター(Lv100～)|24404
|[[白翼の魔戦兜]]|130|499|798|シールドセージ、アルケミスト、ハイセプター(Lv100～)|24409
|[[黄金の魔戦兜]]|130|499|798|シールドセージ、アルケミスト、ハイセプター(Lv100～)|24414
|[[黒砕の魔戦兜]]|135|506|810|シールドセージ、アルケミスト、ハイセプター(Lv100～)|24419
|[[蛮勇のレンジャーターバン]]|140|554|886|シールドセージ、アルケミスト、ハイセプター(Lv105～)|25416

**Chest
|[Sage's Robe[セージローブ]]|1|24|21|シールドセージ、アルケミスト、ハイセプター(Lv3～)|474
|[Garrison's Jacket[ギャリソンズジャケット]]|2|34|30|シールドセージ、アルケミスト、ハイセプター(Lv6～)|475
|[Regal Coat[リーガルコート]]|2|41|36|シールドセージ、アルケミスト、ハイセプター(Lv8～)|8268
|[Elite Drapes[エリートドレープ]]|3|51|46|シールドセージ、アルケミスト、ハイセプター(Lv11～)|8273
|[Noble Jacket[ノーブルジャケット]]|3|59|52|シールドセージ、アルケミスト、ハイセプター(Lv13～)|476
|[Calm Robe[カームローブ]]|4|70|63|シールドセージ、アルケミスト、ハイセプター(Lv16～)|477
|[Vigorous Coat[ヴィガラスコート]]|4|78|70|シールドセージ、アルケミスト、ハイセプター(Lv18～)|8278
|[Shielder Coat[シールダーコート]]|4|87|77|シールドセージ、アルケミスト、ハイセプター(Lv20～)|864
|[Majesty Drapes[マジェスティドレープ]]|5|95|84|シールドセージ、アルケミスト、ハイセプター(Lv22～)|865
|[Strong Jacket[ストロングジャケット]]|5|104|92|シールドセージ、アルケミスト、ハイセプター(Lv24～)|866
|[Valiant Coat[バリアントコート]]|6|113|100|シールドセージ、アルケミスト、ハイセプター(Lv26～)|868
|[Showdown Jacket[ショーダウンジャケット]]|6|122|108|シールドセージ、アルケミスト、ハイセプター(Lv28～)|869
