**Rod ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Standard
|[Bronze Rod[ブロンズロッド]]|1|0|110|シールドセージ(Lv1～)|87
|[Spike Rod[スパイクロッド]]|2|0|170|シールドセージ(Lv6～)|88
|[Strike Rod[ストライクロッド]]|3|0|196|シールドセージ(Lv11～)|9998
|[Cathedral Fire[カテドラルファイア]]|3|0|222|シールドセージ(Lv13～)|10047
|[Power Rod[パワーロッド]]|4|0|263|シールドセージ(Lv16～)|90
|[Sanction Rod[サンクションロッド]]|4|0|277|シールドセージ(Lv18～)|9963
|[Hell's Pain[ヘルズペイン]]|5|0|320|シールドセージ(Lv21～)|235
|[Crowned Head[クラウンヘッド]]|5|0|365|シールドセージ(Lv23～)|9968
|[Twinkle Venus[トウィンクルヴィーナス]]|6|0|396|シールドセージ(Lv26～)|234
|[Beacon of Mahler[ビーコンオブマーラー]]|6|0|412|シールドセージ(Lv28～)|9973
|[Sign of Mercy[サインオブマーシー]]|7|0|478|シールドセージ(Lv31～)|236
|[Supernova[シュペルノヴァ]]|7|0|529|シールドセージ(Lv33～)|9978
|[Patriot Stone[パトリオットストーン]]|8|0|582|シールドセージ(Lv36～)|240
|[Silver Spine[シルバースパイン]]|8|0|637|シールドセージ(Lv40～)|1851
|[Fury Rondeau[フューリーロンド]]|8|0|655|シールドセージ(Lv40～)|2872
|[[バニッシュメント]]|9|0|655|シールドセージ(Lv41～)|
|[Virtue's Aurora[ヴァーチェスオーロラ]]|9|0|722|シールドセージ(Lv43～)|9983
|[[リーサルバイル]]|9|0|732|シールドセージ(Lv45～)|
|[Savior Borne[セイヴァーボーン]]|10|0|874|シールドセージ(Lv47～)|243
|[Gaia Scepter[ガイアセプター]]|10|0|1025|シールドセージ(Lv49～)|244
|[Doom's Blow[ドゥームスブロウ]]|11|0|1070|シールドセージ(Lv51～)|9988
|[Burden of Sin[バーデンオブシン]]|11|0|1116|シールドセージ(Lv53～)|238
|[Hands of Rain[ハンズオブレイン]]|11|0|1139|シールドセージ(Lv55～)|245
|[Strict Ruling[ストリクトルーリング]]|12|0|1131|シールドセージ(Lv57～)|247
|[Godblaze 7[ゴッドブレイズ７]]|12|0|1208|シールドセージ(Lv60～)|10062
|[Tempest[テンペスト]]|12|0|1288|シールドセージ(Lv60～)|9993
|[Evening Sun[イブニングサン]]|15|0|1368|シールドセージ(Lv62～)|11434
|[Limelight[ライムライト]]|20|0|1460|シールドセージ(Lv65～)|12051
|[Vortex[ヴォルテックス]]|25|0|1493|シールドセージ(Lv65～)|12056
|[Divine Attractor[ディバインアトラクター]]|30|0|1509|シールドセージ(Lv65～)|12061
|[Polaris Drop[ポラリスドロップ]]|30|0|1578|シールドセージ(Lv67～)|12066
|[Judgement[ジャッジメント]]|35|0|1674|シールドセージ(Lv70～)|12071
|[Rod of Tyrant[ロッドオブタイラント]]|40|0|1708|シールドセージ(Lv70～)|12076
|[Conscience Torch[コンシエンストーチ]]|45|0|1725|シールドセージ(Lv70～)|12081
|[Rod of Tribe[ロッドオブトライブ]]|45|0|1797|シールドセージ(Lv72～)|14422
|[Quadruple Rod[クアドラプルロッド]]|50|0|1846|シールドセージ(Lv75～)|14427
|[Rod of the Departed[枯骨のロッド]]|55|0|1916|シールドセージ(Lv75～)|14432
|[Verdant Star[ヴァーダントスター]]|60|0|1968|シールドセージ(Lv75～)|14437
|[Étincelle Supernova[エタンセルシュペルノヴァ]]|60|0|2026|シールドセージ(Lv77～)|14442
|[Rod of the Seven Stars[七星のロッド]]|65|0|2079|シールドセージ(Lv80～)|14447
|[Fiend Rod[フィーンドロッド]]|70|0|2151|シールドセージ(Lv80～)|14452
|[Core of Rod[コアオブロッド]]|75|0|2205|シールドセージ(Lv80～)|14457
|[Nobility's Rod[ノビリティーズロッド]]|80|0|2175|シールドセージ(Lv80～)|17451
|[Khidir's Torch[ヒドゥルストーチ]]|85|0|2281|シールドセージ(Lv83～)|17456
|[Roshanak[ロシャナク]]|90|0|2353|シールドセージ(Lv85～)|17461
|[Torch of Haoma[トーチオブハオマ]]|90|0|2422|シールドセージ(Lv85～)|18685
|[Malachite Rod of Resentment[怨嗟のマラカイトロッド]]|90|0|2417|シールドセージ(Lv85～)|18021
|[Torch of Horos[トーチオブホロース]]|95|0|2527|シールドセージ(Lv88～)|18026
|[Maryam Rod[マルヤムロッド]]|98|0|2602|シールドセージ(Lv90～)|18031
|[[ロクサネスヴァール]]|100|0|2676|シールドセージ(Lv90～)|
