**Great Shield ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
|[Large Wood[ラージウッド]]|1|110|0|シールドセージ(Lv1～)|91
|[Oval Shield[オーヴァルシールド]]|2|145|0|シールドセージ(Lv5～)|92
|[Battle Shield[バトルシールド]]|2|170|0|シールドセージ(Lv8～)|94
|[Monolith[モノリス]]|3|196|0|シールドセージ(Lv11～)|1705
|[Knight's Honor[ナイツオナー]]|3|235|0|シールドセージ(Lv14～)|1707
|[Woody Magick[ウッディマジック]]|4|263|0|シールドセージ(Lv17～)|1709
|[Rare Wooden Wall[レアウドンウォール]]|5|350|0|シールドセージ(Lv23～)|1861
|[Scutum[スクートゥム]]|4|291|0|シールドセージ(Lv19～)|2731
|[Brilliance[ブリリアンス]]|5|320|0|シールドセージ(Lv21～)|2883
|[Megalith[メガリス]]|5|365|0|シールドセージ(Lv25～)|2885
|[Blue Kite[ブルーカイト]]|6|412|0|シールドセージ(Lv27～)|2886
|[Setzschild[シャトーシェード]]|6|445|0|シールドセージ(Lv29～)|2887
|[Embossed Head[ライアコンヘッド]]|7|461|0|シールドセージ(Lv31～)|2888
|[Bastion[バスティオン]]|7|512|0|シールドセージ(Lv32～)|2890
|[Mark of the Advance[マークオブアドバンス]]|7|529|0|シールドセージ(Lv34～)|2891
|[Valor Glare[バロールグレア]]|8|564|0|シールドセージ(Lv36～)|3912
|[Tyrant's Scale[タイラントスケイル]]|8|582|0|シールドセージ(Lv37～)|3918
|[Chained Sepulchre[チェインドセパルカ]]|8|600|0|シールドセージ(Lv38～)|4940
|[Zombie Grave[ゾンビグレイブ]]|8|618|0|シールドセージ(Lv40～)|4939
|[Savior Fort[セイヴァーフォート]]|8|674|0|シールドセージ(Lv40～)|4943
|[Black Wall[ブラックウォール]]|9|655|0|シールドセージ(Lv41～)|11087
|[Tombstone[トゥームストーン]]|9|722|0|シールドセージ(Lv43～)|11092
|[Ellipse Shield[エリプスシールド]]|9|707|0|シールドセージ(Lv43～)|11097
|[Angelskin[エンジェルスキン]]|9|804|0|シールドセージ(Lv45～)|257
|[Byzantine Guard[ビザンティンガード]]|9|819|0|シールドセージ(Lv45～)|264
|[Everbrave[エヴァーブレイブ]]|9|819|0|シールドセージ(Lv45～)|1873
|[Fatal Diagram[フェイタルダイアグラム]]|9|833|0|シールドセージ(Lv45～)|1875
|[Heaven's Door[ヘヴンズドア]]|10|874|0|シールドセージ(Lv47～)|1880
|[Wizard's Vizard[ウィザードオブウィザード]]|10|931|0|シールドセージ(Lv49～)|2900
|[Engagement[エンゲイジメント]]|11|1004|0|シールドセージ(Lv51～)|2901
|[Unbreakable[アンブレイカブル]]|11|1048|0|シールドセージ(Lv53～)|2905
|[Black Aegis[ブラックアイギス]]|11|1061|0|シールドセージ(Lv55～)|2906
|[D.R.I.P.[Ｄ.Ｒ.Ｉ.Ｐ.]]|11|1108|0|シールドセージ(Lv55～)|2910
|[Dead Man's Wall[デッドマンズウォール]]|11|1139|0|シールドセージ(Lv55～)|3925
|[Dual Sentinel[デュアルセンチネル]]|12|1131|0|シールドセージ(Lv56～)|3932
|[Illuminati's Watch[イルミナティーズウォッチ]]|12|1208|0|シールドセージ(Lv58～)|4954
|[Hell's Keeper[ヘルズキーパー]]|12|1256|0|シールドセージ(Lv60～)|4953
|[Platanus[プラタナス]]|12|1256|0|シールドセージ(Lv60～)|4950
|[Waking Disaster[ウェイキングディザスター]]|12|1288|0|シールドセージ(Lv60～)|4957
|[True Savior Fart[真・セイヴァーフォート]]|12|1256|0|シールドセージ(Lv40～)|11577
|[True Fatal Diagram[真・フェイタルダイアグラム]]|12|1256|0|シールドセージ(Lv45～)|11582
|[Gravestone[グレイブストーン]]|12|1192|0|シールドセージ(Lv55～)|11429
|[Protect Frame[プロテクトフレーム]]|15|1368|0|シールドセージ(Lv62～)|11996
|[Scareface[スケアーフェイス]]|20|1460|0|シールドセージ(Lv65～)|12001
|[Savior Shrine[セイバーシュライン]]|20|1460|0|シールドセージ(Lv65～)|12006
|[Primera[プリミラ]]|25|1476|0|シールドセージ(Lv65～)|12011
|[Scheinschild[シャインシールド]]|30|1509|0|シールドセージ(Lv65～)|12016
|[Holy Crest Tower Shield[聖紋のタワーシールド]]|30|1578|0|シールドセージ(Lv67～)|12026
|[Angelic Protection[エンジェリックプロテクション]]|35|1674|0|シールドセージ(Lv70～)|12031
