|Name|Rank|Explination|h
||CENTER:||c
|[Crest of Lightness[装具軽量化のクレスト]]|3|装着した防具の重量が減少するクレスト&br;【装備重量】-10%|9285
|[Crest of Unburdening[装具微量化のクレスト]]|8|装着した防具の重量が減少するクレスト&br;【装備重量】-20%|9286
|[Crest of Health[体力のクレスト]]|20|装着した防具の性能を強化するクレスト&br;最大体力+20|16067
|[Crest of Strong Health[剛体のクレスト]]|20|装着した防具の性能を強化するクレスト&br;最大体力+35|16066
|[Crest of Stamina[持久力のクレスト]]|20|装着した防具の性能を強化するクレスト&br;最大スタミナ+20|16069
|[Crest of Strong Stamina[剛久力のクレスト]]|20|装着した防具の性能を強化するクレスト&br;最大スタミナ+35|16068
|[Crest of Vigor[活力のクレスト]]|20|装着した防具の性能を強化するクレスト&br;最大体力+20&br;最大スタミナ+20|16079
|[Crest of Protection[守のクレスト]]|3|装着した防具の守りが強まるクレスト&br;物理守備力+2|9287
|[Crest of Greater Protection[防守のクレスト]]|7|装着した防具の守りが強まるクレスト&br;物理防御力+3|9288
|[Crest of Sheer Protection[堅守のクレスト]]|9|装着した防具の守りが強まるクレスト&br;物理防御力+4|9289
|[Crest of Firm Protection[頑守のクレスト]]|10|装着した防具の守りが強まるクレスト&br;物理防御力+5|9290
|[Crest of Protection+[守のクレスト・改]]|12|装着した防具の守りが強まるクレスト&br;物理防御力+6|11740
|[Crest of Greater Protection+[防守のクレスト・改]]|15|装着した防具の守りが強まるクレスト&br;物理防御力+7|14186
|[Crest of Firm Protection (Lightness)[頑守のクレスト【軽量化】]]|20|装着した防具の性能を強化するクレスト&br;物理防御力+5&br;重量-10%|16073
|[Crest of Firm Protection (Health)[頑守のクレスト【体力】]]|20|装着した防具の性能を強化するクレスト&br;物理防御力+5&br;最大体力+20|16070
|[Crest of Firm Protection (Endurance)[頑守のクレスト【耐久】]]|20|装着した防具の性能を強化するクレスト&br;物理防御力+5&br;耐久力+8|16071
|[Crest of Firm Protection (Vitality)[頑守のクレスト【生命力】]]|20|装着した防具の性能を強化するクレスト&br;物理防御力+5&br;生命治癒力+3|16072
|[Crest of Intelligence[智のクレスト]]|3|装着した防具の魔防が強まるクレスト&br;魔法防御力+2|9291
|[Crest of Greater Intelligence[良智のクレスト]]|7|装着した防具の魔防が強まるクレスト&br;魔法防御力+3|9292
