|Name|Rank|Explination|h
||CENTER:||c
|[Crest of Lightness[武器軽量化のクレスト]]|6|装着した武器の重量が減少するクレスト&br;装備重量-10%|9193
|[Crest of Unburdening[武器微量化のクレスト]]|11|装着した武器の重量が減少するクレスト&br;装備重量-15%|9194
|[Crest of Power[力のクレスト]|3|装着した武器の威力が強まるクレスト&br;物理攻撃力+2|9195
|[Crest of Greater Power[双力のクレスト]]|7|装着した武器の威力が強まるクレスト&br;物理攻撃力+4|9196
|[Crest of Sheer Power[蛮力のクレスト]]|9|装着した武器の威力が強まるクレスト&br;物理攻撃力+6|9197
|[Crest of Herculean Power[剛力のクレスト]]|10|装着した武器の威力が強まるクレスト&br;物理攻撃力+7|9198
|[Crest of Power+[力のクレスト・改]]|12|装着した武器の威力が強まるクレスト&br;物理攻撃力+8|11719
|[Crest of Greater Power+[双力のクレスト・改]]|15|装着した武器の威力が強まるクレスト&br;物理攻撃力+9|13658
|[Crest of Sheer Power+[蛮力のクレスト・改]]|25|装着した武器の威力が強まるクレスト&br;物理攻撃力+12|25654
|[Crest of Herculean Power+[剛力のクレスト・改]]|30|装着した武器の威力が強まるクレスト&br;物理攻撃力+15|25655
|[Crest of Herculean Power (Lightness)[剛力のクレスト【軽量化】]]|20|装着した武器の威力が強まるクレスト&br;物理攻撃力+7&br;重量-10%|16059
|[Crest of Herculean Power (Blow Power)[剛力のクレスト【吹飛】]]|20|装着した武器の性能を強化するクレスト&br;物理攻撃力+7&br;吹き飛ばし力+8|16043
|[Crest of Herculean Power (Stun)[剛力のクレスト【気絶】]]|20|装着した武器の性能を強化するクレスト&br;物理攻撃力+7&br;気絶攻力+5|16044
|[Crest of Herculean Power (Lowered Defense)[剛力のクレスト【物防低下】]]|20|装着した武器の性能を強化するクレスト&br;物理攻撃力+7&br;与【物防低下】蓄積値+22|16050
|[Crest of Herculean Power (Burning)[剛力のクレスト【延焼】]]|20|装着した武器の魔法属性を炎にし、さらに&br;性能を強化するクレスト&br;物理攻撃力+7&br;与【延焼】蓄積値+15|16030
|[Crest of Herculean Power (Freezing)[剛力のクレスト【凍結】]]|20|装着した武器の魔法属性を氷にし、さらに&br;性能を強化するクレスト&br;物理攻撃力+7&br;与【凍結】蓄積値+10|16031
|[Crest of Herculean Power (Shock)[剛力のクレスト【感電】]]|20|装着した武器の魔法属性を雷にし、さらに&br;性能を強化するクレスト&br;物理攻撃力+7&br;与【感電】蓄積値+15|16032
|[Crest of Herculean Power (Holy Drain)[剛力のクレスト【聖吸】]]|20|装着した武器の魔法属性を聖にし、さらに&br;性能を強化するクレスト&br;物理攻撃力+7&br;与【聖吸】蓄積値+15|16033
|[Crest of Herculean Power (Blindness)[剛力のクレスト【闇霧】]]|20|装着した武器の魔法属性を闇にし、さらに&br;性能を強化するクレスト&br;物理攻撃力+7&br;与【闇霧】蓄積値+15|16034
|[Crest of Herculean Power (Poison)[剛力のクレスト【毒】]]|20|装着した武器の性能を強化するクレスト&br;物理攻撃力+7&br;与【毒】蓄積値+20|16045
|[Crest of Herculean Power (Torpor)[剛力のクレスト【遅延】]]|20|装着した武器の性能を強化するクレスト&br;物理攻撃力+7&br;与【遅延】蓄積値+15|16046
|[Crest of Herculean Power (Petrification)[剛力のクレスト【石化】]]|20|装着した武器の性能を強化するクレスト&br;物理攻撃力+7&br;与【石化】蓄積値+10|16048
|[Crest of Herculean Power (Gilding)[剛力のクレスト【黄金化】]]|20|装着した武器の性能を強化するクレスト&br;物理攻撃力+7&br;与【黄金化】蓄積値+10|16049
|[Crest of Herculean Power (Sleep)[剛力のクレスト【睡眠】]]|20|装着した武器の性能を強化するクレスト&br;物理攻撃力+7&br;与【睡眠】蓄積値+10|16047
|[Crest of Magick[魔のクレスト]]|3|装着した武器の魔力が強まるクレスト&br;魔法攻撃力+2|9199
|[Crest of Greater Magick[双魔のクレスト]]|7|装着した武器の魔力が強まるクレスト&br;魔法攻撃力+4|9200
|[Crest of Sheer Magick[昇魔のクレスト]]|9|装着した武器の魔力が強まるクレスト&br;魔法攻撃力+6|9201
|[Crest of Superior Magick[覇魔のクレスト]]|10|装着した武器の魔力が強まるクレスト&br;魔法攻撃力+7|9202
|[Crest of Magick+[魔のクレスト・改]]|12|装着した武器の魔力が強まるクレスト&br;魔法攻撃力+8|11720
|[Crest of Greater Magick+[双魔のクレスト・改]]|15|装着した武器の魔力が強まるクレスト&br;魔法攻撃力+9|13659
|[Crest of Sheer Magick+[昇魔のクレスト・改]]|25|装着した武器の魔力が強まるクレスト&br;魔法攻撃力+12|25670
|[Crest of Superior Magick+[覇魔のクレスト・改]]|30|装着した武器の魔力が強まるクレスト&br;魔法攻撃力+15|25671
|[Crest of Superior Magick (Lightness)[覇魔のクレスト【軽量化】]]|20|装着した武器の威力が強まるクレスト&br;魔法攻撃力+7&br;重量-10%|16060
|[Crest of Superior Magick (Blow Power)[覇魔のクレスト【吹飛】]]|20|装着した武器の性能を強化するクレスト&br;魔法攻撃力+7&br;吹き飛ばし力+8|16051
