**{NAME HERE} ITEM LIST   
||Name|Rank|P-DEF|M-DEF|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Helm
|[Minstrel's Band[ミンストレルバンド]]|1|10|16|全ジョブ(Lv1～)|487
|[Leather Circlet[レザーサークレット]]|1|10|17|全ジョブ(Lv1～)|942
|[Recipe: ラフィネサークレット[ラフィネサークレット]]|1|0|0|全ジョブ(Lv1～)|24802
|[Trouvère Band[トルヴェールバンド]]|2|16|25|全ジョブ(Lv6～)|945
|[[ステバノ]]|2|18|28|全ジョブ(Lv7～)|
|[Hard Leather Mask[ハードレザーマスク]]|2|19|31|全ジョブ(Lv8～)|944
|[Leather Stole[レザーストール]]|3|23|36|全ジョブ(Lv11～)|9529
|[Thief's Mask[盗賊マスク]]|3|24|39|全ジョブ(Lv12～)|489
|[Incognito Mask[覆面マスク]]|3|26|42|全ジョブ(Lv13～)|943
|[Robber's Mask[ロバーズマスク]]|3|32|51|全ジョブ(Lv16～)|9534
|[Executioner's Mask[執行人のマスク]]|4|34|54|全ジョブ(Lv17～)|9539
|[Scholar's Circlet[スカラーサークレット]]|4|35|57|全ジョブ(Lv18～)|9544
|[Legacy Band[レガシーバンド]]|5|39|63|全ジョブ(Lv21～)|9549
|[Hood of Longing[望郷の頭巾]]|5|41|66|全ジョブ(Lv22～)|9554
|[Delusion Mask[無明のマスク]]|5|43|70|全ジョブ(Lv23～)|9559
|[Pirate's Mask[パイレーツマスク]]|6|50|80|全ジョブ(Lv26～)|947
|[Laurel Circlet[ローレルサークレット]]|6|52|83|全ジョブ(Lv27～)|2558
|[Investigator's Spectacles[探究者の眼鏡]]|6|0|0|全ジョブ(Lv1～)|23380
|[Faerie Band[フェアリーバンド]]|7|61|97|全ジョブ(Lv31～)|9564
|[Outlaw's Mask[アウトローマスク]]|7|63|101|全ジョブ(Lv32～)|8518
|[Advent Circlet[アドベントサークレット]]|7|64|104|全ジョブ(Lv33～)|9569
|[Victory Covert[ビクトリーコバート]]|8|72|116|全ジョブ(Lv36～)|948
|[Black Leather Circlet[黒革のサークレット]]|8|75|120|全ジョブ(Lv37～)|950
|[Angel Circlet[エンジェルサークレット]]|8|77|124|全ジョブ(Lv38～)|9574
|[Twinkle Star[ティンクルスター]]|8|80|128|全ジョブ(Lv39～)|5630
|[Dominion's Seal[ドミニオンズシール]]|9|93|148|全ジョブ(Lv41～)|9579
|[Mistilteinn Hood[ミスティルテインフード]]|10|126|202|全ジョブ(Lv46～)|952
|[Maiden's Teardrop[メイデンズティアドロップ]]|11|152|244|全ジョブ(Lv51～)|2563
|[Mysterious Thief's Mask[怪盗のマスク]]|12|189|302|全ジョブ(Lv55～)|13033
