**Fighter Shield ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Standard
|[Round Shield[ラウンドシールド]]|1|0|0|ファイター(Lv1～)|73
|[Pelta[ペルテー]]|2|0|0|ファイター(Lv6～)|1681
|[Novice Shield[ノーヴィスシールド]]|3|0|0|ファイター(Lv11～)|9933
|[Strength[ストレングス]]|3|0|0|ファイター(Lv13～)|70
|[Muscular Wall[マスカラーウォール]]|4|0|0|ファイター(Lv16～)|71
|[Vanguard[ヴァンガード]]|4|0|0|ファイター(Lv18～)|9938
|[Feathery Pelta[フェザリーペルテー]]|5|0|0|ファイター(Lv21～)|162
|[Shield of the White Knights[白衛騎士団の盾]]|5|0|0|ファイター(Lv23～)|9049
|[Shield of Oaths[宣誓の盾]]|6|0|0|ファイター(Lv26～)|163
|[Alpine Pelta[アルパインペルテー]]|6|0|0|ファイター(Lv28～)|9943
|[Lustrous Shield[ラストラスシールド]]|7|0|0|ファイター(Lv31～)|9948
|[Silver Thorn[シルバーソーン]]|7|0|0|ファイター(Lv33～)|165
|[Mark of the Chimera[キメラの紋章の盾]]|8|0|0|ファイター(Lv36～)|167
|[Hellfang[ヘルファング]]|8|0|0|ファイター(Lv40～)|9054
|[Mark of the Arisen[マークオブアリズン]]|8|0|0|ファイター(Lv40～)|168
|[Shine Targe[シャインタルジュ]]|9|0|0|ファイター(Lv41～)|169
|[Scarred Sentinel[ティーバイスカード]]|9|0|0|ファイター(Lv43～)|1778
|[Shield of the Crest of Light[光の紋章の盾]]|9|0|0|ファイター(Lv45～)|9953
|[Shield of Demonic Conquest[魔性征伐の盾]]|10|0|0|ファイター(Lv47～)|9958
|[Boldness[ボルドネス]]|10|0|0|ファイター(Lv49～)|171
|[Shield of the Pure White[純白の誓いの盾]]|11|0|0|ファイター(Lv51～)|1776
|[Stark Stolz[スタークシュトイツ]]|11|0|0|ファイター(Lv53～)|2805
|[Shield of the Divine Protector[神守り人の盾]]|11|0|0|ファイター(Lv55～)|2807
|[Emblem of Saints[エンブレムオブセインツ]]|12|0|0|ファイター(LV57～)|3833
|[Dragon's Shell[ドラゴンズシェル]]|12|0|0|ファイター(LV60～)|4854
|[[インビジブルシェイプ]]|12|0|0|ファイター(LV60～)|
|[Ancient Heater Shield[古のヒーターシールド]]|15|0|0|ファイター(LV62～)|11419
|[Burly Spike[バリースパイク]]|20|0|0|ファイター(LV65～)|11876
|[Sturm[シュトルム]]|25|0|0|ファイター(LV65～)|11881
|[Forge Brightness[フォージブライトネス]]|30|0|0|ファイター(LV65～)|11886
|[Lone Wolf Shield[孤狼の盾]]|30|0|0|ファイター(LV67～)|11891
|[Pelta Shield[ペルタシールド]]|35|0|0|ファイター(LV70～)|11896
|[Shield of Tyrant[シールドオブタイラント]]|40|0|0|ファイター(LV70～)|11901
|[Immaculate Guard[イマキュレートガード]]|45|0|0|ファイター(LV70～)|11906
|[Shield of Tribe[シールドオブトライブ]]|45|0|0|ファイター(LV72～)|14307
|[Hardened Pelta[ハーデンドペルテー]]|50|0|0|ファイター(LV75～)|14312
|[Prevent Shell[プリベントシェル]]|55|0|0|ファイター(LV75～)|14317
|[Verdant Guard[ヴァーダントガード]]|60|0|0|ファイター(LV75～)|14322
|[Damascus Shield[ダマスクスシールド]]|60|0|0|ファイター(LV77～)|14327
|[Strenuous Guard[ストレニオスガード]]|65|0|0|ファイター(LV80～)|14332
|[Demon Shield[デーモンシールド]]|70|0|0|ファイター(LV80～)|14337
|[Core of Shell[コアオブシェル]]|75|0|0|ファイター(LV80～)|14342
|[Nobility's Guard[ノビリティーズガード]]|80|0|0|ファイター(Lv80～)|17406
|[Pyxis Guard[ピクシスガード]]|85|0|0|ファイター(Lv83～)|17411
|[Mehrdad[メフルダード]]|90|0|0|ファイター(Lv85～)|17416
|[Avatara[アヴァターラ]]|90|0|0|ファイター(Lv85～)|18670
|[Relief Shield of Resentment[怨嗟のレリーフシールド]]|90|0|0|ファイター(Lv85～)|17976
|[Guard of Ghirkud[ガードオブゲイーク]]|95|0|0|ファイター(Lv88～)|17981
|[Farzaneh Guard[ファルザネハガード]]|98|0|0|ファイター(Lv90～)|17986
|[Epic Sohrab[エピックスソフラーブ]]|100|0|0|ファイター(Lv90～)|19665
|[Red Dawn's Steel Shield[暁紅のスティールシールド]]|100|0|0|ファイター(Lv90～)|19767
|[Guard of Vermilion[ガードオブヴァーミリオン]]|105|0|0|ファイター(Lv93～)|19773
|[Irade of Pavese[イラーデオブパベーゼ]]|108|0|0|ファイター(Lv95～)|19777
|[[パベーゼプリュイ]]|110|0|0|ファイター(Lv95～)|
|[Shield of Altura[シールドオブアルトゥーラ]]|110|0|0|ファイター(Lv95～)|20125
|[Rousing Schlucht Shield[奮起のシュルフトシールド]]|115|0|0|ファイター(Lv98～)|20130
|[Brave Shield[ブラーヴシールド]]|118|0|0|ファイター(Lv100～)|20135
|[[クラテール]]|120|0|0|ファイター(Lv100～)|20140
|[[精霊の盾]]|130|0|0|ファイター(Lv100～)|23741
|[[炎王の盾]]|130|0|0|ファイター(Lv100～)|23746
|[[白翼の盾]]|130|0|0|ファイター(Lv100～)|23751
|[[黄金の盾]]|130|0|0|ファイター(Lv100～)|23756
|[[黒砕の盾]]|135|0|0|ファイター(Lv100～)|23761

**Gatcha
|[Dragon's Shield[ドラゴンズシールド]]|11|0|0|ファイター(Lv1～)|10251
|[Alchemy Repeller[アルケミーリペーラー]]|12|0|0|ファイター(Lv1～)|11663
