**{NAME HERE} ITEM LIST   
||Name|Rank|P-DEF|M-DEF|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
|[Horned Helm[ホーンドヘルム]]|1|13|21|ファイター、ウォリアー(Lv3～)|422
|[Bronze Helm[ブロンズヘルム]]|2|19|30|ファイター、ウォリアー(Lv6～)|424
|[Wolf Head[ウルフヘッド]]|2|22|36|ファイター、ウォリアー(Lv8～)|2035
|[Bronze Sallet[ブロンズサーリット]]|3|28|46|ファイター、ウォリアー(Lv11～)|425
|[Kyklôps Head[キュプロスヘッド]]|3|32|52|ファイター、ウォリアー(Lv13～)|8110
|[Wolverine Head[クズリヘッド]]|4|39|63|ファイター、ウォリアー(Lv16～)|8115
|[Barrel Helm[バレルヘルム]]|4|43|70|ファイター、ウォリアー(Lv18～)|8120
|[Sorel Helmソレルヘルム]]|4|48|77|ファイター、ウォリアー(Lv20～)|520
|[Battle Helm[バードヘルム]]|5|53|84|ファイター、ウォリアー(Lv22～)|521
|[Brute Armet[ブルートアーメット]]|5|58|92|ファイター、ウォリアー(Lv24～)|522
|[Battle Sallet[バトルサーリット]]|6|63|100|ファイター、ウォリアー(Lv26～)|524
|[Sturdy Helm[スタディヘルム]]|6|68|108|ファイター、ウォリアー(Lv28～)|525
|[Serenity Helm[セレニティヘルム]]|6|73|117|ファイター、ウォリアー(Lv30～)|526
|[Fiend's Helmet[悪鬼の兜]]|7|78|125|ファイター、ウォリアー(Lv32～)|527
|[Raptor Helm[ラプターヘルム]]|7|84|134|ファイター、ウォリアー(Lv34～)|528
|[Lieutenant's Helm[ルーテナントヘルム]]|8|89|143|ファイター、ウォリアー(Lv36～)|529
|[Viking Helm[ヴァイキングヘルム]]|8|95|152|ファイター、ウォリアー(Lv38～)|530
|[Dragon's Helm[ドラグーンヘルム]]|8|101|161|ファイター、ウォリアー(Lv40～)|2135
|[Gigant Head[ギガントヘッド]]|9|98|157|ファイター、ウォリアー(Lv41～)|2143
|[Gryphus Helm[グリプスヘルム]]|9|114|183|ファイター、ウォリアー(Lv43～)|2145
|[Dusk Helm[ダスクヘルム]]|9|128|204|ファイター、ウォリアー(Lv45～)|3167
|[Fenrir Head[フェンリルヘッド]]|9|132|212|ファイター、ウォリアー(Lv45～)|3175
|[Knight Head Helm[ナイトヘッドヘルム]]|10|133|213|ファイター、ウォリアー(Lv46～)|4195
|[Silver Sallet[シルバーサーリット]]|10|150|240|ファイター、ウォリアー(Lv49～)|5216
|[Kerberos Head[ケルベロスヘッド]]|11|163|261|ファイター、ウォリアー(Lv52～)|8125
|[Chimeric Armet[魔獣のアーメット]]|11|174|278|ファイター、ウォリアー(Lv55～)|545
|[Galeam Gloria[ガレアムグロリア]]|11|179|286|ファイター、ウォリアー(Lv55～)|2148
|[Barbarian Chief's Helm[蛮族王の兜]]|12|180|288|ファイター、ウォリアー(Lv56～)|2156
|[Howl of Garuda[ホウルオブガルーダ]]|12|192|308|ファイター、ウォリアー(Lv58～)|8130
|[Dolus Galea[ドゥールスガレア]]|12|205|328|ファイター(Lv60～)|538
|[Optimus[オプティマス]]|12|205|328|ウォリアー(Lv60～)|539
|[Amilec Helm[アミレックヘルム]]|12|210|336|ファイター(Lv60～)|542
|[Rubedo Helm[ルベドヘルム]]|12|210|336|ウォリアー(Lv60～)|543
|[Mask of Wrath[憤怒のマスク]]|15|212|339|ファイター、ウォリアー(Lv62～)|2153
|[Damascus Helm[ダマスクスヘルム]]|20|224|358|ファイター、ウォリアー(Lv65～)|12536
|[Immortal's Great Helm[不滅のグレートヘルム]]|25|232|371|ファイター、ウォリアー(Lv65～)|12541
|[Enlightenment Knight[エンライトメントナイツ]]|30|237|379|ファイター、ウォリアー(Lv65～)|12546
|[Wild Noble[ワイルドノーブル]]|30|245|393|ファイター、ウォリアー(Lv67～)|12551
|[Faith Head[フェイスヘッド]]|35|258|413|ファイター、ウォリアー(Lv70～)|534
|[Alloy Helm[アロイヘルム]]|40|266|426|ファイター、ウォリアー(Lv70～)|12556
|[Predator Head[プレデターヘッド]]|45|272|435|ファイター、ウォリアー(Lv70～)|12561
|[Executioner's Mask[処刑人のマスク]]|50|291|466|ファイター、ウォリアー(Lv75～)|14837
|[Ancient Beast Armet[古獣のアーメット]]|55|299|479|ファイター、ウォリアー(Lv75～)|14842
|[Vicious Skull[ヴィシャスカル]]|60|308|493|ファイター、ウォリアー(Lv75～)|14847
|[Royal Guardsman's Sallet[衛士のサーリット]]|60|317|507|ファイター、ウォリアー(Lv77～)|14852
|[Northern Horn[ノーザンホーン]]|65|328|526|ファイター、ウォリアー(Lv80～)|14857
|[Knight Helm of Dawn[暁のナイトヘルム]]|70|337|539|ファイター、ウォリアー(Lv80～)|14862
|[Azure Helm[アズールヘルム]]|75|346|553|ファイター、ウォリアー(Lv80～)|14867
|[Brigand Mask[ブリガンドマスク]]|80|345|551|ファイター、ウォリアー(Lv80～)|17571
|[Gelmez Armet[ゲルメズアーメット]]|85|364|582|ファイター、ウォリアー(Lv83～)|17576
|[Acrean Helm[アッカリアヘルム]]|90|380|607|ファイター、ウォリアー(Lv85～)|17581
|[Courage Helm[カーレッジヘルム]]|90|378|604|ファイター、ウォリアー(Lv85～)|18199
|[Emine Helm[エミーネヘルム]]|95|396|634|ファイター、ウォリアー(Lv88～)|18204
|[Dools Armet[ドゥールズアーメット]]|100|421|675|ファイター、ウォリアー(Lv90～)|18209
|[Maddest Head[マッデストヘッド]]|100|420|672|ファイター、ウォリアー(Lv90～)|20425
|[Corail Helm[コライユヘルム]]|105|444|711|ファイター、ウォリアー(Lv93～)|20430
|[[メヒザフヘルム]]|110|458|734|ファイター、ウォリアー(Lv95～)|20444
|[Courage Helm[クラージュヘルム]]|110|457|731|ファイター、ウォリアー(Lv95～)|20762
|[Confidence Helm[コンフィアンスヘルム]]|115|473|758|ファイター、ウォリアー(Lv98～)|20767
|[Ambition Head[アンビシオンヘッド]]|120|491|786|ファイター、ウォリアー(Lv100～)|20772
|[[精霊の重装兜]]|130|499|798|ファイター、ウォリアー(Lv100～)|24099
|[[炎王の重装兜]]|130|499|798|ファイター、ウォリアー(Lv100～)|24104
|[[白翼の重装兜]]|130|499|798|ファイター、ウォリアー(Lv100～)|24109
|[[黄金の重装兜]]|130|499|798|ファイター、ウォリアー(Lv100～)|24114
|[[黒砕の重装兜]]|135|506|810|ファイター、ウォリアー(Lv100～)|24119
|[[蛮勇のアサルトスカル]]|140|554|886|ファイター、ウォリアー(Lv105～)|25236

**Chest
|[Hide Armor[ハイドアーマー]]|1|24|21|ファイター、ウォリアー(Lv3～)|426
|[Bronze Plate[ブロンズプレート]]|2|34|30|ファイター、ウォリアー(Lv6～)|427
|[Scale Coat[スケイルコート]]|2|41|36|ファイター、ウォリアー(Lv8～)|8218
|[Half Cuirass[ハーフキュイラス]]|3|51|46|ファイター、ウォリアー(Lv11～)|8223
|[Dread Armor[ドレッドアーマー]]|3|59|52|ファイター、ウォリアー(Lv13～)|428
|[Gaudy Armor[ガウディアーマー]]|4|70|63|ファイター、ウォリアー(Lv16～)|429
|[Copper Mail[カッパーメイル]]|4|78|70|ファイター、ウォリアー(Lv18～)|8228
|[Solemn Armor[ソレムアーマー]]|4|87|77|ファイター、ウォリアー(Lv20～)|546
|[Rock Armor[ロックアーマー]]|5|95|84|ファイター、ウォリアー(Lv22～)|547
|[Vice Cuirass[ヴァイスキュイラス]]|5|104|92|ファイター、ウォリアー(Lv24～)|548
|[Grand Surcoat[グランサーコート]]|6|113|100|ファイター、ウォリアー(Lv26～)|550
|[Sturdy Plate[スタディプレート]]|6|122|108|ファイター、ウォリアー(Lv28～)|551
|[Serenity Armor[セレニティアーマー]]|6|131|117|ファイター、ウォリアー(Lv30～)|552
|[Savage Armor[サヴェッジアーマー]]|7|141|125|ファイター、ウォリアー(Lv32～)|553
|[Foul Armor[フォウルアーマー]]|8|151|134|ファイター、ウォリアー(Lv34～)|554
|[Royal Surcoat[ロイヤルサーコート]]|8|161|143|ファイター、ウォリアー(Lv36～)|555
|[Cruel Armor[クルーエルアーマー]]|8|171|152|ファイター、ウォリアー(Lv38～)|556
|[Dragon Breastplate[ドラグーンブレスト]]|8|182|161|ファイター、ウォリアー(Lv40～)|2161
|[Guardsman's Armbelt[獄卒のアームドベルト]]|9|177|157|ファイター、ウォリアー(Lv41～)|2169
|[Gryphus Armor[グリプスアーマー]]|9|206|183|ファイター、ウォリアー(Lv43～)|2170
|[Dawn Plate[ドーンプレート]]|9|230|204|ファイター、ウォリアー(Lv45～)|2171
|[Fenrir Armor[フェンリルアーマー]]|9|239|212|ファイター、ウォリアー(Lv45～)|2178
|[Graceful Coat[グレイスフルコート]]|10|240|213|ファイター、ウォリアー(Lv46～)|8233
|[Silver Cuirass[シルバーキュイラス]]|10|271|240|ファイター、ウォリアー(Lv49～)|561
|[Shining Scale Coat[シャインスケイルコート]]|11|294|261|ファイター、ウォリアー(Lv52～)|563
|[Chimeric Half Plate[魔獣のハーフプレート]]|11|313|278|ファイター、ウォリアー(Lv55～)|571
|[Arma Gloria[アルマグロリア]]|11|322|286|ファイター、ウォリアー(Lv55～)|2174
|[Champione[シャンピオーネ]]|12|324|286|ファイター、ウォリアー(Lv56～)|2182
|[Unrivalled Guard[アンライバルドガルーダ]]|12|346|308|ファイター、ウォリアー(Lv58～)|3202
|[Dolus Corpus[ドゥールスコルプス]]|12|369|328|ファイター(Lv60～)|4222
|[Exquisita[エクスクィジタ]]|12|369|328|ウォリアー(Lv60～)|4223
|[Amilec Armor[アミレックアーマー]]|12|378|336|ファイター(Lv60～)|4226
|[Rubedo Coil[ルベドコイル]]|12|378|336|ウォリアー(Lv60～)|4227
|[Cursed Beast King's Belt[呪われし獣王のベルト]]|15|381|339|ファイター、ウォリアー(Lv62～)|8238
|[Damascus Plate[ダマスクスプレート]]|20|403|358|ファイター、ウォリアー(Lv65～)|12656
|[Immortal's Surcoat[不滅のサーコート]]|25|417|371|ファイター、ウォリアー(Lv65～)|12661
|[Enlightenment Armor[エンライトメントアーマー]]|30|427|379|ファイター、ウォリアー(Lv65～)|12666
|[Wild Plate[ワイルドプレート]]|30|442|393|ファイター、ウォリアー(Lv67～)|12671
|[Faith Armor[フェイスアーマー]]|35|465|413|ファイター、ウォリアー(Lv70～)|560
|[Alloy Armor[アロイアーマー]]|40|479|426|ファイター、ウォリアー(Lv70～)|12676
|[Predator Armor[プレデターアーマー]]|45|489|435|ファイター、ウォリアー(Lv70～)|12681
|[Executioner's Belt[処刑人のベルト]]|50|524|466|ファイター、ウォリアー(Lv75～)|15008
|[Ancient Beast Half Plate[古獣のハーフプレート]]|55|539|479|ファイター、ウォリアー(Lv75～)|15013
|[Mail of Genocide[メイルオブジェノサイド]]|60|554|493|ファイター、ウォリアー(Lv75～)|15018
|[Royal Guardsman's Surcoat[衛士のサーコート]]|60|571|507|ファイター、ウォリアー(Lv77～)|15023
|[Northern Arrêt[ノーザンレスト]]|65|591|526|ファイター、ウォリアー(Lv80～)|15028
|[Knight Armor of Dawn[暁のナイトアーマー]]|70|607|539|ファイター、ウォリアー(Lv80～)|15033
|[Azure Mail[アズールメイル]]|75|622|553|ファイター、ウォリアー(Lv80～)|15038
|[Brigand Armor[ブリガンドアーマー]]|80|620|551|ファイター、ウォリアー(Lv80～)|17631
|[Gelmez Armor[ゲルメズアーマー]]|85|655|582|ファイター、ウォリアー(Lv83～)|17636
|[Acrean Mail[アッカリアメイル]]|90|683|607|ファイター、ウォリアー(Lv85～)|17641
|[Courage Padding[カーレッジバデット]]|90|680|604|ファイター、ウォリアー(Lv85～)|18259
|[Emine Plate[エミーネプレート]]|95|713|634|ファイター、ウォリアー(Lv88～)|18264
|[Dools Armor[ドゥールズアーマー]]|100|759|675|ファイター、ウォリアー(Lv90～)|18269
|[Maddest Armor[マッデストアーマー]]|100|756|672|ファイター、ウォリアー(Lv90～)|20449
|[Corail Mail[コライユメイル]]|105|800|711|ファイター、ウォリアー(Lv93～)|20454
|[[メヒザフアーマー]]|110|825|734|ファイター、ウォリアー(Lv95～)|
|[Courage Armor[クラージュアーマー]]|110|822|731|ファイター、ウォリアー(Lv95～)|20777
|[Confidence Mail[コンフィアンスメイル]]|115|853|758|ファイター、ウォリアー(Lv98～)|20782
|[Ambition Armor[アンビシオンアーマー]]|120|885|786|ファイター、ウォリアー(Lv100～)|20787
|[[精霊の重装鎧]]|130|898|798|ファイター、ウォリアー(Lv100～)|24124
|[[炎王の重装鎧]]|130|898|798|ファイター、ウォリアー(Lv100～)|24129
|[[白翼の重装鎧]]|130|898|798|ファイター、ウォリアー(Lv100～)|24134
|[[黄金の重装鎧]]|130|898|798|ファイター、ウォリアー(Lv100～)|24139
|[[黒砕の重装鎧]]|135|911|810|ファイター、ウォリアー(Lv100～)|24144
|[[蛮勇のアサルトメイル]]|140|997|886|ファイター、ウォリアー(Lv105～)|25241

**Arm
|[Leather Gloves[レザーグラブ]]|1|16|13|ファイター、ウォリアー(Lv3～)|434
|[Bronze Guard[ブロンズガード]]|2|22|19|ファイター、ウォリアー(Lv6～)|435
|[Scale Arm[スケイルアーム]]|2|27|22|ファイター、ウォリアー(Lv8～)|8418
|[Bronze Gauntlet[ブロンズガントレット]]|3|34|28|ファイター、ウォリアー(Lv11～)|8423
|[Emblem Arms[エンブレムアーム]]|3|39|32|ファイター、ウォリアー(Lv13～)|436
|[Gaudy Bracers[ガウディブレイス]]|4|47|39|ファイター、ウォリアー(Lv16～)|437
|[Braintan Gloves[ブレインタングラブ]]|4|52|43|ファイター、ウォリアー(Lv18～)|8428
|[Solemn Arms[ソレムアーム]]|4|58|48|ファイター、ウォリアー(Lv20～)|598
|[Murg Armguards[ムルグアームガード]]|5|63|53|ファイター、ウォリアー(Lv22～)|599
|[Wild Gauntlet[ワイルドガントレット]]|5|69|58|ファイター、ウォリアー(Lv24～)|600
|[Smoky Gloves[スモーキーグラブ]]|6|75|63|ファイター、ウォリアー(Lv26～)|602
|[Sturdy Guard[スタディガード]]|6|81|68|ファイター、ウォリアー(Lv28～)|603
|[Serenity Arms[セレニティアーム]]|6|87|73|ファイター、ウォリアー(Lv30～)|604
|[Gooseneck Arm[グースネックアーム]]|7|94|78|ファイター、ウォリアー(Lv32～)|605
|[Raptor Gauntlets[ラプターガントレット]]|7|100|84|ファイター、ウォリアー(Lv34～)|606
|[Sturdy Gauntlets[スタディガントレット]]|8|107|89|ファイター、ウォリアー(Lv36～)|607
|[Cruel Arms[クルーエルアーム]]|8|116|96|ファイター、ウォリアー(Lv38～)|608
|[Dragoon Arms[ドラグーンアーム]]|8|121|101|ファイター、ウォリアー(Lv40～)|2213
|[Brute Gauntlets[ブルートガントレット]]|9|118|98|ファイター、ウォリアー(Lv41～)|2221
|[Gryphus Gauntlets[グリプスガントレット]]|9|137|114|ファイター、ウォリアー(Lv43～)|2222
|[Twilight Bracers[黄昏の篭手]]|9|153|128|ファイター、ウォリアー(Lv45～)|2223
|[Fenrir Gauntlets[フェンリルガントレット]]|9|159|132|ファイター、ウォリアー(Lv45～)|2230
|[Zeal Gloves[ジールグラブ]]|10|160|133|ファイター、ウォリアー(Lv46～)|8433
|[Silver Gauntlets[シルバーガントレット]]|10|180|150|ファイター、ウォリアー(Lv49～)|613
|[Metal Riff Arm[メタルリーフアーム]]|11|196|163|ファイター、ウォリアー(Lv52～)|615
|[Chimeric Gauntlets[魔獣のガントレット]]|11|209|174|ファイター、ウォリアー(Lv55～)|623
|[Caestus Gloria[カエストグロリア]]|11|214|179|ファイター、ウォリアー(Lv55～)|2226
|[Hallgeir Arms[ヘルジェイルアーム]]|12|216|180|ファイター、ウォリアー(Lv56～)|2234
|[Talons of Garuda[タロンオブガルーダ]]|12|231|192|ファイター、ウォリアー(Lv58～)|3254
|[Fortis Manibus[フォルティスマニブス]]|12|246|205|ファイター(Lv60～)|4274
|[Invictus[インヴィクトゥス]]|12|246|205|ウォリアー(Lv60～)|4275
|[Amilec Gauntlets[アミレックガントレット]]|12|252|210|ファイター(Lv60～)|4278
|[Rubedo Gauntlets[ルベドガントレット]]|12|252|210|ウォリアー(Lv60～)|4279
|[Cursed Beast King's Gloves[悪しき獣王の手甲]]|15|254|212|ファイター、ウォリアー(Lv62～)|8438
|[Damascus Guard[ダマスクスガード]]|20|269|224|ファイター、ウォリアー(Lv65～)|12793
|[Immortal's Gauntlets[不滅のガントレット]]|25|278|232|ファイター、ウォリアー(Lv65～)|12798
|[Enlightenment Hands[エンライトメントハンド]]|25|284|237|ファイター、ウォリアー(Lv65～)|12803
|[Barbarian Arms[バーバリアンアーム]]|30|294|245|ファイター、ウォリアー(Lv67～)|12808
|[Faith Gauntlets[フェイスガントレット]]|35|310|258|ファイター、ウォリアー(Lv70～)|612
