**Bow ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Standard
|[Shortbow[ショートボウ]]|1|104|0|ハンター(Lv1～)|4753
|[Stalking Bow[ストーキングボウ]]|2|150|0|ハンター(Lv5～)|74
|[Composite Longbow[コンポジットロングボウ]]|2|199|15|ハンター(Lv8～)|76
|[Strain[ストレイン]]|3|225|48|ハンター(Lv11～)|75
|[Custom Longbow[カスタムロングボウ]]|3|279|84|ハンター(Lv14～)|77
|[White Wolf Bow[ホワイトウルフボウ]]|4|307|121|ハンター(Lv17～)|78
|[Red Pine Bow[レッドパインボウ]]|3|336|147|ハンター(Lv19～)|79
|[Bloody Hide[ブラッディハイド]]|5|366|174|ハンター(Lv21～)|176
|[Artisan Bow[アルチザンボウ]]|5|412|201|ハンター(Lv23～)|177
|[Fluted Bow[フリューテッドボウ]]|5|428|230|ハンター(Lv25～)|178
|[Ranke Bogen[ランケボーゲン]]|6|461|259|ハンター(Lv27～)|179
|[Liberty Bow[リバティーボウ]]|6|494|288|ハンター(Lv29～)|180
|[Big Bow[ビッグボウ]]|7|545|319|ハンター(Lv31～)|181
|[Devastator[デヴァステイター]]|7|562|335|ハンター(Lv32～)|183
|[Lustre Acanthus[ラスターアカンサス]]|7|580|367|ハンター(Lv34～)|184
|[Hundred Miles[ハンドレッドマイルズ]]|8|616|399|ハンター(Lv36～)|188
|[Hydra's Husk[ハスクオブハイドラ]]|8|634|416|ハンター(Lv37～)|1799
|[Bezel Crown[ベゼルリュウズ]]|8|671|433|ハンター(Lv38～)|2817
|[Griffinsbane[ウイングリフィン]]|8|690|467|ハンター(Lv40～)|186
|[Ideal Act[アイデアルアクト]]|8|728|502|ハンター(Lv40～)|189
|[Nactoral Bow[ナクトラルボウ]]|9|709|485|ハンター(Lv41～)|11117
|[Composite Aimer[コンポジットエイマー]]|9|776|549|ハンター(Lv43～)|11122
|[Rigid Strain[リジットストレイン]]|9|790|549|ハンター(Lv43～)|11127
|[Hunter Bow[ハンターボウ]]|9|845|629|ハンター(Lv45～)|185
|[Scroll Hilt Bow[スクロールヒルトボウ]]|9|874|629|ハンター(Lv45～)|190
|[Krishna[クリシュナ]]|9|874|643|ハンター(Lv45～)|191
|[Enigma[エニグマ]]|9|888|658|ハンター(Lv45～)|192
|[Brier Shooter[ブライアシューター]]|10|930|696|ハンター(Lv47～)|196
|[Ex Machina[エクスマーキナー]]|10|1010|765|ハンター(Lv49～)|193
|[Elder's Anima[エルダーズアニマ]]|11|1061|821|ハンター(Lv51～)|194
|[Sturdy Bow[スターディボウ]]|11|1106|862|ハンター(Lv53～)|198
|[Auto-Adjust Bow[オートアジャストボウ]]|11|1120|874|ハンター(Lv55～)|200
|[Agleam Glass[アグリームグラス]]|11|1182|920|ハンター(Lv55～)|203
|[Diabolica[デアボリカ]]|11|1182|936|ハンター(Lv55～)|1814
|[Noble Hilt Bow[ノーブルヒルトボウ]]|12|1205|942|ハンター(Lv56～)|2834
|[Gandiva[ガーンディーヴァ]]|12|1252|1001|ハンター(Lv58～)|195
|[Zenon[ゼノン]]|12|1316|1062|ハンター(Lv60～)|201
|[Phytoahero[フィトアヒロ]]|12|1316|1062|ハンター(Lv60～)|197
|[Rose Wisdom[ローズウィズダム]]|12|1348|1094|ハンター(Lv60～)|204
|[True Ideal Act[真・アイデアルアクト]]|12|1316|1062|ハンター(Lv40～)|11597
|[True Enigma[真・エニグマ]]|12|1316|1062|ハンター(Lv45～)|11602
|[Raging Wolf Bow[怒涛のウルフボウ]]|12|1252|998|ハンター(Lv55～)|11444
|[Elder's Hunter Bow[エルダーズハンターボウ]]|15|1430|1172|ハンター(Lv62～)|12171
|[Antique Bow[アンティークボウ]]|20|1522|1260|ハンター(Lv65～)|12176
|[Redfin[レッドフィン]]|20|1522|1260|ハンター(Lv65～)|12181
|[Woge[ヴォーゲ]]|25|1539|1277|ハンター(Lv65～)|12186
|[Savage Fang[サヴェージファング]]|30|1572|1310|ハンター(Lv65～)|12191
|[Sharpshooter[シャープシューター]]|30|1641|1376|ハンター(Lv67～)|12201
|[Heavy Bow Archery[重装のアーチェリー]]|35|1739|1468|ハンター(Lv70～)|12206
|[Spirit Blink[スピリットブリンク]]|35|1739|1468|ハンター(Lv70～)|12211
|[Bow of Tyrant[ボウオブタイラント]]|40|1756|1485|ハンター(Lv70～)|12216
|[Radiant String[ラディアントストリング]]|45|1790|1519|ハンター(Lv70～)|12221
|[Bow of Tribe[ボウオブトライブ]]|45|1862|1589|ハンター(Lv72～)|14512
|[Abridged Bow[アブリッジドボウ]]|50|1900|1622|ハンター(Lv75～)|14517
|[Extension Bow[エクステンションボウ]]|50|1900|1622|ハンター(Lv75～)|14522
|[Phindymian Bow[フィンダミアボウ]]|55|1970|1692|ハンター(Lv75～)|14527
|[Verdant Accuracy[ヴァーダントアキュラシー]]|60|2019|1741|ハンター(Lv75～)|14532
|[Loner's Strain[孤影のストレイン]]|60|2077|1796|ハンター(Lv77～)|14537
|[Orthogenesis[オルソゲネシス]]|65|2131|1845|ハンター(Lv80～)|14542
|[Twin Griffin[スィングリフィン]]|65|2131|1845|ハンター(Lv80～)|14547
|[Demon Horn[デーモンホーン]]|70|2203|1917|ハンター(Lv80～)|14552
|[Substance[サブスタンス]]|75|2257|1971|ハンター(Lv80～)|14557
|[Nobility's Bow[ノビリティーズボウ]]|80|2243|1957|ハンター(Lv80～)|17481
|[Corvus Bow[コルヴスボウ]]|85|2350|2059|ハンター(Lv83～)|17486
|[Rakhshan[ラフシャーン]]|90|2423|2129|ハンター(Lv85～)|17491
|[Sraosha[スラオシャ]]|90|2492|2198|ハンター(Lv85～)|18695
|[Shortbow of Resentment[怨嗟のジュートボウ]]|90|2487|2193|ハンター(Lv85～)|18051
|[Aim of Kal Tal[エイムオブカールタル]]|95|2599|2300|ハンター(Lv88～)|18056
|[Roshni Bow[ロシュニボウ]]|98|2674|2372|ハンター(Lv90～)|18061
|[Jamshid Dart[ジャムシードダート]]|100|2748|2446|ハンター(Lv90～)|19700
|[Red Dawn's Steel Bow[暁紅のスティールボウ]]|100|2741|2439|ハンター(Lv90～)|19883
|[Bow of Vermilion[ボウオブヴァーミリオン]]|105|2857|2551|ハンター(Lv93～)|19888
|[Funeri Bow[フュネーリボウ]]|108|2936|2626|ハンター(Lv95～)|19893
|[[ボウオブトゥルビオン]]|110|3009|2699|ハンター(Lv95～)|19898
|[Arrow of Altura[アロウオブアルトゥーラ]]|110|3004|2694|ハンター(Lv95～)|20241
