**{NAME HERE} ITEM LIST   
||Name|Rank|P-DEF|M-DEF|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Helm
|[Leather Cap[レザーキャップ]]|1|13|21|ハンター、シーカー、スピリットランサー(Lv3～)|438
|[Leather Hood[レザーフード]]|2|19|30|ハンター、シーカー、スピリットランサー(Lv6～)|439
|[Coif[コイフ]]|2|22|36|ハンター、シーカー、スピリットランサー(Lv8～)|8193
|[Plate Coif[プレートコイフ]]|3|28|46|ハンター、シーカー、スピリットランサー(Lv11～)|8198
|[Traveler's Hood[トラベラーズフード]]|3|32|52|ハンター、シーカー、スピリットランサー(Lv13～)|440
|[Red Leather Cap[紅革のキャップ]]|4|39|63|ハンター、シーカー、スピリットランサー(Lv13～)|441
|[Chain Hood[チェインフード]]|4|43|70|ハンター、シーカー、スピリットランサー(Lv18～)|8203
|[Headgear[ヘッドギア]]|4|48|77|ハンター、シーカー、スピリットランサー(Lv20～)|624
|[Assassin's Mask[アサシンマスク]]|5|53|84|ハンター、シーカー、スピリットランサー(Lv22～)|625
|[Wanderer's Hood[ワンダラーズフード]]|5|58|92|ハンター、シーカー、スピリットランサー(Lv24～)|626
|[Over Guard[オーバーガード]]|6|63|100|ハンター、シーカー、スピリットランサー(Lv26～)|628
|[Enamel Hood[エナメルフード]]|6|68|108|ハンター、シーカー、スピリットランサー(Lv28～)|629
|[Huntsman Cap[ハントマンキャップ]]|6|73|117|ハンター、シーカー、スピリットランサー(Lv30～)|630
|[Vagrant's Mask[ベイグラントマスク]]|7|78|125|ハンター、シーカー、スピリットランサー(Lv32～)|631
|[Infantry Helm[インファントリーヘッド]]|7|84|134|ハンター、シーカー、スピリットランサー(Lv34～)|632
|[Beast Coif[ビーストコイフ]]|8|89|143|ハンター、シーカー、スピリットランサー(Lv36～)|633
|[Pirate's Cap[パイレーツキャップ]]|8|95|152|ハンター、シーカー、スピリットランサー(Lv38～)|634
|[Drachenatem[ドラッヘンアーテム]]|8|101|161|ハンター、シーカー、スピリットランサー(Lv40～)|627
|[Officer's Cap[武官のキャップ]]|9|98|157|ハンター、シーカー、スピリットランサー(Lv41～)|637
|[Capture Hood[キャプチャーフード]]|9|114|183|ハンター、シーカー、スピリットランサー(Lv43～)|636
|[Shooter's Hood[シューターズフード]]|9|128|204|ハンター、シーカー、スピリットランサー(Lv45～)|635
|[Buccaneer's Cap[バッカニアキャップ]]|9|132|212|ハンター、シーカー、スピリットランサー(Lv45～)|644
|[Aloni Headgear[アロニーヘッドギア]]|10|133|213|ハンター、シーカー、スピリットランサー(Lv46～)|639
|[Aloni Headgear[紅玉旅団のキャップ]]|10|150|240|ハンター、シーカー、スピリットランサー(Lv49～)|639
|[Explorer Hat[エクスプローラーハット]]|11|163|261|ハンター、シーカー、スピリットランサー(Lv52～)|645
|[Torturer Mask[トーチャーマスク]]|11|174|278|ハンター、シーカー、スピリットランサー(Lv55～)|8208
|[Black Bart's Cap[ブラックバートキャップ]]|11|179|286|ハンター、シーカー、スピリットランサー(Lv55～)|640
|[Golden Lion Helm[金獅子の兜]]|12|180|288|ハンター、シーカー、スピリットランサー(Lv56～)|8213
|[Hanzou Mask[ハンゾウマスク]]|12|192|308|ハンター、シーカー、スピリットランサー(Lv58～)|649
|[Ancient Hood[エンシャントフード]]|12|205|328|シーカー(Lv60～)|642
|[Old Age Hood[オールドエイジフード]]|12|205|328|ハンター(Lv60～)|643
|[Amilec Mask[アミレックマスク]]|12|210|336|シーカー(Lv60～)|646
|[Rubedo Mask[ルベドマスク]]|12|210|336|ハンター(Lv60～)|647
|[Fortune Coif[フォーチュンコイフ]]|15|212|339|ハンター、シーカー、スピリットランサー(Lv62～)|12626
|[Empyreal Guard[エンピリアルガード]]|20|224|358|ハンター、シーカー、スピリットランサー(Lv65～)|648
|[Masked Gentleman's Hat[仮面紳士のハット]]|25|232|371|ハンター、シーカー、スピリットランサー(Lv65～)|12631
|[Paladin Hood[パラディンフード]]|30|237|379|ハンター、シーカー、スピリットランサー(Lv65～)|12636
|[Sentinel Beret[センチネルベレー]]|30|245|393|ハンター、シーカー、スピリットランサー(Lv67～)|12641
|[Faith Hood[フェイスフード]]|35|258|413|ハンター、シーカー、スピリットランサー(Lv70～)|638
|[Aquila Helm[アクイラヘルム]]|40|266|426|ハンター、シーカー、スピリットランサー(Lv70～)|12646
|[Hood of Concealment[隠形の頭巾]]|45|272|435|ハンター、シーカー、スピリットランサー(Lv70～)|12651
|[Yellow Feathered Cap[黄羽根のキャップ]]|50|291|466|ハンター、シーカー、スピリットランサー(Lv75～)|14953
|[Ocean's Cap[オーシャンズキャップ]]|55|299|479|ハンター、シーカー、スピリットランサー(Lv75～)|14958
|[Forest Horn[フォレストホーン]]|60|308|493|ハンター、シーカー、スピリットランサー(Lv75～)|14963
|[Black Panther Mask[黒豹のマスク]]|60|317|507|ハンター、シーカー、スピリットランサー(Lv77～)|14968
|[Patrician Beret[パトリシアンベレー]]|65|328|526|ハンター、シーカー、スピリットランサー(Lv80～)|14973
|[Hood of Evening Mist[夕霧の頭巾]]|70|337|539|ハンター、シーカー、スピリットランサー(Lv80～)|14978
|[Azure Mask[アズールマスク]]|75|346|553|ハンター、シーカー、スピリットランサー(Lv80～)|14983
|[Coif of Warm Winds[熱風のコイフ]]|80|345|551|シーカー、ハンター、スピリットランサー(Lv80～)|17616
|[Shahabad Helm[スィヤバードヘルム]]|85|364|582|シーカー、ハンター、スピリットランサー(Lv83～)|17621
|[Acrean Hat[アッカリアハット]]|90|380|607|シーカー、ハンター、スピリットランサー(Lv85～)|17626
|[Aura Balaclava[アウラバラクラーヴァ]]|90|378|604|シーカー、ハンター、スピリットランサー(Lv85～)|18244
|[Niloufar Hood[ニルーファルフード]]|95|396|634|シーカー、ハンター、スピリットランサー(Lv88～)|18249
|[Dools Sallet[ドゥールズサレット]]|100|421|675|シーカー、ハンター、スピリットランサー(Lv90～)|18254
|[Capable Hat[ケイパブルハット]]|100|420|672|シーカー、ハンター、スピリットランサー(Lv90～)|20494
|[Cuivre Hat[クィーブルハット]]|105|444|711|シーカー、ハンター、スピリットランサー(Lv93～)|20499
|[[メヒザフマスク]]|110|458|734|シーカー、ハンター、スピリットランサー(Lv95～)|20504
|[Hardy Mask[アルディマスク]]|110|457|731|シーカー、ハンター、スピリットランサー(Lv95～)|20822
|[Taciturne Hat[タシチュルヌハット]]|115|473|758|シーカー、ハンター、スピリットランサー(Lv98～)|20827
|[Mission Head[ミシオンヘッド]]|120|491|786|シーカー、ハンター、スピリットランサー(Lv100～)|20832
|[[精霊の軽装兜]]|130|499|798|シーカー、ハンター、スピリットランサー(Lv100～)|24199
|[[炎王の軽装兜]]|130|499|798|シーカー、ハンター、スピリットランサー(Lv100～)|24204
|[[白翼の軽装兜]]|130|499|798|シーカー、ハンター、スピリットランサー(Lv100～)|24209
|[[黄金の軽装兜]]|130|499|798|シーカー、ハンター、スピリットランサー(Lv100～)|24214
|[[黒砕の軽装兜]]|135|506|810|シーカー、ハンター、スピリットランサー(Lv100～)|24219
|[[蛮勇のスナイプマスク]]|140|554|886|シーカー、ハンター、スピリットランサー(Lv105～)|25296

**Chest
|[Breast Armor[ブレストアーマー]]|1|24|21|ハンター、シーカー、スピリットランサー(Lv3～)|442
|[Copper Lorica[カッパーロリカ]]|2|34|30|ハンター、シーカー、スピリットランサー(Lv6～)|443
|[Chest Guard[チェストガード]]|2|41|36|ハンター、シーカー、スピリットランサー(Lv8～)|8293
|[Battle Jacket[バトルジャケット]]|3|55|49|ハンター、シーカー、スピリットランサー(Lv11～)|8298
|[Leather Armor[レザーアーマー]]|3|59|52|ハンター、シーカー、スピリットランサー(Lv13～)|444
|[Lamellar Jacket[ラメラージャケット]]|4|70|63|ハンター、シーカー、スピリットランサー(Lv16～)|445
|[Iron Lorica[アイアンロリカ]]|4|78|70|ハンター、シーカー、スピリットランサー(Lv18～)|8303
|[Ranger Jacket[レンジャージャケット]]|4|87|77|ハンター、シーカー、スピリットランサー(Lv20～)|650
|[Hunter Jacket[ハンタージャケット]]|5|95|84|ハンター、シーカー、スピリットランサー(Lv22～)|651
|[Wanderer's Jacket[ワンダラーズアーマー]]|5|104|92|ハンター、シーカー、スピリットランサー(Lv24～)|652
|[Silver Lorica[シルバーロリカ]]|6|113|100|ハンター、シーカー、スピリットランサー(Lv26～)|654
|[Combat Guard[コンバットガード]]|6|122|108|ハンター、シーカー、スピリットランサー(Lv28～)|655
|[Huntsman Jacket[ハントマンジャケット]]|6|131|117|ハンター、シーカー、スピリットランサー(Lv30～)|656
|[Vagrant Armor[ベイグラントアーマー]]|7|141|125|ハンター、シーカー、スピリットランサー(Lv32～)|657
|[Vagabond Armor[バガボンドアーマー]]|8|151|134|ハンター、シーカー、スピリットランサー(Lv34～)|658
|[Beast Padding[ビーストバデッド]]|8|161|143|ハンター、シーカー、スピリットランサー(Lv36～)|659
|[Pirate's Jacket[パイレーツジャケット]]|8|171|152|ハンター、シーカー、スピリットランサー(Lv38～)|660
|[Drachenschuppe[ドラッヘンシュッペ]]|8|182|161|ハンター、シーカー、スピリットランサー(Lv40～)|2265
|[Scale Jacket[スケイルジャケット]]|9|177|157|ハンター、シーカー、スピリットランサー(Lv41～)|2273
|[Raider's Jacket[レイダースジャケット]]|9|206|183|ハンター、シーカー、スピリットランサー(Lv43～)|2274
|[Hard Skin Armor[ハードスキンアーマー]]|9|230|204|ハンター、シーカー、スピリットランサー(Lv45～)|663
|[Buccaneer's Jacket[バッカニアジャケット]]|9|239|212|ハンター、シーカー、スピリットランサー(Lv45～)|670
|[Spirit Guard[スピリットガード]]|10|240|213|ハンター、シーカー、スピリットランサー(Lv46～)|665
|[Dandy's Jacket[伊達男のジャケット]]|10|271|240|ハンター、シーカー、スピリットランサー(Lv49～)|667
|[Jackal Armor[ジャッカルアーマー]]|11|294|261|ハンター、シーカー、スピリットランサー(Lv52～)|671
|[Lion King Padding[獅子王のバデッド]]|11|313|278|ハンター、シーカー、スピリットランサー(Lv55～)|8308
|[Black Bart's Jacket[ブラックバートジャケット]]|11|322|286|ハンター、シーカー、スピリットランサー(Lv55～)|666
|[Golden Lorica[金甲のロリカ]]|12|324|286|ハンター、シーカー、スピリットランサー(Lv56～)|8313
|[Lord of Strider[ロードオブストライダー]]|12|346|308|ハンター、シーカー、スピリットランサー(Lv58～)|5356
|[Ancient Jacket[エンシャントジャケット]]|12|369|328|シーカー(Lv60～)|5349
|[Old Age Jacket[オールドエイジジャケット]]|12|369|328|ハンター(Lv60～)|669
|[Amilec Jacket[アミレックジャケット]]|12|378|336|シーカー(Lv60～)|672
|[Rubedo Jacket[ルベドジャケット]]|12|378|336|ハンター(Lv60～)|673
|[Rover Jacket[ローバージャケット]]|15|381|339|ハンター、シーカー、スピリットランサー(Lv62～)|12746
|[Supernal Jacket[スパーナルジャケット]]|20|403|358|ハンター、シーカー、スピリットランサー(Lv65～)|674
|[Eagle Jacket[イーグルジャケット]]|25|417|371|ハンター、シーカー、スピリットランサー(Lv65～)|12751
|[Paladin Coat[パラディンコート]]|30|427|379|ハンター、シーカー、スピリットランサー(Lv65～)|12756
|[Sentinel Jacket[センチネルジャケット]]|30|442|393|ハンター、シーカー、スピリットランサー(Lv67～)|12761
|[Faith Jacket[フェイスジャケット]]|35|465|413|ハンター、シーカー、スピリットランサー(Lv70～)|664
|[Aquila Armor[アクイラアーマー]]|40|479|426|ハンター、シーカー、スピリットランサー(Lv70～)|12766
|[Garb of Concealment[隠形の装束]]|45|489|435|ハンター、シーカー、スピリットランサー(Lv70～)|12771
|[Mountaineer Chest[マウンテニアチェスト]]|50|524|466|ハンター、シーカー、スピリットランサー(Lv75～)|15113
|[Ocean's Jacket[オーシャンズジャケット]]|55|539|479|ハンター、シーカー、スピリットランサー(Lv75～)|15118
|[Forest Clothes[フォレストクロス]]|60|554|493|ハンター、シーカー、スピリットランサー(Lv75～)|15123
|[Black Panther Padding[黒豹のバデッド]]|60|571|507|ハンター、シーカー、スピリットランサー(Lv77～)|15128
|[Patrician Jacket[パトリシアンジャケット]]|65|591|526|ハンター、シーカー、スピリットランサー(Lv80～)|15133
|[Attire of Evening Mist[夕霧の装束]]|70|607|539|ハンター、シーカー、スピリットランサー(Lv80～)|15138
|[Azure Jacket[アズールジャケット]]|75|622|553|ハンター、シーカー、スピリットランサー(Lv80～)|15143
|[Breastplate of Warm Winds[熱風の胸当て]]|80|620|551|ハンター、シーカー、スピリットランサー(Lv80～)|17676
|[Shahabad Jacket[スィヤバードジャケット]]|85|655|582|ハンター、シーカー、スピリットランサー(Lv83～)|17681
|[Acrean Padding[アッカリアバデット]]|90|683|607|ハンター、シーカー、スピリットランサー(Lv85～)|17686
|[Aura Jacket[アウラジャケット]]|90|680|604|ハンター、シーカー、スピリットランサー(Lv85～)|18304
|[Niloufar Padding[ニルーファルパデット]]|95|713|634|ハンター、シーカー、スピリットランサー(Lv88～)|18309
|[Dools Vest[ドゥールズベスト]]|100|759|675|ハンター、シーカー、スピリットランサー(Lv90～)|18314
|[Capable Padding[ケイパブルパデット]]|100|756|672|ハンター、シーカー、スピリットランサー(Lv90～)|20509
|[Cuivre Jacket[クィーブルジャケット]]|105|800|711|ハンター、シーカー、スピリットランサー(Lv93～)|20514
|[[メヒザフクロス]]|110|825|734|ハンター、シーカー、スピリットランサー(Lv95～)|20519
|[Hardy Padding[アルディバデッド]]|110|822|731|ハンター、シーカー、スピリットランサー(Lv95～)|20837
|[Taciturne Padding[タシチュルヌバデット]]|115|853|758|ハンター、シーカー、スピリットランサー(Lv98～)|20842
|[Mission Padding[ミシオンバデット]]|120|885|786|ハンター、シーカー、スピリットランサー(Lv100～)|20847
|[[精霊の軽装鎧]]|130|898|798|ハンター、シーカー、スピリットランサー(Lv100～)|24224
|[[炎王の軽装鎧]]|130|898|798|ハンター、シーカー、スピリットランサー(Lv100～)|24229
|[[白翼の軽装鎧]]|130|898|798|ハンター、シーカー、スピリットランサー(Lv100～)|24234
|[[黄金の軽装鎧]]|130|898|798|ハンター、シーカー、スピリットランサー(Lv100～)|24239
|[[黒砕の軽装鎧]]|135|911|810|ハンター、シーカー、スピリットランサー(Lv100～)|24244
|[[蛮勇のスナイプベスト]]|140|997|886|ハンター、シーカー、スピリットランサー(Lv105～)|25301

**Arm
|[Worker Gloves[ワーカーグラブ]]|1|16|13|ハンター、シーカー、スピリットランサー(Lv3～)|450
|[Bronze Bracers[ブロンズブレイス]]|2|22|19|ハンター、シーカー、スピリットランサー(Lv6～)|451
|[Master Bracers[マスターブレイス]]|2|27|22|ハンター、シーカー、スピリットランサー(Lv8～)|8493
|[Iron Manicae[アイアンマニカ]]|3|34|28|ハンター、シーカー、スピリットランサー(Lv11～)|8498
|[Archer's Gloves[弓使いの手袋]]|3|39|32|ハンター、シーカー、スピリットランサー(Lv13～)|452
|[Laborer Gloves[ラボラーグラブ]]|4|47|39|ハンター、シーカー、スピリットランサー(Lv16～)|453
|[Marine's Sleeves[マリーンズスリーブ]]|4|52|43|ハンター、シーカー、スピリットランサー(Lv18～)|8503
|[Ranger Gloves[レンジャーグラブ]]|4|58|48|ハンター、シーカー、スピリットランサー(Lv20～)|5359
|[Composite Sleeves[コンポジットスリーブ]]|5|63|53|ハンター、シーカー、スピリットランサー(Lv22～)|5386
|[Striker Arms[ストライカーアーム]]|5|69|58|ハンター、シーカー、スピリットランサー(Lv24～)|5387
|[Victory Bracers[ビクトリーブレイス]]|6|75|63|ハンター、シーカー、スピリットランサー(Lv26～)|708
|[Ace Bracers[エースブレイス]]|6|81|68|ハンター、シーカー、スピリットランサー(Lv28～)|709
|[Huntsman Gloves[ハントマングラブ]]|6|87|73|ハンター、シーカー、スピリットランサー(Lv30～)|710
|[Soldier Arms[ソルジャーアーム]]|7|94|78|ハンター、シーカー、スピリットランサー(Lv32～)|711
|[Iron Bracers[アイアンブレイス]]|7|100|84|ハンター、シーカー、スピリットランサー(Lv34～)|712
|[Silver Manicae[シルバーマニカ]]|8|107|89|ハンター、シーカー、スピリットランサー(Lv36～)|713
|[Pirate Arms[パイレーツアーム]]|8|114|95|ハンター、シーカー、スピリットランサー(Lv38～)|714
|[Drachennägel[ドラッヘンネーゲル]]|8|121|101|ハンター、シーカー、スピリットランサー(Lv40～)|2319
|[Agent Sleeves[エージェントスリーブ]]|9|118|98|ハンター、シーカー、スピリットランサー(Lv41～)|2327
|[Assault Spine[アサルトスパイン]]|9|137|114|ハンター、シーカー、スピリットランサー(Lv43～)|2328
|[Leader Gloves[頭目の手袋]]|9|153|128|ハンター、シーカー、スピリットランサー(Lv45～)|2329
|[Buccaneer's Arms[バッカニアアーム]]|9|159|132|ハンター、シーカー、スピリットランサー(Lv45～)|2336
|[Executor Arms[エグゼキューターズアーム]]|10|160|133|ハンター、シーカー、スピリットランサー(Lv46～)|3354
|[Captain's Sleeves[キャプテンズスリーブ]]|10|180|150|ハンター、シーカー、スピリットランサー(Lv49～)|721
|[Endless Biting[エンドレスバイティング]]|11|196|163|ハンター、シーカー、スピリットランサー(Lv52～)|725
|[Dark Leather Gloves[闇革の手袋]]|11|209|174|ハンター、シーカー、スピリットランサー(Lv55～)|8508
|[Black Bart's Arms[ブラックバートアーム]]|11|214|179|ハンター、シーカー、スピリットランサー(Lv55～)|5401
|[Sunlight Manicae[陽光のマニカ]]|12|216|180|ハンター、シーカー、スピリットランサー(Lv56～)|8513
|[Fulfillment[フルフィルメント]]|12|231|192|ハンター、シーカー、スピリットランサー(Lv58～)|729
|[Old Age Gloves[オールドエイジグラブ]]|12|246|205|ハンター(Lv60～)|2335
|[Ancient Gloves[エンシャントグラブ]]|12|246|205|シーカー(Lv60～)|3357
|[Rubedo Gloves[ルベドグラブ]]|12|252|210|ハンター(Lv60～)|3362
|[Amilec Gloves[アミレックグラブ]]|12|252|210|シーカー(Lv60～)|4384
|[Splendid Arms[スプレンディードアームズ]]|15|254|212|ハンター、シーカー、スピリットランサー(Lv62～)|12883
|[Supernal Hands[スパーナルハンド]]|20|269|224|ハンター、シーカー、スピリットランサー(Lv65～)|728
|[Fear Gloves[フェアグラブ]]|25|278|232|ハンター、シーカー、スピリットランサー(Lv65～)|12888
|[Paladin Gloves[パラディングラブ]]|25|284|237|ハンター、シーカー、スピリットランサー(Lv65～)|12893
|[Sentinel Arms[センチネルアーム]]|30|294|245|ハンター、シーカー、スピリットランサー(Lv67～)|12898
|[Faith Gloves[フェイスグラブ]]|35|310|258|ハンター、シーカー、スピリットランサー(Lv70～)|5399
|[Aquila Gloves[アクイラグラブ]]|40|319|266|ハンター、シーカー、スピリットランサー(Lv70～)|12903
|[Gauntlets of Concealment[隠形の篭手]]|45|326|272|ハンター、シーカー、スピリットランサー(Lv70～)|12908
|[Mountaineer Bracers[マウンテニアブレイス]]|50|349|291|ハンター、シーカー、スピリットランサー(Lv75～)|15324
|[Ocean's Arms[オーシャンズアーム]]|55|359|299|ハンター、シーカー、スピリットランサー(Lv75～)|15329
|[Forest Bracers[フォレストブレイス]]|60|369|308|ハンター、シーカー、スピリットランサー(Lv75～)|15334
|[Black Panther Sleeves[黒豹のスリーブ]]|60|380|317|ハンター、シーカー、スピリットランサー(Lv77～)|15339
|[Patrician Sleeves[パトリシアンスリーブ]]|65|394|328|ハンター、シーカー、スピリットランサー(Lv80～)|15344
|[Gloves of Evening Mist[夕霧の手甲]]|70|404|337|ハンター、シーカー、スピリットランサー(Lv80～)|15349
|[Azure Gloves[アズールグローブ]]|75|415|346|ハンター、シーカー、スピリットランサー(Lv80～)|15354
|[Armguards of Warm Winds[熱風のアームガード]]|80|414|348|ハンター、シーカー、スピリットランサー(Lv80～)|17736
|[Shahabad Bracers[スィヤバードブレイス]]|85|436|364|ハンター、シーカー、スピリットランサー(Lv83～)|17741
|[Acrean Gloves[アッカリアグラブ]]|90|455|380|ハンター、シーカー、スピリットランサー(Lv85～)|17746
|[Aura Gloves[アウラグローブ]]|90|453|378|ハンター、シーカー、スピリットランサー(Lv85～)|18364
|[Niloufar Gloves[ニルーファルグローブ]]|95|475|396|ハンター、シーカー、スピリットランサー(Lv88～)|18369
|[Dools Bracers[ドゥールズブレーサー]]|100|506|421|ハンター、シーカー、スピリットランサー(Lv90～)|18374
|[Capable Bracers[ケイパブルブレイス]]|100|504|420|ハンター、シーカー、スピリットランサー(Lv90～)|20524
|[Cuivre Arms[クィーブルアーム]]|105|533|444|ハンター、シーカー、スピリットランサー(Lv93～)|20529
|[[メヒザフグローブ]]|110|550|458|ハンター、シーカー、スピリットランサー(Lv95～)|20534
|[Hardy Sleeves[アルディスリーブ]]|110|548|457|ハンター、シーカー、スピリットランサー(Lv95～)|20852
|[Taciturne Gloves[タシチュルヌグラブ]]|115|568|473|ハンター、シーカー、スピリットランサー(Lv98～)|20857
|[Mission Armguards[ミシオンアームガード]]|120|590|491|ハンター、シーカー、スピリットランサー(Lv100～)|20862
|[[精霊の軽装腕]]|130|598|499|ハンター、シーカー、スピリットランサー(Lv100～)|24249
|[[炎王の軽装腕]]|130|598|499|ハンター、シーカー、スピリットランサー(Lv100～)|24254
|[[白翼の軽装腕]]|130|598|499|ハンター、シーカー、スピリットランサー(Lv100～)|24259
|[[黄金の軽装腕]]|130|598|499|ハンター、シーカー、スピリットランサー(Lv100～)|24264
|[[黒砕の軽装腕]]|135|607|506|ハンター、シーカー、スピリットランサー(Lv100～)|24269
|[[蛮勇のスナイプアーム]]|140|664|554|ハンター、シーカー、スピリットランサー(Lv105～)|25306

**Leg
|[Leather Bottoms[レザーボトム]]|1|13|10|ハンター、シーカー、スピリットランサー(Lv3～)|446
|[Chainmail Legs[チェインレッグス]]|2|19|15|ハンター、シーカー、スピリットランサー(Lv6～)|447
|[Hide Cuisses[柔毛のキュイス]]|2|22|18|ハンター、シーカー、スピリットランサー(Lv8～)|8393
|[Mercenary Leg-Guards[傭兵のレッグガード]]|3|28|23|ハンター、シーカー、スピリットランサー(Lv11～)|8398
|[Smart Boots[スマートブーツ]]|3|32|26|ハンター、シーカー、スピリットランサー(Lv13～)|5129
|[Composite Bottoms[コンポジットボトム]]|4|39|31|ハンター、シーカー、スピリットランサー(Lv16～)|5130
|[Iron Legs[アイアンレッグス]]|4|43|35|ハンター、シーカー、スピリットランサー(Lv18～)|8403
|[Ranger Cuisses[レンジャーキュイス]]|4|48|38|ハンター、シーカー、スピリットランサー(Lv20～)|679
|[Assassin's Bottoms[アサシンボトム]]|5|53|42|ハンター、シーカー、スピリットランサー(Lv22～)|680
|[Striker's Greaves[ストライカーグリーブ]]|5|58|46|ハンター、シーカー、スピリットランサー(Lv24～)|681
|[Victory Legs[ビクトリーレッグス]]|6|63|50|ハンター、シーカー、スピリットランサー(Lv26～)|683
|[Nature Cuisses[ネイチャーキュイス]]|6|68|54|ハンター、シーカー、スピリットランサー(Lv28～)|684
|[Huntsman's Cuisses[ハントマンキュイス]]|6|73|58|ハンター、シーカー、スピリットランサー(Lv30～)|685
|[Soldier's Greaves[ソルジャーグリーブ]]|7|78|62|ハンター、シーカー、スピリットランサー(Lv32～)|686
|[Ninja Bottoms[ニンジャボトム]]|7|84|67|ハンター、シーカー、スピリットランサー(Lv34～)|687
|[Extra Bottoms[エクストラボトム]]|8|89|71|ハンター、シーカー、スピリットランサー(Lv36～)|688
|[Pirate's Legs[パイレーツレッグス]]|8|95|76|ハンター、シーカー、スピリットランサー(Lv38～)|689
|[Drachen-Pein[ドラッヘンパイン]]|8|101|80|ハンター、シーカー、スピリットランサー(Lv40～)|2294
|[Backwater Waistguard[辺土の腰巻]]|9|98|78|ハンター、シーカー、スピリットランサー(Lv41～)|2302
|[Raider's Greaves[レイダースグリーブ]]|9|114|91|ハンター、シーカー、スピリットランサー(Lv43～)|691
|[Leader Leg Guards[頭目のレッグガード]]|9|128|102|ハンター、シーカー、スピリットランサー(Lv45～)|692
|[Buccaneer's Legs[バッカニアレッグス]]|9|132|106|ハンター、シーカー、スピリットランサー(Lv45～)|699
|[Fur Cuisses[ファーキュイス]]|10|133|106|ハンター、シーカー、スピリットランサー(Lv46～)|2306
|[Slayer's Bottoms[スレイヤーズボトム]]|10|150|120|ハンター、シーカー、スピリットランサー(Lv49～)|2308
|[Explorer's Boots[エクスプローラーブーツ]]|11|163|130|ハンター、シーカー、スピリットランサー(Lv52～)|2312
|[Shadowy Drapes[影渡りのドレープ]]|11|174|139|ハンター、シーカー、スピリットランサー(Lv55～)|8408
|[Black Bart's Legs[ブラックバートレッグス]]|11|179|143|ハンター、シーカー、スピリットランサー(Lv55～)|695
|[Oblique Cuisses[斜光のキュイス]]|12|180|144|ハンター、シーカー、スピリットランサー(Lv56～)|8413
|[Land Kankar[ランドカンカー]]|12|192|154|ハンター、シーカー、スピリットランサー(Lv58～)|704
|[Ancient Cuisses[エンシャントキュイス]]|12|205|164|シーカー(Lv60～)|2309
|[Old Age Cuisses[オールドエイジキュイス]]|12|205|164|ハンター(Lv60～)|2310
|[Amilec Cuisses[アミレックキュイス]]|12|210|168|シーカー(Lv60～)|2313
|[Rubedo Cuisses[ルベドキュイス]]|12|210|168|ハンター(Lv60～)|2314
|[Enhanced Bottoms[エンハンスボトム]]|15|212|169|ハンター、シーカー、スピリットランサー(Lv62～)|13003
|[Liberation Greaves[リベレーショングリーブ]]|20|224|179|ハンター、シーカー、スピリットランサー(Lv65～)|703
|[Stealthy Boots[ステルシーブーツ]]|25|232|185|ハンター、シーカー、スピリットランサー(Lv65～)|13008
|[Paladin Greaves[パラディングリーブ]]|30|237|189|ハンター、シーカー、スピリットランサー(Lv65～)|13013
|[Sentinel Kilt[センチネルキルト]]|30|245|196|ハンター、シーカー、スピリットランサー(Lv67～)|13018
|[Faith Cuisses[フェイスキュイス]]|35|258|206|ハンター、シーカー、スピリットランサー(Lv70～)|693
|[Aquila Cuisses[アクイラキュイス]]|40|266|213|ハンター、シーカー、スピリットランサー(Lv70～)|13023
|[Mail of Concealment[隠形の具足]]|45|272|217|ハンター、シーカー、スピリットランサー(Lv70～)|13028
|[Mountaineer Shoes[マウンテニアシューズ]]|50|291|233|ハンター、シーカー、スピリットランサー(Lv75～)|15484
|[Ocean's Legs[オーシャンズレッグス]]|55|299|239|ハンター、シーカー、スピリットランサー(Lv75～)|15489
|[Forest Cuisses[フォレストキュイス]]|60|308|246|ハンター、シーカー、スピリットランサー(Lv75～)|15494
|[Black Panther Leg Guards[黒豹のレッグガード]]|60|317|253|ハンター、シーカー、スピリットランサー(Lv77～)|15499
|[Patrician Legs[パトリシアンレッグス]]|65|328|263|ハンター、シーカー、スピリットランサー(Lv80～)|15504
|[Chausses of Evening Mist[夕霧の具足]]|70|33|269|ハンター、シーカー、スピリットランサー(Lv80～)|15509
|[Azure Boots[アズールブーツ]]|75|346|276|ハンター、シーカー、スピリットランサー(Lv80～)|15514
|[Colored Boots of Warm Winds[熱風のカラーブーツ]]|80|345|276|ハンター、シーカー、スピリットランサー(Lv80～)|17796
|[Shahabad Boots[スィヤバードブーツ]]|85|364|291|ハンター、シーカー、スピリットランサー(Lv83～)|17801
|[Acrean Cuisses[アッカリアキュイス]]|90|380|304|ハンター、シーカー、スピリットランサー(Lv85～)|17806
