**Dagger ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Standard
|[Cavalry Arms[キャヴァリーアームス]]|1|45|0|シーカー(Lv1～)|4779
|[Thief's Blades[シーフブレード]]|2|89|0|シーカー(Lv5～)|4780
|[Slit Daggers[スリットダガー]]|2|124|15|シーカー(Lv8～)|4782
|[Brise-épéé[ブリゼペ]]|3|160|48|シーカー(Lv11～)|4781
|[Snake Daggers[スネークダガー]]|3|186|84|シーカー(Lv14～)|4783
|[Gladius[グラディウス]]|4|239|121|シーカー(Lv17～)|4785
|[Snagdaggers[スナグダガー]]|4|282|147|シーカー(Lv19～)|4784
|[Bardiche Daggers[バルディッシュダガー]]|5|311|174|シーカー(Lv21～)|4958
|[Throatcutters[スロートカッター]]|5|325|201|シーカー(Lv23～)|4959
|[Stilettos[スティレット]]|5|356|230|シーカー(Lv25～)|279
|[Vouge Daggers[ヴォウジェダガー]]|6|403|259|シーカー(Lv27～)|280
|[Daciaensis[ダキアエネシス]]|6|419|288|シーカー(Lv29～)|281
|[Heavenly Edge[ヘブンリーエッジ]]|7|451|319|シーカー(Lv31～)|282
|[Bushwackers[ブッシュワッカー]]|7|485|335|シーカー(Lv32～)|284
|[Triskele[トリスケーレ]]|7|502|367|シーカー(Lv34～)|285
|[Blitz Daggers[ブリッツダガー]]|8|546|399|シーカー(Lv36～)|289
|[Heroic Spears[ヒロイックスピアー]]|8|554|416|シーカー(Lv37～)|1900
|[Sinistra[シニストラ]]|8|572|433|シーカー(Lv38～)|2918
|[Saurian's Bane[リザードスタッフド]]|8|609|457|シーカー(Lv40～)|2922
|[Crisis Avoid[クライシスアヴォイド]]|8|646|502|シーカー(Lv40～)|2926
|[Two-Edged[トゥーエッジ]]|9|627|485|シーカー(Lv41～)|11102
|[Quester Daggers[クエスターダガー]]|9|679|549|シーカー(Lv43～)|11107
|[Gold Stilettos[ゴールドスティレット]]|9|693|549|シーカー(Lv43～)|11112
|[Deep Crimson[ディープクリムゾン]]|9|761|629|シーカー(Lv45～)|9356
|[Total Engravers[トータルエングレイバー]]|9|775|629|シーカー(Lv45～)|290
|[Lionhearted[ライオンハーテッド]]|9|790|643|シーカー(Lv45～)|293
|[Servant's Fate[サーヴァントフェイト]]|9|804|658|シーカー(Lv45～)|9351
|[Prejuízo[プレージュドー]]|10|852|696|シーカー(Lv47～)|294
|[Nirvana[ニルヴァーナ]]|10|916|765|シーカー(Lv49～)|297
|[Rising Sun[ライジングサン]]|11|973|821|シーカー(Lv51～)|1907
|[Kris Naga Vein[クリスナーガヴェイン]]|11|1017|862|シーカー(Lv53～)|1913
|[Danse Macabre[ダンスマカブル]]|11|1030|874|シーカー(Lv55～)|3957
|[Spirit's Edge[スピリッツエッジ]]|11|1077|920|シーカー(Lv55～)|303
|[Sadness and Gladness[サドネスアンドグラドネス]]|11|1092|936|シーカー(Lv55～)|296
|[Predator Fang[プレデターファング]]|12|1099|942|シーカー(Lv56～)|300
|[Chronos Slayer[クロノススレイヤー]]|12|1161|1001|シーカー(Lv58～)|304
|[Azoth[アゾット]]|12|1224|1062|シーカー(Lv60～)|302
|[Apoptosis[アポプトーシス]]|12|1224|1062|シーカー(Lv60～)|1910
|[Fear Destruction[フィアーデストラクション]]|12|1256|1094|シーカー(Lv60～)|1917
|[True Crisis Avoid[真・クライシスアヴォイド]]|12|1224|1062|シーカー(Lv40～)|11587
|[True Servant's Fate[真・サーヴァントフェイト]]|12|1224|1062|シーカー(Lv45～)|11592
|[Blood Grip[ブラッドグリップ]]|12|1160|998|シーカー(Lv55～)|11439
|[Shining Daggers[シャイニングダガー]]|15|1336|1172|シーカー(Lv62～)|12086
|[Dussel Lizard[ドイサルリザード]]|20|1427|1260|シーカー(Lv65～)|12091
|[Karsnaut[カールスナウト]]|20|1427|1260|シーカー(Lv65～)|12096
|[Immersion[イマージョン]]|25|1443|1277|シーカー(Lv65～)|12101
|[White Wanderer[ホワイトワンダラー]]|30|1476|1310|シーカー(Lv65～)|12106
|[Broad Edge[ブロードエッジ]]|30|1544|1376|シーカー(Lv67～)|12116
|[Libertine's Blade[リバティーンズブレード]]|35|1640|1468|シーカー(Lv70～)|12121
|[Unify Feeling[ユニファイフィーリング]]|35|1640|1468|シーカー(Lv70～)|12126
|[Blade of Tyrant[ブレードオブタイラント]]|40|1657|1485|シーカー(Lv70～)|12131
|[Crisis Cleaver[クライシスクリーヴァー]]|45|1691|1519|シーカー(Lv70～)|12136
|[Dagger of Tribe[ダガーオブトライブ]]|45|1763|1589|シーカー(Lv72～)|14462
|[Protector's Spearheads[守護者の槍先]]|50|1799|1622|シーカー(Lv75～)|14467
|[Kris Naga Pulse[クリスナーガパルス]]|50|1799|1622|シーカー(Lv75～)|14472
|[Phindymian Daggers[フィンダミアダガー]]|55|1869|1692|シーカー(Lv75～)|14477
|[Verdant Fang[ヴァーダントファング]]|60|1917|1741|シーカー(Lv75～)|14482
|[Deep Ripper[ディープリッパー]]|60|1975|1796|シーカー(Lv77～)|14487
|[Underworld Triple Daggers[冥界のトリプルダガー]]|65|2027|1845|シーカー(Lv80～)|14492
|[Lizard's Glare[リザーズグレア]]|65|2027|1845|シーカー(Lv80～)|14497
|[Demon Framea[デーモンフラメア]]|70|2099|1917|シーカー(Lv80～)|14502
|[The Colonel[ザカーネル]]|75|2153|1971|シーカー(Lv80～)|14507
|[Nobility's Daggers[ノビリティーズダガー]]|80|2139|1957|シーカー(Lv80～)|17471
|[Gemini Edge[ジェミニエッジ]]|85|2244|2059|シーカー(Lv83～)|17476
|[Farid[ファリド]]|90|2316|2129|シーカー(Lv85～)|17466
|[Atar's Edge[アータルズエッジ]]|90|2385|2198|シーカー(Lv85～)|18690
|[Guillotine Edge of Resentment[怨嗟のギロチンエッジ]]|90|2380|2193|シーカー(Lv85～)|18036
|[Dagger of Vashak[ダガーオブヴァシャーク]]|95|2490|2300|シーカー(Lv88～)|18041
|[Sanaz Scramaseax[サナズスクラマサクス]]|98|2564|2372|シーカー(Lv90～)|18046
|[Arshak's Throes[アルサケスロウズ]]|100|2638|2446|シーカー(Lv90～)|19693
|[Red Dawn's Steel Daggers[暁紅のスティールダガー]]|100|2631|2439|シーカー(Lv90～)|19859
|[Edge of Vermilion[エッジオブヴァーミリオン]]|105|2746|2551|シーカー(Lv93～)|19864
|[Afet Baselards[アーフェトバジラール]]|108|2823|2626|シーカー(Lv95～)|19869
|[Daggers of Altura[ダガーオブアルトゥーラ]]|110|2891|2694|シーカー(Lv95～)|20217
|[[ダガーオブオンブル]]|110|2896|2699|シーカー(Lv95～)|19874
|[Rousing Schlucht Daggers[奮起のシュルフトダガー]]|115|3011|2811|シーカー(Lv98～)|20222
|[Cruel Daggers[クリュエルダガー]]|118|3092|2890|シーカー(Lv100～)|20227
|[[ジャリア]]|120|3168|2996|シーカー(Lv100～)|20232
|[[精霊のダガー]]|130|3228|3026|シーカー(Lv100～)|23873
|[[炎王のダガー]]|130|3228|3026|シーカー(Lv100～)|23878
|[[白翼のダガー]]|130|3228|3026|シーカー(Lv100～)|23883
|[[黄金のダガー]]|130|3228|3026|シーカー(Lv100～)|23888
|[[黒砕のダガー]]|135|3360|3158|シーカー(Lv100～)|23893

**Gatcha
|[Parrying Daggers of Sparks[閃光のパリ―イングダガ―]]|7|282|160|シーカー(Lv15～)|10321
|[Mark of the Wicked Supatoria[邪印のスパートゥリア]]|7|356|230|シーカー(Lv15～)|10326
|[Kris Naga Artery[クリスナーガアーテリー]]|11|212|96|シーカー(Lv1～)|10316
|[Parrying Daggers of Warding Evil[退魔のパリーイングダガー]]|11|1042|886|シーカー(Lv45～)|12788
|[Alchemy Cleaver[アルケミークリーヴァー]]|12|212|96|シーカー(Lv1～)|11688
|[Salvation Daggers[サルヴェーションダガー]]|16|282|160|シーカー(Lv1～)|14079
|[Spear Daggers of Heroes[豪傑のスピアーダガー]]|25|1476|1310|シーカー(Lv55～)|14084
|[Obsidian Daggers[オブシディアンダガー]]|31|356|230|シーカー(Lv1～)|14085
|[Writhing Daggers of Legacy[遺宝のライジングダガー]]|40|1691|1519|シーカー(Lv60～)|14090
|[Arisen's Cleavers[アリズンズクリーヴァー]]|45|403|273|シーカー(Lv1～)|15783
|[Roaring Blaze Scale Daggers[猛炎のスケイルダガー]]|55|1895|1718|シーカー(Lv70～)|16508
|[Melty Daggers[メルティ・ダガー]]|45|1509|1343|シーカー(Lv1～)|16774
|[Sincere Daggers[シンシアー・ダガー]]|45|1509|1343|シーカー(Lv1～)|16775
|[Daggers of Radiance[ダガーオブラディアンス]]|60|451|319|シーカー(Lv1～)|15788
|[Tyrant Daggers of Torn Light[破光のタイラントダガー]]|70|2126|1944|シーカー(Lv75～)|16509
|[Snap Blade[スナップブレード]]|5|387|259|シーカー(Lv1～)|19100
|[Blue Storm Mithril Daggers[蒼嵐のミスリルダガー]]|80|2180|1998|シーカー(Lv1～)|19394
|[Daggers of Vanguard[ダガーオブバンガード]]|83|2269|2083|シーカー(Lv1～)|19404
|[Supreme Ruler's Arabesque Knife[覇王のアラベスクナイフ]]|86|2316|2129|シーカー(Lv80～)|19414
|[Ablaze Daggers[アブレイズダガー]]|88|2379|2192|シーカー(Lv80～)|19424
|[Adamas Military Expedition Daggers[征戦のアダマスダガー]]|90|2480|2290|シーカー(Lv1～)|19698
|[Daggers of Agitator[ダガーオブアジテイター]]|93|2515|2325|シーカー(Lv1～)|19699
|[Holy Night's Leg Daggers[聖夜のレッグスダガー]]|25|1225|1225|シーカー(Lv1～)|19578
|[Twin Daggers of Serpent Wings[蛇翼のツインダガー]]|96|2564|2372|シーカー(Lv85～)|19434
|[Crow of Strife[クロウオブストライフ]]|98|2629|2437|シーカー(Lv85～)|19444
|[Intellect's Weise Daggers[識者のヴァイゼダガー]]|102|2707|2513|シーカー(Lv1～)|19879
|[Crow of Kenntnis[クロウオブケントニス]]|105|2772|2577|シーカー(Lv1～)|19880
|[Cinquedea of Glowing Embers[熾火のチンクエディア]]|106|2823|2626|シーカー(Lv90～)|19881
