**Spear ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Standard
|[Novice Spear[ノービススピア]]|1|109|54|スピリットランサー(Lv1～)|14737
|[Broad Spear[ブロードスピア]]|3|244|183|スピリットランサー(Lv12～)|14742
|[Hasta[ハスタ]]|5|419|352|スピリットランサー(Lv24～)|14747
|[Raging Red Spear[茜染の槍]]|7|622|549|スピリットランサー(Lv36～)|14752
|[Spiculum[スピクルム]]|9|902|823|スピリットランサー(Lv46～)|14757
|[Elfin Thrust[エルフィンスラスト]]|11|1159|1075|スピリットランサー(Lv55～)|14762
|[Turbulence[タビュレンス]]|25|1356|1270|スピリットランサー(Lv60～)|14767
|[Ray's Steering[レイズステアリング]]|30|1580|1491|スピリットランサー(Lv65～)|14772
|[Spear of Tyrant[スピアオブタイラント]]|40|1764|1672|スピリットランサー(Lv70～)|14777
|[Clear Stream[クリアストリーム]]|45|1798|1706|スピリットランサー(Lv70～)|14782
|[Spear of Tribe[スピアオブトライブ]]|45|1871|1778|スピリットランサー(Lv72～)|14787
|[Dragon Crest Partisan[竜紋のパルチザン]]|50|1909|1815|スピリットランサー(Lv75～)|14792
|[Gold Spear[ゴルドスピア]]|50|1909|1815|スピリットランサー(Lv75～)|14797
|[Phindymian Spear[フィンダミアスピア]]|55|1979|1885|スピリットランサー(Lv75～)|14802
|[Verdant Soul[ヴァーダントソウル]]|60|2028|1933|スピリットランサー(Lv75～)|14807
|[Spirit's Fury[スピリッツフューリー]]|60|2086|1991|スピリットランサー(Lv77～)|14812
|[Partisan of the Blue Waters[蒼海のパルチザン]]|65|2140|2043|スピリットランサー(Lv80～)|14817
|[Freefaller[フリーフォーラ]]|65|2140|2043|スピリットランサー(Lv80～)|14822
|[Demon Penetrator[デーモンペネトレイター]]|70|2212|2115|スピリットランサー(Lv80～)|14827
|[Emphasis[エンファシス]]|75|2266|2169|スピリットランサー(Lv80～)|14832
|[Nobility's Spear[ノビリティーズスピア]]|80|2252|2155|スピリットランサー(Lv80～)|17556
|[Carina Spear[カリーナスピア]]|85|2359|2261|スピリットランサー(Lv83～)|17561
|[Arsalan Milad[アルサラーンミラード]]|90|2432|2332|スピリットランサー(Lv85～)|17566
|[Rashnu[ラシュヌ]]|90|2502|2402|スピリットランサー(Lv85～)|18720
|[Iron Glaive of Resentment[怨嗟のアイアングレイブ]]|90|2496|2396|スピリットランサー(Lv85～)|18126
|[Lance of Kapran[ランスオブカプラーン]]|95|2608|2507|スピリットランサー(Lv88～)|18131
|[Dina Soliferreum[ディーナーソリフェラム]]|98|2684|2581|スピリットランサー(Lv90～)|18136
|[Hoshang's Scythe[サイスフーシャング]]|100|2758|2655|スピリットランサー(Lv90～)|19735
|[Red Dawn's Steel Lance[暁紅のスティールランス]]|100|2750|2648|スピリットランサー(Lv90～)|20003
|[Lance of Vermilion[ランスオブヴァーミリオン]]|105|2867|2763|スピリットランサー(Lv93～)|20008
|[Dilime Spear[ディリーメスピア]]|108|2946|2840|スピリットランサー(Lv95～)|20013
|[[ブレッシュオブエクレール]]|110|3019|2914|スピリットランサー(Lv95～)|20018
|[Lance of Altura[ランスオブアルトゥーラ]]|110|3014|2909|スピリットランサー(Lv95～)|20373
|[Rousing Schlucht Spear[奮起のシュルフトスピア]]|115|3136|3029|スピリットランサー(Lv98～)|20378
|[Effort Spear[エフォールスピア]]|118|3218|3110|スピリットランサー(Lv100～)|20383
|[Avalanche[アヴァランシュ]]|120|3306|3198|スピリットランサー(Lv100～)|20388
|[[精霊の槍]]|130|3354|3246|スピリットランサー(Lv100～)|24043
|[[炎王の槍]]|130|3354|3246|スピリットランサー(Lv100～)|24048
|[[白翼の槍]]|130|3354|3246|スピリットランサー(Lv100～)|24053
|[[黄金の槍]]|130|3354|3246|スピリットランサー(Lv100～)|24058
|[[黒砕の槍]]|135|3486|3378|スピリットランサー(Lv100～)|24063

**Gatcha
|[Arisen's Penetrator[アリズンズペネトレイター]]|45|1871|1778|スピリットランサー(Lv1～)|15903
|[Roaring Blaze Scale Spear[猛炎のスケイルスピア]]|55|2005|1911|スピリットランサー(Lv70～)|16520
