*Accessories Item list
|Name|Rank|P-Def|M-Def|Level|ID|h
||CENTER:|CENTER:|CENTER:||c
|[Green Grass Ring[緑草の指輪]]|1|0|0|全ジョブ(Lv1～)|8928
|[Leather Bracelet[革のブレスレット]]|1|0|0|全ジョブ(Lv1～)|8929
|[Fang Earrings[ファングピアス]]|1|0|0|全ジョブ(Lv1～)|8930
|[Feather Earrings[フェザーピアス]]|1|0|0|全ジョブ(Lv1～)|8932
|[Zephyr Ring[そよかぜのリング]]|1|0|0|全ジョブ(Lv1～)|8963
|[Fluorite Earrings[ほたる石のピアス]]|2|0|0|全ジョブ(Lv6～)|8931
|[Shell Earrings[貝殻のピアス]]|2|0|0|全ジョブ(Lv6～)|8933
|[Grass Signet Ring[草紋のリング]]|2|0|0|全ジョブ(Lv6～)|8934
|[Trooper's Ring[兵士のリング]]|2|0|0|全ジョブ(Lv6～)|8936
|[Schemer's Ring[術士のリング]]|2|0|0|全ジョブ(Lv6～)|8937
|[Flower Bracelet[フラワーブレスレット]]|2|0|0|全ジョブ(Lv6～)|8968
|[Rabbit Insignia Ring[兎印のリング]]|3|0|0|全ジョブ(Lv11～)|8935
|[Leaf Signet Ring[葉紋のリング]]|3|0|0|全ジョブ(Lv11～)|8938
|[Shieldbearer's Ring[盾士のリング]]|3|1|0|全ジョブ(Lv11～)|8940
|[Bachelor's Ring[学士のリング]]|3|0|1|全ジョブ(Lv11～)|8941
|[Jasper Ornamental Pin[赤玉の飾りピン]]|3|0|0|全ジョブ(Lv11～)|8942
|[Sapphire Ornamental Pin[青玉の飾りピン]]|3|0|0|全ジョブ(Lv11～)|8943
|[Topaz Ornamental Pin[黄玉の飾りピン]]|3|0|0|全ジョブ(Lv11～)|8944
|[Charoite Ornamental Pin[紫玉の飾りピン]]|3|0|0|全ジョブ(Lv11～)|8945
|[Pearl Ornamental Pin[白玉の飾りピン]]|3|0|0|全ジョブ(Lv11～)|8946
|[Amethyst Pendant[アメジストのペンダント]]|3|0|0|全ジョブ(Lv11～)|8978
|[Deer Insignia Ring[鹿印のリング]]|4|1|1|全ジョブ(Lv16～)|8939
|[Soldier's Ring[戦士のリング]]|4|0|0|全ジョブ(Lv16～)|8947
|[Wizard's Ring[魔道士のリング]]|4|0|0|全ジョブ(Lv16～)|8948
|[Healing Ring[癒しの指輪]]|4|0|0|全ジョブ(Lv16～)|8949
|[Wildflower Ring[野花の指輪]]|4|0|0|全ジョブ(Lv16～)|8953
|[Dual Leather Bracelet[二重革のブレスレット]]|4|0|0|全ジョブ(Lv16～)|8954
|[Double Fang Earrings[ダブルファングピアス]]|4|0|0|全ジョブ(Lv16～)|8955
|[Harpfeather Earrings[ハルプフェザーピアス]]|4|0|0|全ジョブ(Lv16～)|8957
|[Peridot Pendant[ペリドットのペンダント]]|4|1|1|全ジョブ(Lv16～)|8980
|[Paired Stone Earrings[双石のピアス]]|5|0|0|全ジョブ(Lv21～)|8956
|[Spiral Shell Earrings[らせん貝のピアス]]|5|0|0|全ジョブ(Lv21～)|8958
|[Floral Insignia Ring[花印のリング]]|5|0|0|全ジョブ(Lv21～)|8959
|[Man-At-Arms' Ring[鎧士のリング]]|5|2|0|全ジョブ(Lv21～)|8961
|[Intellectual's Ring[識者のリング]]|5|0|2|全ジョブ(Lv21～)|8962
|[Fang Wristband[ファングリストバンド]]|5|0|0|全ジョブ(Lv21～)|8966
|[Shaman Bracelet[シャーマンブレス]]|5|0|0|全ジョブ(Lv21～)|8973
|[Crystal Pendant[水晶のペンダント]]|5|0|0|全ジョブ(Lv21～)|8979
|[Fire Gem Choker[火石のチョーカー]]|6|0|0|全ジョブ(Lv26～)|8950
|[Ice Gem Choker[氷石のチョーカー]]|6|0|0|全ジョブ(Lv26～)|8951
|[Lightning Gem Choker[雷石のチョーカー]]|6|0|0|全ジョブ(Lv26～)|8952
