**{NAME HERE} ITEM LIST   
||Name|Rank|P-DEF|M-DEF|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Helm
|[Invisible Cap[無形のキャップ]]|1|0|0|全ジョブ(Lv1～)|11749
|[Warm and Fuzzy Cat Mask[ぽかぽかネコマスク]]|1|10|106|全ジョブ(Lv1～)|10687
|[Warm and Fuzzy Cat Mask (Black)[ぽかぽかネコマスク【黒】]]|1|10|106|全ジョブ(Lv1～)|10692
|[Warm and Fuzzy Cat Mask (Green)[ぽかぽかネコマスク【緑】]]|1|10|106|全ジョブ(Lv1～)|10697
|[Warm and Fuzzy Cat Mask (Purple)[ぽかぽかネコマスク【紫】]]|1|10|106|全ジョブ(Lv1～)|10702
|[Warm and Fuzzy Cat Mask (Yellow)[ぽかぽかネコマスク【黄】]]|1|10|106|全ジョブ(Lv1～)|10707
|[Warm and Fuzzy Cat Mask (Orange)[ぽかぽかネコマスク【橙】]]|1|10|106|全ジョブ(Lv1～)|10712
|[Fancy Dress: E. Honda A[仮装の頭飾 E.本田A]]|4|37|59|全ジョブ(Lv1～)|10873
|[Fancy Dress: Guile A[仮装の頭飾 ガイルA]]|4|37|59|全ジョブ(Lv1～)|10813
|[Fancy Dress: Chun-Li A[仮装の頭飾 チュンリーA]]|4|37|59|全ジョブ(Lv1～)|10863
|[Fancy Dress: M. Bison A[仮装の頭飾 ベガA]]|4|37|59|全ジョブ(Lv1～)|10833
|[Fancy Dress: Ryu A[仮装の頭飾 リュウA]]|4|37|59|全ジョブ(Lv1～)|10803
|[Fancy Dress: E. Honda B[仮装の頭飾 E.本田B]]|8|73|117|全ジョブ(Lv30～)|10878
|[Fancy Dress: Guile B[仮装の頭飾 ガイルB]]|8|73|117|全ジョブ(Lv30～)|10818
|[Fancy Dress: Chun-Li B[仮装の頭飾 チュンリーB]]|8|73|117|全ジョブ(Lv30～)|10868
|[Fancy Dress: M. Bison B[仮装の頭飾 ベガB]]|8|73|117|全ジョブ(Lv30～)|10838
|[Fancy Dress: Ryu B[仮装の頭飾 リュウB]]|8|73|117|全ジョブ(Lv30～)|10808
|[Fancy Dress: Cammy A[仮装の頭飾 キャミィA]]|9|48|77|全ジョブ(Lv1～)|10843
|[Fancy Dress: Akuma A[仮装の頭飾 豪鬼A]]|9|48|77|全ジョブ(Lv1～)|10893
|[Fancy Dress: Zangief A[仮装の頭飾 ザンギエフA]]|9|48|77|全ジョブ(Lv1～)|10823
|[Fancy Dress: Vega A[仮装の頭飾 バルログA]]|9|48|77|全ジョブ(Lv1～)|10853
|[Fancy Dress: Blanka A[仮装の頭飾 ブランカA]]|9|48|77|全ジョブ(Lv1～)|10883
|[Rathalos Helm[レウスヘルム]]|12|73|117|ファイター、ハンター、シーカー、ウォリアー、スピリットランサー(Lv30～)|10903
|[Rathian Helm[レイアヘルム]]|12|73|117|プリースト、シールドセージ、ソーサラー、エレメントアーチャー、アルケミスト、ハイセプター(Lv30～)|10908
|[Fancy Dress: Cammy B[仮装の頭飾 キャミィB]]|12|156|250|全ジョブ(Lv45～)|10848
|[Fancy Dress: Akuma B[仮装の頭飾 豪鬼B]]|12|156|250|全ジョブ(Lv45～)|10898
|[Fancy Dress: Akuma B[仮装の頭飾 ザンギエフB]]|12|156|250|全ジョブ(Lv45～)|10898
|[Fancy Dress: Vega B[仮装の頭飾 バルログB]]|12|156|250|全ジョブ(Lv45～)|10858
|[Fancy Dress: Blanka B[仮装の頭飾 ブランカB]]|12|156|250|全ジョブ(Lv45～)|10888
|[Eyepatch of the One-eyed Dragon[隻眼竜の眼帯]]|10|12|6|全ジョブ(Lv1～)|13493
|[Bunny Ears (Brown)[バニーイヤー【茶】]]|1|10|10|全ジョブ(Lv1～)|16135
|[Bunny Ears (White)[バニーイヤー【白】]]|1|10|10|全ジョブ(Lv1～)|16136
|[Bunny Ears (Black)[バニーイヤー【黒】]]|1|10|10|全ジョブ(Lv1～)|16137
|[Kitty Ears (Brown)[キティーイヤー【茶】]]|1|10|10|全ジョブ(Lv1～)|16138
|[Kitty Ears (White)[キティーイヤー【白】]]|1|10|10|全ジョブ(Lv1～)|16139
|[Kitty Ears (Black)[キティーイヤー【黒】]]|1|10|10|全ジョブ(Lv1～)|16140
|[Doggy Ears (Brown)[ドギーイヤー【茶】]]|1|10|10|全ジョブ(Lv1～)|16141
|[Doggy Ears (White)[ドギーイヤー【白】]]|1|10|10|全ジョブ(Lv1～)|16142
|[Doggy Ears (Black)[ドギーイヤー【黒】]]|1|10|10|全ジョブ(Lv1～)|16143
