**{NAME HERE} ITEM LIST   
||Name|Rank|P-DEF|M-DEF|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Production
|[White Wings Arisen Corps Steel Armor[白翼覚者隊の甲冑・鉄鋼]]|10|20|20|全ジョブ(Lv1～)/男性専用|10554
|[Dark Green Nobleman's Garment[貴族紳士の衣装・深緑]]|10|20|20|全ジョブ(Lv1～)/男性専用|10574
|[Dark Red Nobleman's Garment[貴族紳士の衣装・臙脂]]|10|20|20|全ジョブ(Lv1～)/男性専用|10579
|[Holy Warrior Female Arisen's Battle Attire[女覚者の戦闘衣・聖闘女]]|10|20|20|全ジョブ(Lv1～)/女性専用|10604
|[Zephyr Town Maiden's Dress[町娘のドレス・そよ風]]|10|20|20|全ジョブ(Lv1～)/女性専用|10624
|[Passion Town Maiden's Dress[町娘のドレス・情熱]]|10|20|20|全ジョブ(Lv1～)/女性専用|10629

**Gacha
|[Survey Corps Male Soldier's Clothes (Outside Wall Use)[壁外用調査兵団服男性兵士]]|10|960|960|全ジョブ(Lv1～)/男性専用|19125
|[Survey Corps Female Soldier's Clothes (Outside Wall Use)[壁外用調査兵団服女性兵士]]|10|960|960|全ジョブ(Lv1～)/女性専用|19130
|[Survey Corps Male Soldier's Clothes[調査兵団服男性兵士]]|15|||全ジョブ(Lv1～)/男性専用|19115
|[Survey Corps Female Soldier's Clothes[調査兵団服女性兵士]]|15|||全ジョブ(Lv1～)/女性専用|19120
|[Rival Schools: Batsu Ichimonji A[ジャスティス学園 一文字伐A]]|70|960|960|全ジョブ(Lv1～)/男性専用|17941
|[Rival Schools: Batsu Ichimonji B[ジャスティス学園 一文字伐B]]|70|960|960|全ジョブ(Lv1～)/男性専用|17942
|[Rival Schools: Hinata Wakaba A[ジャスティス学園 若葉ひなたA]]|70|960|960|全ジョブ(Lv1～)/女性専用|17943
|[Rival Schools: Hinata Wakaba B[ジャスティス学園 若葉ひなたB]]|70|960|960|全ジョブ(Lv1～)/女性専用|17944
|[Deputy Knight Commander's Armor (Refined)[副団長の装束【雅】]]|45|409|409|全ジョブ(Lv1～)/女性専用|15625
|[Deputy Knight Commander's Armor (Plain)[副団長の装束【零】]]|45|409|409|全ジョブ(Lv1～)/女性専用|15630
|[Knight Commander's Armor (Refined)[騎士団長の鎧【雅】]]|45|409|409|全ジョブ(Lv1～)/男性専用|15615
