**{NAME HERE} ITEM LIST   
||Name|Rank|P-DEF|M-DEF|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Chest Wear (All)
|[Tunic[チュニック]]|1|3|3|全ジョブ(Lv1～)|5180
|[Coiled Wear[コイルドウェア]]|1|4|4|全ジョブ(Lv1～)|8105
|[Village Shirt[ヴィレッジシャツ]]|1|5|5|全ジョブ(Lv1～)|8538
|[Composite Vest[コンポジットベスト]]|1|7|7|全ジョブ(Lv5～)|504
|[Traveler's Shirt[トラベラーズシャツ]]|2|8|8|全ジョブ(Lv6～)|500
|[Bandage Clothes[バンデージクロース]]|2|9|9|全ジョブ(Lv7～)|8533
|[Blessing Vest[ブレシングベスト]]|2|10|10|全ジョブ(Lv8～)|8578
|[Linen Tuni[リネンチュニック]]|2|11|11|全ジョブ(Lv9～)|8543
|[Fisherman's Shirt[フィッシャーマンズシャツ]]|3|13|13|全ジョブ(Lv11～)|502
|[Leather Breastplate[レザーブレスト]]|3|14|14|全ジョブ(Lv12～)|8548
|[Doublet[ダブレット]]|3|15|15|全ジョブ(Lv13～)|8553
|[Trooper Suit[トルーパースーツ]]|3|17|17|全ジョブ(Lv14～)|974
|[Country Shirt[カントリーシャツ]]|4|18|18|全ジョブ(Lv16～)|8558
|[Chainmail[チェインメイル]]|4|19|19|全ジョブ(Lv17～)|8563
|[[淑女のコルセット]]|4|20|20|全ジョブ(Lv18～)/女性専用|Lady's Corset
|[Bronze Scale[ブロンズスケイル]]|4|21|21|全ジョブ(Lv19～)|501
|[Chain Bracers[チェインブレイサー]]|5|24|24|全ジョブ(Lv21～)|503
|[Gambeson[ギャンベソン]]|5|25|25|全ジョブ(Lv22～)|975
|[Bliaut[ブリオー]]|5|26|26|全ジョブ(Lv23～)|976
|[Steady Vest[ステディベスト]]|5|27|27|全ジョブ(Lv24～)|8628
|[Wanderer's Shirt[ワンダラーズシャツ]]|5|28|28|全ジョブ(Lv25～)|8573
|[Maiden's Camisole[メイデンキャミソール]]|6|30|30|全ジョブ(Lv26～)/女性専用|978
|[Maiden's Camisole[バトリオンスーツ]]|6|31|31|全ジョブ(Lv27～)|978
|[Brigandine[ブリガンダイン]]|6|32|32|全ジョブ(Lv28～)|8588
|[Wrapped Clothes[ラップドクロース]]|6|34|34|全ジョブ(Lv29～)|8583
|[Iron Scale[アイアンスケイル]]|6|35|35|全ジョブ(Lv30～)|8593
|[Expedition Shirt[エクスペディションシャツ]]|7|36|36|全ジョブ(Lv31～)|980
|[Scale Breastplate[スケイルブレスト]]|7|38|38|全ジョブ(Lv32～)|981
|[Pourpoint[プールポワン]]|7|39|39|全ジョブ(Lv33～)|982
|[Honorary Knight's Suit[名誉騎士のスーツ]]|7|40|40|全ジョブ(Lv34～)|8603
|[Twin Cross Vest[ツインクロスベスト]]|7|42|42|全ジョブ(Lv35～)|8598
|[Noir Gambeson[ノワールギャンベソン]]|8|43|43|全ジョブ(Lv36～)|8608
|[Silver Chainmail[シルバーチェインメイル]]|8|44|44|全ジョブ(Lv37～)|985
|[Noblewoman's Corset[貴婦人のコルセット]]|8|46|46|全ジョブ(Lv38～)/女性専用|986
|[Special Bracers[スペシャルブレイサー]]|8|47|47|全ジョブ(Lv39～)|2595
|[Solemn Suit[ソレムスーツ]]|8|49|49|全ジョブ(Lv40～)|3612
