**Magic Bow ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Standard
|[Magick Bow[マジックボウ]]|1|23|121|エレメントアーチャー(Lv1～)|4793
|[Gnosir[グノエツィール]]|2|66|168|エレメントアーチャー(Lv5～)|113
|[Bronze Bogen[ブロンツァボーゲン]]|2|100|205|エレメントアーチャー(Lv8～)|115
|[Kenn-brecher[ケンブレッヒャー]]|3|148|244|エレメントアーチャー(Lv11～)|114
|[Doppel Schütze[ドッペルシュプアー]]|3|174|285|エレメントアーチャー(Lv14～)|116
|[Mageia Kyklos[マギアキクロス]]|4|214|327|エレメントアーチャー(Lv17～)|117
|[Quellenkraft[クヴェーレンクラフト]]|4|227|357|エレメントアーチャー(Lv19～)|118
|[Morgenglühen[モルゲングリューエン]]|5|284|387|エレメントアーチャー(Lv21～)|337
|[Mondnacht Schütteln[ムーンナハトシュテル]]|5|284|418|エレメントアーチャー(Lv23～)|336
|[Schild und Sühne[シュルトウントズューネ]]|5|328|450|エレメントアーチャー(Lv25～)|1947
|[Glücksrad[グルックスラッド]]|6|359|482|エレメントアーチャー(Lv27～)|338
|[Aspro Neraida[アスプロネライダ]]|6|406|516|エレメントアーチャー(Lv29～)|339
|[Vortex Flow[ヴォルテクスフロウ]]|7|423|550|エレメントアーチャー(Lv31～)|340
|[[ツァウパークラフト]]|7|439|567|エレメントアーチャー(Lv32～)|
|[Weiß Merkmale[ヴァイスメルクマール]]|7|473|603|エレメントアーチャー(Lv34～)|343
|[Gunvoltzeit[ガンボルツァイト]]|8|507|639|エレメントアーチャー(Lv36～)|341
|[Kerukeion[ケーリュケイオン]]|8|542|657|エレメントアーチャー(Lv37～)|346
|[Siegstraße[ジークシュトラーセ]]|8|524|676|エレメントアーチャー(Lv38～)|347
|[Metempsychosis[ミーテムサイカーシス]]|8|578|714|エレメントアーチャー(Lv40～)|345
|[Religious Beyond[レリジャスビヨンド]]|8|614|752|エレメントアーチャー(Lv40～)|349
|[Heilung Bogen[ヘイルングボーゲン]]|9|582|733|エレメントアーチャー(Lv41～)|11132
|[Grief Attribute[グリーフアトリブト]]|9|662|815|エレメントアーチャー(Lv43～)|11137
|[Schwarzer Vogel[シュバルツフォーゲル]]|9|676|800|エレメントアーチャー(Lv43～)|11142
|[Unfinished[アンフィニッシュド]]|9|743|870|エレメントアーチャー(Lv45～)|351
|[Kunstraum[クーニストラウム]]|9|743|884|エレメントアーチャー(Lv45～)|348
|[Dämmerungslicht[デンメルングリヒト]]|9|758|899|エレメントアーチャー(Lv45～)|344
|[Goldify[ゴルトイーファイ]]|9|772|913|エレメントアーチャー(Lv45～)|350
|[Großglauben[グロスグラウベン]]|10|812|955|エレメントアーチャー(Lv47～)|352
|[Farsighted Eye[ファーサイテッドアイ]]|10|898|1028|エレメントアーチャー(Lv49～)|353
|[Krifo Proseuché[クリフォプロセウケー]]|11|940|1087|エレメントアーチャー(Lv51～)|355
|[Reize Hoffnung[レイゼホフヌン]]|11|983|1132|エレメントアーチャー(Lv53～)|356
|[Galant Bogen[ガラントボーゲン]]|11|1012|1147|エレメントアーチャー(Lv55～)|358
|[Frausgefühl[フラウスゲフュール]]|11|1027|1193|エレメントアーチャー(Lv55～)|361
|[Vredesmos[ブレデスモス]]|11|1058|1209|エレメントアーチャー(Lv55～)|357
|[[ケッツァーウィリング]]|12|1065|1216|エレメントアーチャー(Lv56～)|
|[Finalen Schlag[フィナーレンシュラグ]]|12|1126|1279|エレメントアーチャー(Lv58～)|362
|[Heiliger Berg[ハイリガーベルグ]]|12|1188|1344|エレメントアーチャー(Lv60～)|1971
|[[フィトスボロス]]|12|1188|1344|エレメントアーチャー(Lv60～)|
|[Empyreal Force[エンピリアルフォース]]|12|1220|1376|エレメントアーチャー(Lv60～)|363
|[True Religious Beyond[真・レリジャスビヨンド]]|12|1188|1344|エレメントアーチャー(Lv40～)|11617
|[True Goldify[真・ゴルトイーファイ]]|12|1188|1344|エレメントアーチャー(Lv45～)|11622
|[Stark Bogen[シュタルクボーゲン]]|12|1124|1280|エレメントアーチャー(Lv55～)|11454
|[Reines Herz[ライネスヘルツ]]|15|1300|1458|エレメントアーチャー(Lv62～)|12311
|[Neumondlicht[ノイモントリヒト]]|20|1390|1551|エレメントアーチャー(Lv65～)|12316
|[Skáld[スカルド]]|20|1390|1551|エレメントアーチャー(Lv65～)|12321
|[Vodovorot[バダヴァロート]]|25|1407|1567|エレメントアーチャー(Lv65～)|12326
|[Bright Calling[ブライトコーリング]]|30|1440|1600|エレメントアーチャー(Lv65～)|12331
|[Zwei Geschichten[ツヴァイゲツィヒター]]|30|1508|1670|エレメントアーチャー(Lv67～)|12341
|[Hávamál[ハヴァマール]]|35|1603|1768|エレメントアーチャー(Lv70～)|12346
|[Angleichen[アングライフェン]]|35|1603|1768|エレメントアーチャー(Lv70～)|12351
|[Spell of Tyrant[スペルオブタイラント]]|40|1620|1785|エレメントアーチャー(Lv70～)|12356
|[Religious Dragoon[レリジャスドラグーン]]|45|1654|1819|エレメントアーチャー(Lv70～)|12361
|[Spell of Tribe[スペルオブトライブ]]|45|1725|1892|エレメントアーチャー(Lv72～)|14587
|[Tannhäuser[タンホイザー]]|50|1760|1930|エレメントアーチャー(Lv75～)|14592
|[Kenn-brecher of Thirst[渇きのケンブレッヒャー]]|50|1760|1930|エレメントアーチャー(Lv75～)|14597
|[Phindymian Shooter[フィンダミアシューター]]|55|1830|2000|エレメントアーチャー(Lv75～)|14602
|[Verdant Investor[ヴァーダントインベスタ]]|60|1879|2049|エレメントアーチャー(Lv75～)|14607
|[Gullinkambi[グリンカムビ]]|60|1936|2108|エレメントアーチャー(Lv77～)|14612
|[Irrlicht[イルリヒト]]|65|1987|2162|エレメントアーチャー(Lv80～)|14617
|[Lightning Shape[ライトニングシェイプ]]|65|1987|2162|エレメントアーチャー(Lv80～)|14622
|[Demon Wing[デーモンウイング]]|70|2059|2234|エレメントアーチャー(Lv80～)|14627
|[Axis[アクシス]]|75|2113|2288|エレメントアーチャー(Lv80～)|14632
|[Nobility's Spell[ノビリティーズスペル]]|80|2099|2274|エレメントアーチャー(Lv80～)|17511
|[Lacerta Shooter[ラケルタシューター]]|85|2204|2381|エレメントアーチャー(Lv83～)|17516
|[Parto[パルト]]|90|2275|2454|エレメントアーチャー(Lv85～)|17521
|[Tishtrya[ティシュトリア]]|90|2344|2524|エレメントアーチャー(Lv85～)|18705
|[Tri-Spell of Resentment[怨嗟のトリスペル]]|90|2339|2519|エレメントアーチャー(Lv85～)|18081
