**Cane ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Standard
|[Wood Staff[ウッドスタッフ]]|1|19|110|プリ―スト(Lv1～)|80
|[Blue Cane[ブルーケイン]]|2|86|145|プリ―スト(Lv5～)|81
|[Palm Flower[パームフラワー]]|2|75|170|プリ―スト(Lv8～)|83
|[Hermit Wand[ハーミットワンド]]|3|123|209|プリースト(Lv11～)|82
|[Power of Pawn[パワーオブポーン]]|3|135|222|プリースト(Lv14～)|84
|[Staff of Magickal Restraint[制魔の杖]]|4|174|249|プリースト(Lv17～)|85
|[Copper Cane[カッパーケイン]]|4|242|291|プリースト(Lv19～)|1698
|[Dawn Staff[ドーンスタッフ]]|5|271|320|プリースト(Lv21～)|205
|[Nature's Whole[ネイチャーホウル]]|5|257|335|プリースト(Lv23～)|206
|[Illusionist[イリュージョニスト]]|5|286|396|プリースト(Lv25～)|207
|[Sky Anchor[スカイアンカー]]|6|316|428|プリースト(Lv27～)|208
|[Pilgrim's Cane[ピルグラムスケイン]]|6|347|445|プリースト(Lv29～)|209
|[Palm's Treetop[パームツリートップ]]|7|378|461|プリースト(Lv31～)|210
|[Iron Staff[アイアンスタッフ]]|7|394|512|プリースト(Lv32～)|212
|[Portal Indicator[ポータルインジケーター]]|7|427|529|プリースト(Lv34～)|213
|[Spellcasting[スペルキャスティング]]|8|461|573|プリースト(Lv36～)|217
|[Silent Grace[サイレントグレイス]]|8|530|581|プリースト(Lv37～)|218
|[Staff of Beyond the Rift[異界渡りの杖]]|8|495|600|プリースト(Lv38～)|211
|[Goblin Dismissal[ゴブリンディスミサル]]|8|584|637|プリースト(Lv40～)|215
|[White Revelation[ホワイトリベレーション]]|8|566|674|プリースト(Lv40～)|216
|[Signposter[サインポスター]]|9|548|655|プリースト(Lv41～)|11147
|[Curability Branch[キュアビリティブランチ]]|9|613|722|プリースト(Lv43～)|11152
|[Gold Cane[ゴールドケイン]]|9|613|736|プリースト(Lv43～)|11157
|[Nail Freed[ネイルフリード]]|9|694|819|プリースト(Lv45～)|214
|[Staff of Magickal Destruction[魔破の杖]]|9|694|804|プリースト(Lv45～)|221
|[Calmly Cling[カームリィクリング]]|9|709|819|プリースト(Lv45～)|219
|[Phantom Descent[ファントムディセント]]|9|723|833|プリースト(Lv45～)|220
|[Lela Daphne[レラダフニ]]|10|762|882|プリースト(Lv47～)|222
|[Staff of the Pathfinder[先駆者の杖]]|10|832|946|プリースト(Lv49～)|225
|[Heart of Darkness[ハートオブダークネス]]|11|889|1004|プリースト(Lv51～)|223
|[Relic-Eater[レリックイーター]]|11|931|1048|プリースト(Lv53～)|227
|[Nocturne[ノクターン]]|11|943|1061|プリースト(Lv55～)|228
|[Avalon's Beacon[アヴァロンズビーコン]]|11|1036|1108|プリースト(Lv55～)|230
|[Etupirka[エトピリカ]]|11|1005|1123|プリースト(Lv55～)|224
|[Diabolic Talon[ディアボリックタロン]]|12|1012|1146|プリースト(Lv56〜)|231
|[Almighty's Eye[オルマイティーズアイ]]|12|1120|1192|プリースト(Lv58〜)|232
|[Para Regi Ptero[パラレギプテロ]]|12|1134|1256|プリースト(Lv60〜)|229
|[Arpaktiko[アルパクティコ]]|12|1134|1256|プリースト(Lv60〜)|226
|[Divine Image[ディバインイメージ]]|12|1166|1288|プリースト(Lv60〜)|233
|[True White Revelation[真・ホワイトリベレーション]]|12|1134|1256|プリースト(Lv40～)|11627
|[True Phantom Descent[真・ファントムディセント]]|12|1134|1256|プリースト(Lv45～)|11632
|[Training Cane[修練の杖]]|12|1070|1192|プリースト(Lv55～)|11459
|[Circle of Life[サークルオブライフ]]|15|1245|1368|プリースト(Lv62～)|12396
|[Ambition[アンビション]]|20|1334|1460|プリースト(Lv65～)|12401
|[Dawn of Wyvern[ドーンオブワイバーン]]|20|1334|1460|プリースト(Lv65～)|12406
|[Vortices[ヴォーティシーズ]]|25|1351|1476|プリースト(Lv65～)|12411
|[White Glide[ホワイトグライド]]|30|1384|1509|プリースト(Lv65～)|12416
|[Paled Heart[ペイルドハート]]|30|1451|1578|プリースト(Lv67～)|12426
|[Seeker's Staff[求道者の杖]]|35|1545|1674|プリースト(Lv70～)|12431
|[Orient Charm[オーリエイトチャーム]]|35|1545|1674|プリースト(Lv70～)|12436
|[Staff of Tyrant[スタッフオブタイラント]]|40|1562|1691|プリースト(Lv70～)|12441
|[Reviving[リヴァイヴィング]]|45|1596|1725|プリースト(Lv70～)|12446
|[Staff of Tribe[スタッフオブトライブ]]|45|1666|1797|プリースト(Lv72～)|14637
|[Goblin's Worship[ゴブリンズワ－シップ]]|50|1701|1834|プリースト(Lv75～)|14642
|[Elderly Mentor[エルダリーメントル]]|50|1701|1834|プリースト(Lv75～)|14647
|[Phindymian Cane[フィンダミアケイン]]|55|1771|1904|プリースト(Lv75～)|14652
|[Verdant Relief[ヴァーダントリリーフ]]|60|1819|1952|プリースト(Lv75～)|14657
|[Petrified Staff[ペトリファイドスタッフ]]|60|1876|2010|プリースト(Lv77～)|14662
|[Green Light's Nail Freed[翠光のネイルフリード]]|65|1926|2063|プリースト(Lv80～)|14667
|[Symbiosis[シンバイオシス]]|65|1926|2063|プリースト(Lv80～)|14672
|[Dominating Claw[ドミネーティングクロー]]|70|1998|2135|プリースト(Lv80～)|14677
|[Quintessence[クインテスネス]]|75|2052|2189|プリースト(Lv80～)|14682
|[Nobility's Staff[ノビリティーズスタッフ]]|80|2038|2175|プリースト(Lv80～)|17526
|[Ara Cane[アラケイン]]|85|2142|2281|プリースト(Lv83～)|17531
|[Nuri-e Sepehr[ヌーリエセペフル]]|90|2212|2353|プリースト(Lv85～)|17536
|[Anahita[アナーヒター]]|90|2281|2422|プリースト(Lv85～)|18710
|[Kinky Cane of Resentment[怨嗟のキンキーケイン]]|90|2276|2417|プリースト(Lv85～)|18096
|[Staff of Younes[スタッフオブユノース]]|95|2385|2527|プリースト(Lv88～)|18101
|[Shahnaz Sceptre[シャフナッツセプター]]|98|2457|2602|プリースト(Lv90～)|18106
|[Saar's Vessel[ザールズヴェッセル]]|100|2532|2676|プリースト(Lv90～)|19721
|[Red Dawn's Steel Cane[暁紅のスティールケイン]]|100|2524|2669|プリースト(Lv90～)|19955
|[Staff of Vermilion[スタッフオブヴァーミリオン]]|105|2637|2784|プリースト(Lv93～)|19960
|[Youches' Staff[ユーチェスタッフ]]|108|2714|2862|プリースト(Lv95～)|19965
|[Cane of Lumiere[ケインオブリュミエル]]|110|2787|2935|プリースト(Lv95～)|19970
|[Staff of Altura[スタッフオブアルトゥーラ]]|110|2714|2862|プリースト(Lv95～)|20313
