**{NAME HERE} ITEM LIST   
||Name|Rank|P-DEF|M-DEF|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Helm
|[Magician's Hat[マジシャンズハット]]|1|13|21|プリースト、ソーサラー、エレメントアーチャー(Lv3～)|454
|[Neophyte's Hood[術師のフード]]|2|19|30|プリースト、ソーサラー、エレメントアーチャー(Lv6～)|455
|[Cleric's Cap[クレリックキャップ]]|2|22|36|プリースト、ソーサラー、エレメントアーチャー(Lv8～)|8143
|[Magician's Hood[マジシャンフード]]|3|28|46|プリースト、ソーサラー、エレメントアーチャー(Lv11～)|8148
|[Healer's Hood[ヒーラーフード]]|3|32|52|プリースト、ソーサラー、エレメントアーチャー(Lv13～)|456
|[Halo of Beginning[明けの光輪]]|4|39|63|プリースト、ソーサラー、エレメントアーチャー(Lv16～)|457
|[Sorcerer's Hat[ソーサラーズハット]]|4|43|70|プリースト、ソーサラー、エレメントアーチャー(Lv18～)|8153
|[Sacred Hood[セイクリッドフード]]|4|48|77|プリースト、ソーサラー、エレメントアーチャー(Lv20～)|5411
|[Spike Head[スパイクヘッド]]|5|53|84|プリースト、ソーサラー、エレメントアーチャー(Lv22～)|731
|[Mentor's Cap[指導者のキャップ]]|5|58|92|プリースト、ソーサラー、エレメントアーチャー(Lv24～)|732
|[[聖緑のフード]]|6|63|100|プリースト、ソーサラー、エレメントアーチャーLv26～)|
|[Prayer Hood[プレイングフード]]|6|68|108|プリースト、ソーサラー、エレメントアーチャー(Lv28～)|735
|[Bellwether Hood[ベルウェザーフード]]|6|73|117|プリースト、ソーサラー、エレメントアーチャー(Lv30～)|736
|[Atonement Cap[アトーンメントキャップ]]|7|78|125|プリースト、ソーサラー、エレメントアーチャー(Lv32～)|737
|[Archmage's Hat[大魔道士の帽子]]|7|84|134|プリースト、ソーサラー、エレメントアーチャー(Lv34～)|738
|[Crowned Hood[クラウンフード]]|8|89|143|プリースト、ソーサラー、エレメントアーチャー(Lv36～)|739
|[Circlet of Wisdom[叡智のサークレット]]|8|95|152|プリースト、ソーサラー、エレメントアーチャー(Lv38～)|740
|[Wyrm's Will[ウィルムズウィル]]|8|101|161|プリースト、ソーサラー、エレメントアーチャー(Lv40～)|2345
|[Halo of the New Moon[新月の円環]]|9|98|157|プリースト、ソーサラー、エレメントアーチャー(Lv41～)|2353
|[Cathedral Cap[カテドラルキャップ]]|9|114|183|プリースト、ソーサラー、エレメントアーチャー(Lv43～)|2354
|[Adept's Hat[アデプトハット]]|9|128|204|プリースト、ソーサラー、エレメントアーチャー(Lv45～)|2355
|[Astonish Gear[アストニッシュギア]]|9|132|212|プリースト、ソーサラー、エレメントアーチャー(Lv45～)|2362
|[Iron Circlet[黒金のサークレット]]|10|133|213|プリースト、ソーサラー、エレメントアーチャー(Lv46～)|10416
|[Glorious Diadem[ディアデム]]|10|150|240|プリースト、ソーサラー、エレメントアーチャー(Lv49～)|12566
|[Circlet of Divine Sight[神眼のサークレット]]|11|163|261|プリースト、ソーサラー、エレメントアーチャー(Lv52～)|5426
|[Apocalypse Crown[アポカリプスクラウン]]|11|174|278|プリースト、ソーサラー、エレメントアーチャー(Lv55～)|5432
|[Peerless Shade[ピアレスシェード]]|11|179|286|プリースト、ソーサラー、エレメントアーチャー(Lv55～)|746
|[Pope's Cap[ポープキャップ]]|12|180|288|プリースト、ソーサラー、エレメントアーチャー(Lv56～)|8158
|[Skittish Hat[スキティッシュハット]]|12|192|308|プリースト、ソーサラー、エレメントアーチャー(Lv58～)|755
|[Ancient Cap[エンシャントキャップ]]|12|205|328|プリースト(Lv60～)|2360
|[Celestial Hood[セレスチャルフード]]|12|205|328|ソーサラー(Lv60～)|8183
|[Old Edge Cap[オールドエイジキャップ]]|12|205|328|エレメントアーチャー(Lv60～)|749
|[Amilec Hood[アミレックフード]]|12|210|336|プリースト(Lv60～)|752
|[Arte Hood[アールフード]]|12|210|336|ソーサラー(Lv60～)|754
|[Rubedo Hat[ルベドハット]]|12|210|336|エレメントアーチャー(Lv60～)|753
|[Profound Lens[深遠の覗き穴]]|15|212|339|プリースト、ソーサラー、エレメントアーチャー(Lv62～)|756
|[Glorious Diadem[グロリアスディアデム]]|20|224|358|プリースト、ソーサラー、エレメントアーチャー(Lv65～)|12566
|[Forehead Protector of Righteousness[正道の額当て]]|25|232|371|プリースト、ソーサラー、エレメントアーチャー(Lv65～)|12571
|[Bishop Hood[ビショップフード]]|30|237|379|プリースト、ソーサラー、エレメントアーチャー(Lv65～)|12576
|[Coif of Crown[コイフオブクラウン]]|30|245|393|プリースト、ソーサラー、エレメントアーチャー(Lv67～)|12581
|[Faith Cap[フェイスキャップ]]|35|258|413|プリースト、ソーサラー、エレメントアーチャー(Lv70～)|5425
|[Libertas Cap[リーベルタスキャップ]]|40|266|426|プリースト、ソーサラー、エレメントアーチャー(Lv70～)|12586
|[Carrion Face[カーリオンフェイス]]|45|272|435|プリースト、ソーサラー、エレメントアーチャー(Lv70～)|12591
|[Innocent Mitre[イノセントミトラ]]|50|291|466|プリースト、ソーサラー、エレメントアーチャー(Lv75～)|14883
|[Crimson Hat[唐紅のハット]]|55|299|479|プリースト、ソーサラー、エレメントアーチャー(Lv75～)|14888
|[Mistletoe Circlet[ヤドリギのサークレット]]|60|308|493|プリースト、ソーサラー、エレメントアーチャー(Lv75～)|14893
|[Medium Head[メディウムヘッド]]|60|317|507|プリースト、ソーサラー、エレメントアーチャー(Lv77～)|14898
|[Garrisoner's Helm[防人のヘルム]]|65|328|526|プリースト、ソーサラー、エレメントアーチャー(Lv80～)|14903
|[Ginkgo-dyed Mage Hat[銀杏染めの魔道帽]]|70|337|539|プリースト、ソーサラー、エレメントアーチャー(Lv80～)|14908
|[Azure Crown[アズールクラウン]]|75|346|553|プリースト、ソーサラー、エレメントアーチャー(Lv80～)|14913
|[Modestly Coif[モデストリーコイフ]]|80|345|551|プリースト、ソーサラー、エレメントアーチャー(Lv80～)|17586
|[Duarev Hood[デュアレフフード]]|85|364|582|プリースト、ソーサラー、エレメントアーチャー(Lv83～)|17591
|[Acrean Circlet[アッカリアサークレット]]|90|380|607|プリースト、ソーサラー、エレメントアーチャー(Lv85～)|17596
|[Magnus Mitre[マグナスミトラ]]|90|378|604|プリースト、ソーサラー、エレメントアーチャー(Lv85～)|18214
|[Forehead Protector of Hope[光明の額当て]]|95|396|634|プリースト、ソーサラー、エレメントアーチャー(Lv88～)|18219
|[Dools Mask[ドゥールズマスク]]|100|421|675|プリースト、ソーサラー、エレメントアーチャー(Lv90～)|18224
|[Round Mirror of Sacrament[秘蹟の円鏡]]|100|420|672|プリースト、ソーサラー、エレメントアーチャー(Lv90～)|20554
|[June Crown[ジューヌクラウン]]|105|444|711|プリースト、ソーサラー、エレメントアーチャー(Lv93～)|20559
|[[メヒザフヘッド]]|110|458|734|プリースト、ソーサラー、エレメントアーチャー(Lv95～)|20564
|[Miséricorde Hat[ミゼリコルドハット]]|110|457|731|プリースト、ソーサラー、エレメントアーチャー(Lv95～)|20882
|[Charité Circlet[シャリテサークレット]]|115|473|758|プリースト、ソーサラー、エレメントアーチャー(Lv98～)|20887
|[Redoutable Head[ルドゥタブルヘッド]]|120|491|786|プリースト、ソーサラー、エレメントアーチャー(Lv100～)|20892
|[[精霊の魔道兜]]|130|499|798|プリースト、ソーサラー、エレメントアーチャー(Lv100～)|24299
|[[炎王の魔道兜]]|130|499|798|プリースト、ソーサラー、エレメントアーチャー(Lv100～)|24304
|[[白翼の魔道兜]]|130|499|798|プリースト、ソーサラー、エレメントアーチャー(Lv100～)|24309
|[[黄金の魔道兜]]|130|499|798|プリースト、ソーサラー、エレメントアーチャー(Lv100～)|24314
|[[黒砕の魔道兜]]|135|506|810|プリースト、ソーサラー、エレメントアーチャー(Lv100～)|24319
|[[蛮勇のマジックマスク]]|140|554|886|プリースト、ソーサラー、エレメントアーチャー(Lv105～)|25356

**Chest
|[Apprentice's Coat[エプレンティスコート]]|1|24|21|プリースト、ソーサラー、エレメントアーチャー(Lv3～)|458
|[Hallowed Robe[ハロウドローブ]]|2|34|30|プリースト、ソーサラー、エレメントアーチャー(Lv6～)|2071
|[Missionary's Robe[ミショナリーローブ]]|2|41|36|プリースト、ソーサラー、エレメントアーチャー(Lv8～)|8243
