**Staff ITEM LIST   
||Name|Rank|P-ATK|M-ATK|LEVEL|ID|h
||CENTER:|CENTER:|CENTER:|CENTER:|c
**Standard
|[Guide Wand[ガイドワンズ]]|1|23|181|ソーサラー(Lv1～)|105
|[Ferocious Horn[フェロウシャスホーン]]|2|66|231|ソーサラー(Lv5～)|106
|[Palm Trees[パームトゥリーズ]]|2|100|270|ソーサラー(Lv8～)|108
|[Magician's Thought[マジシャンズソート]]|3|136|310|ソーサラー(Lv11～)|107
|[Magic in the Cage[マジックインザケイジ]]|3|174|375|ソーサラー(Lv14～)|109
|[Spiral Wand[スパイラルワンズ]]|4|214|397|ソーサラー(Lv17～)|110
|[Mage Wand[メイジワンズ]]|3|241|428|ソーサラー(Lv19～)|111
|[Crescent Wand[クレセントワンズ]]|5|269|459|ソーサラー(Lv21～)|306
|[Fierce Horn[フィアスホーン]]|5|298|492|ソーサラー(Lv23～)|307
|[Magickal Branch[マジカルブランチ]]|5|328|541|ソーサラー(Lv25～)|308
|[Eclipse[エクリプス]]|6|359|576|ソーサラー(Lv27～)|309
|[Sorcerer's Wand[ソーサラーワンズ]]|6|390|593|ソーサラー(Lv29～)|1922
|[Twisted Serpent[ツイストサーペント]]|7|423|628|ソーサラー(Lv31～)|1926
|[Valiant Horn[ヴァリアントホーン]]|7|439|646|ソーサラー(Lv32～)|313
|[Soul Harvest[ソウルハーヴェスト]]|7|473|702|ソーサラー(Lv34～)|1923
|[Pious Roots[パイアスルーツ]]|8|507|720|ソーサラー(Lv36～)|1930
|[Ancient Horn[エンシャントホーン]]|8|524|739|ソーサラー(Lv37～)|2952
|[Lunar Saga[ルナサーガ]]|8|542|778|ソーサラー(Lv38～)|312
|[Evil Eye Specimen[イビルアイスペシメンス]]|8|596|798|ソーサラー(Lv40～)|316
|[Idealise[イデアライズ]]|8|614|837|ソーサラー(Lv40～)|320
|[Valiant Helix[ヴァリアントヘリックス]]|9|596|817|ソーサラー(Lv41～)|11162
|[Sealed Calamity[スィールドカラミティ]]|9|662|886|ソーサラー(Lv43～)|11167
|[Forked Wand[フォークドワンズ]]|9|662|900|ソーサラー(Lv43～)|11172
|[Extractor[エキストラクター]]|9|743|957|ソーサラー(Lv45～)|322
|[Grabbed Heart[グラブドハート]]|9|743|971|ソーサラー(Lv45～)|315
