StageNum,StageId,Location,Name
200,2,TheWhiteDragonTemple,
201,3,TheWhiteDragonTemple,AudienceChamber
202,4,TheWhiteDragonTemple,CraftRoom
203,5,TheWhiteDragonTemple,CaveHarbor
300,8,Rotes(L:x120y287),House
301,9,Tel(L:x206y304),House
302,10,Tel(L:x209y302),House
303,11,Tel(L:x208y302),House
304,12,Lynwood(L:x208y380),House
305,13,Lynwood(L:x207y379),House
306,14,Jingen(L:x336y310),House
307,15,Jingen(L:x337y310),Flavell'sShop
308,16,MysreeForest(L:x218y398),LoneHouseInTheForest
310,17,Rotes(L:x121y286),House
311,18,Rotes(L:x119y288),House
312,19,Tel(L:x204y301),Pedro'sGeneralStore
313,20,Lynwood(L:x205y382),Yanks'WeaponShop
314,21,Jingen(L:x337y310),House
315,22,MysreeGrove(L:x237y473),Ivan'sLodge
321,23,Tel(L:x203y301),Eterna'sOutfitter
322,24,Lynwood(L:x205y379),WhiteDeerInn
330,25,Tel(L:x205y304),BlackGrapeInn
331,26,Rotes(L:x122y287),SeaDragonInn
352,35,DreedCastle(L:x45y102),UndergroundStores
353,36,DreedCastle(L:x40y92),Cell
354,37,EasternZandora(L:x394y135),RuinsSiteCellar
355,38,HidellPlains(L:x235y283),PlainsAbandonedHouseCellar
356,39,BetlandPlains(L:x261y229),RuinsCellar
360,42,Jingen(L:x337y314),House
361,43,Kinoza(L:x375y405),House
362,44,Kinoza(L:x377y400),House
363,45,Kinoza(L:x375y400),House
365,47,BreyaCoast(L:x56y312),LighthouseKeeper'sHouse
370,48,Jingen(L:x337y314),SingingWindsInn
371,49,Kinoza(L:x378y401),Raul'sArmsAndArmorWorkshop
372,50,Drawan(L:x138y174),Brandon'sArmorShop
373,51,DoweValley(L:x351y301),LoneHouseInTheValley
380,52,Kinoza(L:x377y406),RedCrystalInn
381,53,Drawan(L:x140y176),SleepingWolfInn
600,54,Zoma(L:x89y64),Casey'sGeneralStore
601,55,ZandoraWastelands(L:x268y97),Hermit'sHouse
602,56,MergodaRuins:LowerLevel(L:x79y63),SpecialistTradingPost
610,57,Zoma(L:x362y153),Oswald'sArmorShop
611,58,MergodaRuins:LowerLevel(L:x85y194),MergodanResidence
612,59,MergodaRuins:RoyalPalaceLevel(L:x34y96),MergodanResidence
613,60,EasternZandora(L:x395y137),OldCapitalRuins
620,61,EasternZandora(L:x362y151),GoldenTankardInn
621,62,MergodaRuins:LowerLevel(L:x87y155),AnAlchemist'sHome
622,63,MergodaRuins:LowerLevel(L:x84y48),Theodor'sAlchemyWorkshop
623,64,MergodaRuins:RoyalPalaceLevel(L:x56y69),ElixirRefiningChamber
400,66,HidellPlains(L:x224y244),GrittenFort
405,71,(EX?),GrittenFort
407,73,(EX?),Dragon'sNest
409,75,TheWhiteDragonTemple,TheGoldenPalace
412,78,MysreeForest(L:x176y362),PawnCathedral
414,80,Kinoza(L:x380y404),KinozaMineralSprings
416,82,(SP),AncientPlaceOfRituals
417,83,(SP),GrittenFort
501,86,DreedCastle(L:x40y86),AbandonedBoneyard
515,100,DoweValley(L:x352y298),CliffTunnels
520,105,DeenanWoods(L:x242y518),SecretBowmaker'sHome
531,116,DreedCastle(L:x71y74),Cesspool
533,118,TempleOfPurification(L:x58y124),FoulWaterChannel
534,119,TempleOfPurification(L:x8y118),NorthDrainageChannel
536,121,TempleOfPurification(L:x72y121),Balcony
537,122,TempleOfPurification(L:x69y134),PurifiedWaterSection
543,128,Kinoza(L:x376y407),OldSpring
544,129,Drawan(L:x137y174),CommonWaterhole
552,137,MysreeGrove(L:x245y464),MysreeGroveShrine
554,139,ZandoraWastelands(L:x289y85),ZandoraWastelandsShrine
560,140,PawnCathedral(L:x51y8),TheRift(Rescue)
103,141,(SP),BreyaCoast(SP)
562,142,(MQ?),TheRift(MQ?)
570,143,(?),TheArk(?)
571,144,(MQ?),TheSecondArk(MQ?)
572,145,(MQ?),TheThirdArk(MQ?)
575,148,TheWhiteDragonTemple:CaveHarbor(L:x69y57),TheThirdArk
581,150,GroaningOldWell(L:x61y-24),WarDemons'Hideout
589,158,DeepWater'sEdge(L:x61y-34),BlueWaterway
590,159,,MysreeLimestoneCave
723,168,ZandoraWastelands(L:x302y48),Neophyte'sCellar
726,171,SacredSpringTerrace(L:x42y-57),BowerOldWell
727,172,DivineBlossomTerrace(L:x38y-89),Fairy'sWitheredWell
101,230,HidellPlains(L:x220y268)(MQ?),BeforeGrittenFortMainGate(W:x220y268)(MQ?)
728,231,Lynwood(L:x206y377),OldWaterhole
625,237,MergodaRuins:LowerLevel(L:x88y54),MergodaResidentialArea
576,240,(MQ?),TheArk(MQ?)
419,286,(?),AncientPlaceOfRituals(?)
421,288,(?)(EX?),MergodaRuins:RoyalPalaceLevel(?)
422,289,(?)(EX?),TheGoldenPalace(?)
702,290,(EX?),BlueStillnessRuins(W:x45y-54)
733,293,(?),DarkTreeGreatCatacombs(W:x51y-1)
424,308,(EX?),MergodaSecurityDistrict
801,317,,ExpeditionGarrison
803,319,BloodbaneIsle(L:x46y97),WaterfallEchoCavern
820,329,DoweValley(L:x276y326),Knights'DepotRuins(W:x51y-3)
822,331,BloodbaneIsle(L:x53y89),CryptOfMurmurs
823,332,Knights'DepotRuins(L:x47y-130),DreedConnectingPassage
825,334,GardnoxFortress(L:x48y5),GardnoxWastewaterTunnel
910,339,ElanWaterGrove(L:x218y400),Protector'sRetreat
920,340,MorrowForest(L:x211y320),MorfaulCentrum
930,341,FaranaPlains(L:x224y336),DanaCentrum
940,342,Knights'DepotRuins(L:x55y-132),Leo'sHideout
210,347,TheWhiteDragonTemple(L:x50y105),ClanHall(W:x59y13)
211,348,TheWhiteDragonTemple(L:x63y27),Arisen'sRoom
212,349,TheWhiteDragonTemple(L:x61y26),TrainingRoom
213,350,TheWhiteDragonTemple(L:x47y100),Mayleaf'sBedroom
430,361,(MQ?),VortexOfStagnation(W:x51y99)
431,362,(MQ_EX?),VortexOfStagnation(W:x50y65)
